conflict_type,selected_source,selection_reason,count,pct_of_total
agreement,agreement,both_sides_identical,917,45.85
different,abstain,genuinely_different:human_review_required,189,9.45
subset,base,subset:prefer_core_name,136,6.8
subset,alt,subset:prefer_core_name,130,6.5
subset,alt,subset:short_name_too_generic,91,4.55
subset,base,subset:short_name_too_generic,89,4.45
subset,base,subset:has_business_type,66,3.3
subset,alt,subset:has_business_type,40,2.0
normalized,abstain,normalized:tiebreaker_undecidable,37,1.85
normalized,alt,normalized:prefer_compound,36,1.8
subset,base,subset:prefer_specific_cjk_thai,34,1.7
normalized,base,normalized:prefer_compound,26,1.3
casing,base,casing:better_casing,23,1.15
casing,alt,casing:better_casing,19,0.95
normalized,alt,normalized:better_casing,18,0.9
normalized,alt,normalized:shorter,16,0.8
subset,alt,subset:prefer_specific_cjk_thai,16,0.8
normalized,alt,normalized:branded_casing,15,0.75
normalized,base,normalized:has_apostrophe,15,0.75
casing,alt,casing:branded_casing,12,0.6
normalized,alt,normalized:has_accents,12,0.6
normalized,base,normalized:has_accents,10,0.5
normalized,base,normalized:shorter,8,0.4
normalized,alt,normalized:has_periods,7,0.35
normalized,alt,normalized:has_apostrophe,7,0.35
normalized,base,normalized:has_periods,6,0.3
normalized,base,normalized:better_casing,5,0.25
normalized,alt,normalized:has_compound_dash,4,0.2
normalized,base,normalized:has_compound_dash,4,0.2
casing,base,casing:branded_casing,3,0.15
normalized,alt,normalized:compact_abbreviation,3,0.15
normalized,alt,normalized:has_nakaguro,2,0.1
normalized,alt,normalized:prefer_spaced_number,1,0.05
casing,base,casing:has_apostrophe,1,0.05
normalized,base,normalized:prefer_spaced_number,1,0.05
normalized,base,normalized:branded_casing,1,0.05
