short_name,long_name,extra_content,script_type,ideal_constructed_name,construction_reason,verification_sources,contested,verification_notes
Arthur Murray,Arthur Murray Dance Studio - Beaverton,dance studio beaverton,latin,Arthur Murray Dance Studio,"Type1: business_type=dance studio, location=beaverton","brand_website, google_maps",True,
Dog's Shop,Dog's Shop Pampulha - Pet Shop,pampulha pet shop,latin,Dog's Shop Pet Shop,"Type1: business_type=pet shop, location=pampulha","brand_website, google_maps",True,
カレット,カレット洋菓子店 矢田店,洋菓子店 矢田店,cjk,カレット洋菓子店,"Type1: business_type=洋菓子店 (confectionery), location=矢田店 (Yata branch)",google_maps,True,"Google Maps shows カレット 常滑店 (brand + city-level location, no business type). Correct ideal is not derivable from name fields alone — 常滑 appears only in address. Faithfulness constraint prevents correct construction."
Me n Moms,Me n Moms Baby Care & Kids Store in Barasar,baby care kids store in barasar,latin,Me n Moms Baby Care & Kids Store,"Type1: business_type=baby care & kids store, location=in barasar","brand_website, google_maps",True,
Specsavers,Specsavers Opticians And Audiologists - South Woodham Sainsbury's,opticians and audiologists south woodham sainsburys,latin,Specsavers Opticians & Audiologists,"Type1: business_type=opticians and audiologists, location=South Woodham Sainsburys","brand_website, google_maps",True,
Specsavers,Specsavers Opticians and Audiologists - Darlington Victoria Road Sainsbury's,opticians and audiologists darlington victoria road sainsburys,latin,Specsavers Opticians & Audiologists,"Type1: business_type=opticians and audiologists, location=Darlington Victoria Road","brand_website, google_maps",True,
back2motion,Back2Motion - Praxis für Physiotherapie & Med. Fitness Friedrichshafen,praxis fur physiotherapie med fitness friedrichshafen,latin,Back2Motion - Praxis für Physiotherapie & Med. Fitness,"Type1: business_type=Praxis für Physiotherapie, location=Friedrichshafen",google_maps,True,
PruittHealth,PruittHealth Hospice (Gainesville),hospice gainesville,latin,PruittHealth Hospice,"Type1: business_type=hospice, location=gainesville","brand_website, google_maps",True,
iChiro Clinics,iChiro Clinics/Peak Performance Integrated Medicine North Office,peak performance integrated medicine north office,latin,iChiro Clinics / Peak Performance Integrated Medicine,"Type1: business_type=integrated medicine, location=north office","brand_website, google_maps",True,
Proximus,Proximus Shop Sint-Truiden Luikerstraat,shop sinttruiden luikerstraat,latin,Proximus Shop,"Type1: business_type=shop, location=Sint-Truiden Luikerstraat","brand_website, google_maps",True,
iRiparo,iRiparo Store Bollate,store bollate,latin,iRiparo Store,"Type1: business_type=store, location=Bollate (Italian city)","brand_website, google_maps",True,
Tecnocasa,Tecnocasa Studio Rapallo,studio rapallo,latin,Tecnocasa Studio,"Type1: business_type=studio (real estate office), location=Rapallo","brand_website, google_maps",True,
Imli,IMLI Restaurant Derby,restaurant derby,latin,Imli Restaurant,"Type1+casing: business_type=restaurant, location=Derby, short needs decasing",unverified,False,
SushiCo,SushiCo | Sushi & Bubble Tea Ede,sushi bubble tea ede,latin,SushiCo | Sushi & Bubble Tea,"Type1: business_type=sushi & bubble tea, location=Ede (Dutch city)","brand_website, google_maps",True,
Supplay,Supplay Chartres BTP Transport,chartres btp transport,latin,Supplay BTP Transport,"Type1: business_type=BTP transport (construction staffing), location=Chartres",google_maps,True,
Headlight,Headlight Therapists and Psychiatric Services Wasilla,therapists and psychiatric services wasilla,latin,Headlight Therapists and Psychiatric Services,"Type1: business_type=therapists and psychiatric services, location=Wasilla AK",google_maps,True,
Hertz,Hertz Car Rental - Columbus - Reynoldsburg HLE,car rental columbus reynoldsburg hle,latin,Hertz Car Rental,"Type1: business_type=car rental, location=Columbus Reynoldsburg HLE","brand_website, google_maps",True,
Sécuritest,Sécuritest Contrôle Technique Automobile Saint Amand les Eaux,controle technique automobile saint amand les eaux,latin,Sécuritest Contrôle Technique Automobile,"Type1: business_type=contrôle technique automobile (vehicle inspection), location=Saint Amand les Eaux",unverified,False,
Signal Iduna,SIGNAL IDUNA Geschäftsstelle Siegburg,geschaftsstelle siegburg,latin,Signal Iduna Geschäftsstelle,"Type1+casing: business_type=Geschäftsstelle (branch office), location=Siegburg",unverified,False,
LUSH,LUSH Cosmetics Düsseldorf,cosmetics dusseldorf,latin,Lush Cosmetics,"Type1+casing: business_type=cosmetics, location=Düsseldorf, short needs decasing",unverified,False,
F45,F45 Training Pyrmont,training pyrmont,latin,F45 Training,"Type1: business_type=training (fitness franchise type), location=Pyrmont (Sydney suburb)",unverified,False,
DomusVi,DomusVi Domicile Saint-Germain-en-Laye,domicile saint-germain-en-laye,latin,DomusVi Domicile,"Type1: business_type=domicile (home care in French), location=Saint-Germain-en-Laye",unverified,False,
Debeka,Debeka Servicebüro Kelkheim,servicebuero kelkheim,latin,Debeka Servicebüro,"Type1: business_type=servicebüro (service office), location=Kelkheim",unverified,False,
Mezzopieno,Mezzopieno Bacaro Venezia,bacaro venezia,latin,Mezzopieno Bacaro,"Type1: business_type=bacaro (Venetian wine bar), location=Venezia",unverified,False,
บ้านพักชายทุ่ง,บ้านพักชายทุ่งรีสอร์ท ตรัง,รีสอร์ท ตรัง,thai,บ้านพักชายทุ่งรีสอร์ท,"Type1: business_type=รีสอร์ท (resort), location=ตรัง (Trang province)",unverified,False,
PZW,PZW Press- und Zerspanungstechnik Witten GmbH & Co,press und zerspanungstechnik witten gmbh co,latin,PZW Press- und Zerspanungstechnik,"Type2: acronym short, business_type=precision machining descriptor, location=Witten, legal=GmbH",unverified,False,
DEKRA,DEKRA Automobil GmbH Kfz-Prüfstelle Belzig,automobil gmbh kfzprufstelle belzig,latin,DEKRA Automobil Kfz-Prüfstelle,"Type2: ALL CAPS brand, division+service type+legal+location fused",unverified,False,
MDA,MDA Electroménager Discount,electromenager discount,latin,MDA Electroménager,"Type2: acronym short, business_type=electroménager, noise=discount",unverified,False,Stage 1 abstained (keep_shorter) — ideal proposed but not evaluated by pipeline
ATP,ATP Flight School,flight school,latin,ATP Flight School,Type2: acronym disambiguated by business type — long name IS ideal,unverified,False,Stage 1 abstained (keep_shorter) — ideal proposed but not evaluated by pipeline
CIBC,CIBC Branch (Cash at ATM only),branch cash at atm only,latin,CIBC ATM,"Type2: facility type + operational noise fused — construction keeps type, drops note",google_maps,True,Stage 1 abstained (keep_shorter) — ideal proposed but not evaluated by pipeline
CIBC,CIBC Branch with ATM,branch with atm,latin,CIBC Branch,Type2: two facility descriptors fused — keep primary type,google_maps,True,Stage 1 abstained (keep_shorter) — ideal proposed but not evaluated by pipeline
ImmoWert Hessen,ImmoWert Hessen Carsten Nessler Sachverständige für Immobilien,carsten nessler sachverstandige fur immobilien,latin,ImmoWert Hessen Sachverständige für Immobilien,"Personal name (Carsten Nessler) fused with business type (Sachverständige für Immobilien). Correct construction drops the person, keeps the type.",unverified,False,
George McFaden,George McFaden at Guaranteed Rate Affinity - NMLS #344084,at guaranteed rate affinity nmls 344084,latin,George McFaden at Guaranteed Rate Affinity,"Brand affiliation (Guaranteed Rate Affinity) fused with regulatory noise (NMLS #344084). Keep affiliation, strip noise. Subtype: personal name + brand affiliation + noise — currently mislabeled as noise in H1.",unverified,False,
Flanagan Paint & Supply,Flanagan Paint & Supply- Benjamin Moore Paint- Edwardsville,benjamin moore paint edwardsville,latin,Flanagan Paint & Supply - Benjamin Moore Paint,"Brand affiliation (Benjamin Moore Paint) fused with location (Edwardsville). Keep affiliation, drop location. Currently mislabeled as location in H1 — model drops the Benjamin Moore affiliation entirely.",unverified,False,
