short_name,long_name,extra_content,reason,human_verified,contested
iChiro Clinics,iChiro Clinics/Peak Performance Integrated Medicine North Office,peak performance integrated medicine north office,Slash/pipe delimiter — parallel brand or franchise name,y,y
bergwerk IT GmbH,bergwerk IT GmbH | Webentwicklung & IT-Infrastruktur,webentwicklung itinfrastruktur,Slash/pipe delimiter — parallel brand or franchise name,,
Dan Stiebel,"Dan Stiebel, Coldwell Banker Commercial Schmidt",coldwell banker commercial schmidt,Extra content is service description or contextual elaboration,,
Canal Video,Canal Vidéo Laryan 82 Franchisé indépendant,laryan 82 franchise independant,Extra content is service description or contextual elaboration,,
De Giovannini,De Giovannini Secondo di Cozzi Pier Secondo,secondo di cozzi pier secondo,Extra content is service description or contextual elaboration,,
Edward Jones,Edward Jones- Financial Advisor:Heidi Lue,financial advisorheidi lue,Extra content is service description or contextual elaboration,,
Ordine degli Ingegneri,Ordine degli Ingegneri della Provincia di Cagliari,della provincia di cagliari,Extra content is service description or contextual elaboration,,
Jiffy Xpress,Jiffy Xpress / Godfather's Pizza Express,godfathers pizza express,Extra content is service description or contextual elaboration,,
Dixon Center,Dixon Center for Integrative Healthcare,for integrative healthcare,Extra content is service description or contextual elaboration,,
Palmyra Beaute,Palmyra Beauté - Institut de beauté Agde,institut de beaute agde,Extra content is service description or contextual elaboration,,
Steve & Lori Robinson Realtors,Steve & Lori Robinson Realtors - BHHS Elite Real Estate,bhhs elite real estate,Extra content is service description or contextual elaboration,,
PicturePeople Fotostudio,PicturePeople Fotostudio Frankfurt-Berger-Straße,frankfurtbergerstraße,Extra content is service description or contextual elaboration,,
Apollo Tyres,Apollo Tyres - Bhatia Tyre & Service,bhatia tyre service,Extra content is service description or contextual elaboration,,
Barnegat Bay Financial Group,Barnegat Bay Financial Group - Raymond James Office,raymond james office,Extra content is service description or contextual elaboration,,
First Hawaiian Bank ATM,"First Hawaiian Bank ATM, Minit Stop-Orchidland",minit stoporchidland,Extra content is service description or contextual elaboration,,
BFC MONEY,BFC Money Vay Nhanh Qua Icloud,vay nhanh qua icloud,Extra content is service description or contextual elaboration,,
Carquest Auto Parts,Carquest Auto Parts - Jerry's Auto Parts,jerrys auto parts,Extra content is service description or contextual elaboration,,
Albany Auto Color,Albany Auto Color and Power Equipment,and power equipment,Extra content is service description or contextual elaboration,,
Top Cut,Top Cut Family Hair Cutters,family hair cutters,Extra content is service description or contextual elaboration,,
Boot Barn Hall,Boot Barn Hall at Bourbon Brothers,at bourbon brothers,Extra content is service description or contextual elaboration,,
Service Neon,Service Neon di Cateni Riccardo,di cateni riccardo,Extra content is service description or contextual elaboration,,
MID COUNTY LANES,Mid County Lanes and Entertainment,and entertainment,Extra content is service description or contextual elaboration,,
Comercial Mariano,Comercial Mariano de Porto Velho-Ro,de porto velhoro,Extra content is service description or contextual elaboration,,
San Jose Airport,San Jose Airport - DUP DO NOT USE,dup do not use,Extra content is service description or contextual elaboration,,
Studio D,Studio D Espaço de Beleza,espaco de beleza,Extra content is service description or contextual elaboration,,
Residence Malcesine,RESIDENCE MALCESINE Active & Family,active family,Extra content is service description or contextual elaboration,,
Studio Odontoiatrico Borgioli Dr. Andrea,Studio Odontoiatrico Borgioli Dr. Andrea Medico Chirurgo,medico chirurgo,Extra content is service description or contextual elaboration,,
Maison du Parc,Maison du Parc de Themericourt,de themericourt,Extra content is service description or contextual elaboration,,
Maria Bonita,"Maria Bonita, Maria del Alma",maria del alma,Extra content is service description or contextual elaboration,,
Miller's Ale House,Miller's Ale House - Tampa Airport,tampa airport,Extra content is service description or contextual elaboration,,
Zahnärzte in der F16,ZAHNÄRZTE in der f16 ZAHNGESUNDHEIT,zahngesundheit,Extra content is service description or contextual elaboration,,
