short_name,long_name,extra_content,constructed_name,real_name,real_name_matches_constructed,verification_sources,verification_notes
Arthur Murray,Arthur Murray Dance Studio - Beaverton,dance studio beaverton,Arthur Murray Dance Studio,,,,
Dog's Shop,Dog's Shop Pampulha - Pet Shop,pampulha pet shop,Dog's Shop Pet Shop,,,,
カレット,カレット洋菓子店 矢田店,洋菓子店 矢田店,カレット洋菓子店,,,,
Me n Moms,Me n Moms Baby Care & Kids Store in Barasar,baby care kids store in barasar,Me n Moms Baby Care & Kids Store,,,,
Specsavers,Specsavers Opticians And Audiologists - South Woodham Sainsbury's,opticians and audiologists south woodham sainsburys,Specsavers Opticians And Audiologists,,,,
Specsavers,Specsavers Opticians and Audiologists - Darlington Victoria Road Sainsbury's,opticians and audiologists darlington victoria road sainsburys,Specsavers Opticians and Audiologists,,,,
back2motion,Back2Motion - Praxis für Physiotherapie & Med. Fitness Friedrichshafen,praxis fur physiotherapie med fitness friedrichshafen,Back2Motion - Praxis für Physiotherapie & Med. Fitness,,,,
PruittHealth,PruittHealth Hospice (Gainesville),hospice gainesville,PruittHealth Hospice,,,,
iChiro Clinics,iChiro Clinics/Peak Performance Integrated Medicine North Office,peak performance integrated medicine north office,iChiro Clinics/Peak Performance Integrated Medicine,,,,
Proximus,Proximus Shop Sint-Truiden Luikerstraat,shop sinttruiden luikerstraat,Proximus Shop,,,,
iRiparo,iRiparo Store Bollate,store bollate,iRiparo Store,,,,
Tecnocasa,Tecnocasa Studio Rapallo,studio rapallo,Tecnocasa Studio,,,,
Imli,IMLI Restaurant Derby,restaurant derby,IMLI Restaurant,,,,
SushiCo,SushiCo | Sushi & Bubble Tea Ede,sushi bubble tea ede,SushiCo Sushi & Bubble Tea,,,,
Supplay,Supplay Chartres BTP Transport,chartres btp transport,Supplay BTP Transport,,,,
Headlight,Headlight Therapists and Psychiatric Services Wasilla,therapists and psychiatric services wasilla,Headlight Therapists and Psychiatric Services,,,,
Hertz,Hertz Car Rental - Columbus - Reynoldsburg HLE,car rental columbus reynoldsburg hle,Hertz Car Rental,,,,
Sécuritest,Sécuritest Contrôle Technique Automobile Saint Amand les Eaux,controle technique automobile saint amand les eaux,Sécuritest Contrôle Technique Automobile,,,,
Signal Iduna,SIGNAL IDUNA Geschäftsstelle Siegburg,geschaftsstelle siegburg,Signal Iduna Geschäftsstelle,,,,
LUSH,LUSH Cosmetics Düsseldorf,cosmetics dusseldorf,LUSH Cosmetics,,,,
F45,F45 Training Pyrmont,training pyrmont,F45 Training,,,,
DomusVi,DomusVi Domicile Saint-Germain-en-Laye,domicile saint-germain-en-laye,DomusVi Domicile,,,,
Debeka,Debeka Servicebüro Kelkheim,servicebuero kelkheim,Debeka Servicebüro,,,,
Mezzopieno,Mezzopieno Bacaro Venezia,bacaro venezia,Mezzopieno Bacaro,,,,
บ้านพักชายทุ่ง,บ้านพักชายทุ่งรีสอร์ท ตรัง,รีสอร์ท ตรัง,บ้านพักชายทุ่งรีสอร์ท,,,,
PZW,PZW Press- und Zerspanungstechnik Witten GmbH & Co,press und zerspanungstechnik witten gmbh co,PZW Press- und Zerspanungstechnik,,,,
DEKRA,DEKRA Automobil GmbH Kfz-Prüfstelle Belzig,automobil gmbh kfzprufstelle belzig,DEKRA Automobil GmbH Kfz-Prüfstelle,,,,
