short_name,long_name,extra_content,script_type,correct_answer,predicted,confidence,reasoning,correct,latency_s
JE Carriers,JE Carriers Auto Transport,auto transport,latin,business_type,business_type,high,"]
The extra content ""auto transport"" describes a specific service offered by JE Carriers, indicating it is a business type.",1,7.13
Iglesia Fe Y Esperanza,Iglesia Fe y Esperanza Pinares,pinares,latin,location,location,high,"]
The extra content ""pinares"" is a geographic qualifier, which specifies a location within a larger area. This falls under the 'location' class.",1,3.19
West Bradenton Baptist,West Bradenton Baptist Church,church,latin,business_type,location,high,"]
The extra content ""church"" is a location in this case, as it specifically identifies a type of place of worship. It does not disambiguate a specific branch or owner, nor is it a business type or noise.",0,3.66
Monkey Puzzle Day Nursery,Monkey Puzzle Day Nursery West Norwood,west norwood,latin,location,location,high,"]
The extra content ""west norwood"" is a location, specifically a neighborhood within London. It identifies the geographic position of the nursery, making it a qualifier for the short name, which is why we choose the shorter name in this case.",1,3.89
Recolast Ambiental,Recolast Ambiental Engenharia,engenharia,latin,business_type,business_type,high,"]
The extra content ""engenharia"" is a profession in Portuguese, meaning engineering. Given that Recolast Ambiental is an environmental company, ""engenharia"" seems to be specifying the business type of this company, making it clear what kind of environmental services they provide.",1,4.16
Virginia Coffee Roastery,Virginia Coffee Roastery & Eatery,eatery,latin,business_type,business_type,high,"]
The extra content ""eatery"" describes a type of business, specifically a place where food is served. This fits the definition of 'business_type'.",1,3.18
Clarkston High School,Clarkston High School Natatorium,natatorium,latin,business_type,business_type,high,"]
The extra content ""natatorium"" describes a specific type of building, which is a swimming pool complex. This makes it a business_type.",1,3.1
Mint House Greenville,Mint House Greenville - West End,west end,latin,location,location,high,"]
The extra content ""west end"" in this case does not describe what kind of place Mint House is or a specific location. Instead, it seems to be a geographic qualifier that identifies a specific area within Greenville. Therefore, the extra content can be classified as location.",1,4.09
The UPS Store,The UPS Store 7313,7313,latin,disambiguation,disambiguation,high,"]
The extra content ""7313"" appears to be a numerical identifier, which is typically used to differentiate individual locations of a chain or franchise. This suggests that it might be disambiguating the place name, indicating a specific store within The UPS Store chain.",1,4.05
Clifton And Lewis Insurance,Clifton and Lewis Insurance Group,group,latin,disambiguation,disambiguation,high,"]
The extra content ""group"" in this case serves to differentiate between a single insurance entity (Clifton and Lewis Insurance) and a group of such entities. This suggests that it is being used for disambiguation purposes.",1,3.72
Bluebird Care,Bluebird Care Epsom & Kingston,epsom kingston,latin,location,location,high,"]
The extra content ""Epsom & Kingston"" in this case is a location, as it identifies specific cities that are part of Bluebird Care's service area.",1,3.27
Pieology Pizzeria,"Pieology Pizzeria Aina Haina, Honolulu, HI",aina haina honolulu hi,latin,location,location,high,"]
The extra content ""aina haina honolulu hi"" provides a location, specifically it includes the neighborhood (Aina Haina), city (Honolulu), state (HI).",1,3.47
Gary Ritter Violin,Gary Ritter Violin Viola Cello,viola cello,latin,business_type,disambiguation,high,"]
The extra content ""viola cello"" does not specify a kind of business or location, but it seems to list additional services offered by Gary Ritter Violin. Therefore, it can be classified as 'disambiguation'.",0,3.72
POLE DANCE AVEC MOI,Pole Dance avec Moi Marseille,marseille,latin,location,location,high,"]
The extra content ""Marseille"" is a location, as it identifies the city where Pole Dance avec Moi is located. The longer name contains the core name plus this geographic qualifier, making it a directory noise that usually provides less essential information compared to the shorter name.",1,4.13
Schlotzsky's,"Schlotzsky's (Colony Way - Madison, MS)",colony way madison ms,latin,location,location,high,"]
The extra content ""Colony Way - Madison, MS"" provides a location for the business, specifically the street address (Colony Way) and city (Madison). It is classified as location.",1,3.42
West Coast Hifi,West Coast Hi-Fi Rockingham,rockingham,latin,location,location,high,"]
The extra content ""rockingham"" is a location as it identifies a specific place (a city or town in Western Australia). This determines the classification.",1,3.07
Vape Haus,Vape Haus Queretaro,queretaro,latin,location,location,high,"]
The extra content ""queretaro"" is a location, as it specifies a place (a city or town) in Mexico.",1,2.92
Allison Hunt MD,"Allison Hunt, MD, FACOG",facog,latin,noise,disambiguation,high,"]
The extra content ""facog"" is a professional acronym that stands for Fellow of the American College of Obstetricians and Gynecologists. This indicates a specific affiliation and falls under the 'disambiguation' category as it helps to identify Dr. Allison Hunt's specialization beyond her core name.",0,4.51
Hamburguesas Al Carbon,Hamburguesas al Carbon Torreon,torreon,latin,location,location,high,"]
The extra content ""torreon"" is a location, specifically a city or town. It identifies where Hamburguesas al Carbon is located.",1,3.08
Vighna Bamboo Briyani,Vighna Bamboo Briyani - JB,jb,latin,location,noise,high,"]
The extra content ""jb"" is not a known business type, location, or disambiguation. It could be an abbreviation, initials, or other identifier that doesn't add any semantic value to the place name, making it noise.",0,3.96
Florería Rosa Pastel,Florería Rosa Pastel P. Peñasco,p penasco,latin,location,location,high,"]
The extra content ""Penasco"" is a location, specifically referring to the place where the flower shop is located.",1,2.82
