short_name,long_name,extra_content,script_type,correct_answer,predicted,confidence,reasoning,correct,latency_s
JE Carriers,JE Carriers Auto Transport,auto transport,latin,business_type,business_type,high,"The extra content ""auto transport"" directly describes what kind of service this business provides — it specifies that JE Carriers is in the business of transporting automobiles, which is a business_type descriptor.",1,10.12
Iglesia Fe Y Esperanza,Iglesia Fe y Esperanza Pinares,pinares,latin,location,location,high,"""Pinares"" is a geographic location name (a neighborhood or district), which qualifies as a place name that specifies where the church is located rather than describing what type of establishment it is.",1,1.46
West Bradenton Baptist,West Bradenton Baptist Church,church,latin,business_type,business_type,high,"The extra content ""church"" is a business_type descriptor that specifies what kind of institution this place is — it identifies the establishment as a religious institution rather than some other type of organization.",1,1.43
Monkey Puzzle Day Nursery,Monkey Puzzle Day Nursery West Norwood,west norwood,latin,location,location,high,"""West Norwood"" is a geographic location (a district in London), making this a location qualifier that specifies where the nursery is situated rather than describing what kind of business it is.",1,1.42
Recolast Ambiental,Recolast Ambiental Engenharia,engenharia,latin,business_type,business_type,high,"The extra content ""engenharia"" (engineering in Portuguese) describes the professional service or business type that Recolast Ambiental provides, indicating it is an engineering firm rather than just an environmental company.",1,1.19
Virginia Coffee Roastery,Virginia Coffee Roastery & Eatery,eatery,latin,business_type,business_type,high,"The word ""eatery"" describes what additional service or business type the establishment offers beyond coffee roasting, making it a business_type descriptor that clarifies the nature of the place.",1,1.93
Clarkston High School,Clarkston High School Natatorium,natatorium,latin,business_type,business_type,high,"""Natatorium"" is a specific type of facility (an indoor swimming pool), which describes what kind of place or structure this is within the school context.",1,1.06
Mint House Greenville,Mint House Greenville - West End,west end,latin,location,location,high,"""West End"" is a neighborhood or geographic district within Greenville, which is a location qualifier that helps distinguish this specific property branch from other Mint House locations in the city.",1,1.26
The UPS Store,The UPS Store 7313,7313,latin,disambiguation,noise,high,"The extra content ""7313"" is a store location number or franchise identifier, which is a form of organizational numbering used to distinguish between multiple branches of the same chain without adding semantic information about what the place is or where it's located.",0,1.53
Clifton And Lewis Insurance,Clifton and Lewis Insurance Group,group,latin,disambiguation,noise,medium,"The word ""group"" is an organizational affiliation descriptor that indicates a corporate structure or parent company relationship, without specifying a business type, geographic location, or essential disambiguation of a specific branch or service.",0,1.44
Bluebird Care,Bluebird Care Epsom & Kingston,epsom kingston,latin,location,location,high,"The extra content ""epsom kingston"" are geographic locations (towns in Surrey, England) that specify where this branch of Bluebird Care operates, making this a location qualifier that disambiguates which franchise office is being referenced.",1,1.43
Pieology Pizzeria,"Pieology Pizzeria Aina Haina, Honolulu, HI",aina haina honolulu hi,latin,location,location,high,"The extra content ""aina haina honolulu hi"" consists entirely of geographic qualifiers — a neighborhood (Aina Haina), city (Honolulu), and state abbreviation (HI) — which are location identifiers used for directory disambiguation rather than essential business information.",1,2.37
Gary Ritter Violin,Gary Ritter Violin Viola Cello,viola cello,latin,business_type,business_type,high,"The extra content ""viola cello"" lists additional musical instruments offered by this service, expanding on the ""violin"" already in the short name — this identifies what types of services the business provides, making it a business type descriptor.",1,1.52
POLE DANCE AVEC MOI,Pole Dance avec Moi Marseille,marseille,latin,location,location,high,"The extra content ""marseille"" is a geographic location—a French city name—that specifies where this pole dance studio is located rather than describing what type of business it is.",1,1.54
Schlotzsky's,"Schlotzsky's (Colony Way - Madison, MS)",colony way madison ms,latin,location,location,high,"The extra content ""colony way madison ms"" specifies the street address and geographic location (Madison, Mississippi) where this particular Schlotzsky's franchise is situated, making it a location qualifier that disambiguates one branch from others.",1,1.34
West Coast Hifi,West Coast Hi-Fi Rockingham,rockingham,latin,location,location,high,"The extra content ""rockingham"" is a suburb/location name in Western Australia that specifies which branch of this retail chain is being referenced, making it a geographic qualifier rather than a business descriptor or organizational affiliation.",1,1.52
Vape Haus,Vape Haus Queretaro,queretaro,latin,location,location,high,"""Queretaro"" is a Mexican state and city name, which is a geographic location qualifier that disambiguates which Vape Haus branch this is, but does not describe the business type itself.",1,1.77
Allison Hunt MD,"Allison Hunt, MD, FACOG",facog,latin,noise,noise,high,"FACOG is a professional credential (Fellow of the American College of Obstetricians and Gynecologists) appended to a personal name, which is licensing/professional boilerplate that adds no semantic value to identifying the place or business.",1,1.3
Hamburguesas Al Carbon,Hamburguesas al Carbon Torreon,torreon,latin,location,location,high,"The extra content ""torreon"" is a geographic location — Torreón is a major city in Coahuila, Mexico — which serves as a place-based qualifier to distinguish this restaurant from other branches, making it a location descriptor rather than essential business information.",1,1.31
Vighna Bamboo Briyani,Vighna Bamboo Briyani - JB,jb,latin,location,location,high,"""JB"" is an abbreviation for Johor Bahru, a city in Malaysia, making this geographic location qualifier that identifies which branch or location of the restaurant chain this is.",1,1.59
Florería Rosa Pastel,Florería Rosa Pastel P. Peñasco,p penasco,latin,location,location,high,"The extra content ""p penasco"" represents a street or location qualifier (Puerto Peñasco or Peñasco Street), which is a geographic identifier appended to the business name to specify its location.",1,1.3
Boot Barn Hall,Boot Barn Hall at Bourbon Brothers,at bourbon brothers,latin,disambiguation,disambiguation,high,"The extra content ""at Bourbon Brothers"" indicates a specific venue or location where Boot Barn Hall is situated, identifying an organizational affiliation or host venue rather than a business type, place name, or professional credential—this is characteristic of disambiguation.",1,1.58
Atm,ATM (Post Office),post office,latin,disambiguation,location,high,"""Post Office"" is a location qualifier — it specifies where the ATM is situated (within a post office building), not what type of business the ATM itself is.",0,4.06
