short_name,long_name,extra_content,city,alt_address,base_address,canonical_is_shorter,verification_sources,verification_notes
Flanagan Paint & Supply,Flanagan Paint & Supply- Benjamin Moore Paint- Edwardsville,benjamin moore paint edwardsville,Edwardsville,1510 Troy Rd,1510 Troy Rd,,,
Ordine degli Ingegneri,Ordine degli Ingegneri della Provincia di Cagliari,della provincia di cagliari,Cagliari,"Via Torquato Tasso, 25",Via Tasso 25,,,
Results Physiotherapy,"Results Physiotherapy Nashville, Tennessee - West",nashville tennessee west,Nashville,6816 Charlotte Pike Ste 103,6816 Charlotte Pike,,,
Heilbronner Teeladen,Heilbronner Teeladen in der Delikatessa Kaufhof,in der delikatessa kaufhof,Heilbronn,Fleiner Straße 15,Deutschhofstraße 15,,,
Freddy's Frozen Custard & Steakburgers,"Freddy's Frozen Custard & Steakburgers Spring, TX, Kuykendahl Rd",spring tx kuykendahl rd,Spring,21420 Kuykendahl Rd,21420 Kuykendahl Rd,,,
Pieology Pizzeria,"Pieology Pizzeria Aina Haina, Honolulu, HI",aina haina honolulu hi,Honolulu,820 W Hind Dr,820 W Hind Dr,,,
PicturePeople Fotostudio,PicturePeople Fotostudio Frankfurt-Berger-Straße,frankfurtbergerstraße,Frankfurt am Main,Berger Straße 124A,Berger Str. 124A,,,
UBS Vila Elvira,UBS Vila Elvira - São José Do Rio Preto,sao jose do rio preto,,,,,,
Extended Stay America,Extended Stay America Los Angeles / Arcadia,los angeles arcadia,Arcadia,401 E Santa Clara St,401 E Santa Clara St,,,
Bluebird Care,Bluebird Care Tamworth & Lichfield,tamworth lichfield,Tamworth,21 Lichfield Street,"Manor House, Lichfield Street",,,
Miracle Mile Shops,Miracle Mile Shops At Planet Hollywood,at planet hollywood,Las Vegas,3663 S Las Vegas Blvd,3663 Las Vegas Blvd South,,,
Parc Clichy-Batignolles,Parc Clichy-Batignolles Martin Luther King,martin luther king,Paris,147 Rue Cardinet,Rue Cardinet,,,
The Vineyard Church,The Vineyard Church Bloomington-Normal,bloomingtonnormal,Normal,380 Wylie Dr,380 Wylie Dr Ste 650,,,
The Flying Locksmiths,The Flying Locksmiths - Los Angeles West,los angeles west,Inglewood,11222 S La Cienega Blvd,11222 S La Cienega Blvd Ste 254,,,
Comercial Mariano,Comercial Mariano de Porto Velho-Ro,de porto velhoro,Porto Velho,"Rua da Beira, 7420",Rua da Beira,,,
Fitness Together,Fitness Together - Jenks Riverside,jenks riverside,Tulsa,9708 Riverside Pkwy Ste D,9708 Riverside Pkwy Ste D,,,
Bluebird Care,Bluebird Care Epsom & Kingston,epsom kingston,Epsom,1 Blenheim Road,"Unit E Blenheim House, 1 Blenheim Road",,,
Hotel Olimpia,Hotel Olimpia  Silvi Marina TE,silvi marina te,Silvi,"Via Giovanni Pascoli, 16",Via Giovanni Pascoli 18,,,
Tiger Rock Martial Arts,Tiger Rock Martial Arts of Lawrenceville,of lawrenceville,Lawrenceville,1404 Lawrenceville Suwanee Rd,1404 Lawrenceville Suwanee Rd Ste 104,,,
City Center,City Center Bosque Esmeralda,bosque esmeralda,Atizapán de Zaragoza,Calle Bosque Esmeralda 2,Bosques de Arrayán 1 Mza. 5,,,
Maison du Parc,Maison du Parc de Themericourt,de themericourt,,rue du Fléau des Mers,Rue du Fléau des Mers,,,
Cookie Cutters Haircuts for Kids,Cookie Cutters Haircuts for Kids - Beverly Hills,beverly hills,Beverly Hills,266 S Beverly Dr,266 S Beverly Dr,,,
Colourfence Garden Fencing,ColourFence Garden Fencing - Isle Of Wight,isle of wight,Godshill,"Bridgecourt House, Whitwell Road","Bridgecourt House, Whitwell Road, Godshill",,,
Black Bear Lodge,Black Bear Lodge at Deer Valley,at deer valley,Park City,7447 Royal St,7447 Royal St E Unit 251,,,
Fox Trail Memory Care Living,Fox Trail Memory Care Living at South River,at south river,South River,69 Burton Ave,69 Burton Ave,,,
West Herr Cadillac,West Herr Cadillac of East Aurora,of east aurora,East Aurora,535 Main St,535 Main St,,,
Code Ninjas,Code Ninjas Virginia Beach,virginia beach,Virginia Beach,3300 Princess Anne Rd,3300 Princess Anne Rd Ste 739,,,
Esfiha Chic,Esfiha Chic - Vila Arcádia,vila arcadia,São Paulo,"Avenida General Edgard Facó, 2002","Av. Gal. Edgard Faccó, 2002",,,
Igreja Batista Vale de Bênção,Igreja Batista Vale De Benção - Águas Claras,aguas claras,Taguatinga,"Av. Vereda da Cruz, Lt. 17","Av. Vereda da Cruz, Lt. 17",,,
Bed Bath N Table,Bed Bath N' Table Winston Hills,winston hills,Sydney,56 Caroline Chisholm Dr,"Shop 56 Winston Hills Mall (Shop 56), Caroline Chisholm Drive",,,
Planet Fitness,"Planet Fitness - Manassas, VA",manassas va,Manassas,7680 Stream Walk Ln,7680 Stream Walk Ln,,,
Easton Town Center,Easton Town Center Columbus Ohio,columbus ohio,Columbus,,160 Easton Town Ctr,,,
Kumon Math and Reading Center,Kumon Math and Reading Center of Royersford,of royersford,Limerick Twp,329 10th Ave,329 10TH Ave Ste #135,,,
Virtual Sting,Virtual Sting Richmond Hill,richmond hill,Richmond Hill,9737 Yonge St. #204,"9737 Yonge street, #204",,,
Red Wing,"Red Wing - Roswell, GA",roswell ga,Roswell,875 Mansell Rd B1,875 Mansell Rd Ste B1,,,
Monkey Puzzle Day Nursery,Monkey Puzzle Day Nursery West Norwood,west norwood,London,445 Norwood Road,445 Norwood Road,,,
Boost Mobile,Boost Mobile Local Moline,local moline,Moline,1998 1st Street A,1998 1st St,,,
APEC Hospital de la Ceguera,Apec Hospital De La Ceguera Azcapotzalco,azcapotzalco,,Av. Azcapotzalco 552,Manuel Acuña 3,,,
First National Bank,First National Bank - Pottsville,pottsville,Pottsville,396 S Centre St,396 S Centre St,,,
Kip McGrath,Kip McGrath Hammersmith,hammersmith,London,165 King Street,165 King St 1st Floor,,,
