short_name,long_name,extra_content,script_type,correct_answer,predicted,confidence,reasoning,correct,latency_s
JE Carriers,JE Carriers Auto Transport,auto transport,latin,business_type,business_type,"high (Based on the explicit mention of 'auto transport', this strongly suggests that JE Carriers Auto Transport specializes in moving vehicles.)","The extra content 'auto transport' clearly indicates that JE Carriers Auto Transport specializes in vehicle transportation services, which implies it is not merely a name but also defines its business function.",1,3.78
Iglesia Fe Y Esperanza,Iglesia Fe y Esperanza Pinares,pinares,latin,location,location,"medium (The extra content provides some locational information, but without more specificity about its role in differentiating between multiple entities sharing part of a name.)","The extra content 'pinares', which translates to a sort of village or hamlet in Spanish, implies that Iglesia Fe y Esperanza is located within these smaller community settlements. This additional detail can help differentiate it from other establishments with similar names and may provide context for the local culture or history associated with this church's location.",1,3.02
West Bradenton Baptist,West Bradenton Baptist Church,church,latin,business_type,business_type,"medium-high, with the justification being that while we can confidently classify it as a place name related to religion or worship based on 'extra_content', without additional context about its exact nature (such as whether it specializes in particular aspects of Baptist practice), there's some ambiguity. However, given common naming conventions and the explicit mention within `long_name`, we lean towards classification under location with a touch more weight to business type if considering that religious institutions often serve multiple roles such as community center or social services hub.","The 'extra_content' here being 'church' confirms that West Bradenton Baptist is a place of worship. This term by itself doesn’t give us specifics about what kind it is, but the context provided in both `short_name` and `long_name` clearly indicates this establishment serves as a church without needing additional information to understand its purpose from 'extra_content'.",1,5.17
Monkey Puzzle Day Nursery,Monkey Puzzle Day Nursery West Norwood,west norwood,latin,location,location,medium,"The extra content 'west norwood' specifies a geographic location, suggesting that this particular nursery is in West Norwood. However, since it does not explicitly describe what kind of services or business operations the Nursery provides beyond its name and place reference, we need to proceed cautiously with our classification based solely on 'extra_content'.",1,3.01
Recolast Ambiental,Recolast Ambiental Engenharia,engenharia,latin,business_type,business_type,high,"The extra content 'engenharia' indicates that Recolast Ambiental is related to engineering work. Considering this, it suggests a business type as we see no geographical specificity or indication of location-related branding.",1,8.03
Virginia Coffee Roastery,Virginia Coffee Roastery & Eatery,eatery,latin,business_type,business_type,high,"The extra content 'eatery' provides clear information that this place is primarily a restaurant or cafe, suggesting it offers food service in addition to any other functions like roasting coffee. This helps distinguish its purpose from just being the name of an establishment and implies customer interaction with food services beyond those typically offered by a brewery (e.g., 'hotel' extra content).",1,5.85
Clarkston High School,Clarkston High School Natatorium,natatorium,latin,business_type,location,high,"The extra content 'natatorium' is a specific term related to indoor swimming facilities. The inclusion of this word alongside the name suggests that Clarkston High School has additional features or uses beyond being just its main name, likely pointing towards an extension such as a sports complex at the school which includes a natatorium (swimming pool).",0,2.31
Mint House Greenville,Mint House Greenville - West End,west end,latin,location,business_type,medium to high (The context is insufficient but plausible; additional information on Mint House and its services would be needed to confirm with certainty.),"The extra content 'west end' indicates a specific location within Greenville, suggesting that Mint House may have branches or areas identified as such. This implies relevance beyond just being an establishment name and could imply multiple locations of the same business type under different geographic labels in mind for disambiguation purposes. Without additional context to indicate otherwise, we should assume this is not merely noise but potentially a distinguishing feature within Greenville itself.",0,4.55
The UPS Store,The UPS Store 7313,7313,latin,disambiguation,noise,high (The presence of a postal code or address number alone does not convey enough about the nature or location of an establishment for meaningful classification beyond being noise.),"The extra content '7313' indicates a postal code or address number, which does not provide semantic information about what kind of place it is nor its location qualifier. This suggests that this detail likely serves as noise within the context provided for classifying the type of establishment The UPS Store refers to without additional geographical identifiers present in 'extra_content'.",0,2.97
Clifton And Lewis Insurance,Clifton and Lewis Insurance Group,group,latin,disambiguation,business_type,"high (This is a clear indication within business nomenclature that 'group' denotes membership in a larger collective, which typically falls under the category of insurance when referring to an industry context.)","The extra content 'group' suggests that Clifton And Lewis Insurance is part of a larger organization, which could be indicative of multiple businesses under one umbrella rather than being standalone entities. This additional context helps to understand the nature and structure of this name beyond its components as an insurance provider.",0,3.22
