short_name,long_name,extra_content,script_type,correct_answer,predicted,confidence,reasoning,correct,latency_s
JE Carriers,JE Carriers Auto Transport,auto transport,latin,business_type,business_type,high,"]
The extra content ""auto transport"" describes a specific service offered by JE Carriers, making it a business type. If we know what kind of place this is from the extra content, it's a business_type.",1,11.59
Iglesia Fe Y Esperanza,Iglesia Fe y Esperanza Pinares,pinares,latin,location,location,high,"]
]
The extra content ""Pinares"" is a location, specifying the neighborhood or area where Iglesia Fe y Esperanza is located. This information does not define what kind of place it is nor does it disambiguate it from other churches, so it falls under the 'location' category.",1,4.99
West Bradenton Baptist,West Bradenton Baptist Church,church,latin,business_type,disambiguation,high,"]
The extra content ""church"" is a disambiguation, as it specifies that West Bradenton Baptist is a church, providing additional information about the specific nature of the place without being a location or business type.",0,3.97
Monkey Puzzle Day Nursery,Monkey Puzzle Day Nursery West Norwood,west norwood,latin,location,location,high,"]
The extra content ""West Norwood"" is a location that identifies where Monkey Puzzle Day Nursery is situated. This falls under the 'location' classification.",1,3.76
Recolast Ambiental,Recolast Ambiental Engenharia,engenharia,latin,business_type,business_type,high,"]
The extra content ""engenharia"" describes a specific type of service or industry, which is engineering in Portuguese. Therefore, it falls under the classification of 'business_type'.",1,3.65
Virginia Coffee Roastery,Virginia Coffee Roastery & Eatery,eatery,latin,business_type,business_type,high,"]
The extra content ""eatery"" describes a specific type of business, which is a coffee roastery that also serves food. This falls under the category of 'business_type'.",1,3.85
Clarkston High School,Clarkston High School Natatorium,natatorium,latin,business_type,business_type,high,"]
The extra content ""natatorium"" is a specific type of place (swimming pool or aquatic center) within Clarkston High School, which means it falls under the classification of business_type. The longer name provides more descriptive and useful information about the facility.",1,4.79
Mint House Greenville,Mint House Greenville - West End,west end,latin,location,location,high,"]
The extra content ""West End"" is a geographical location, specifying where Mint House Greenville is located. This falls under the 'location' category.",1,3.62
The UPS Store,The UPS Store 7313,7313,latin,disambiguation,disambiguation,high,"]
The extra content ""7313"" is a numerical value that likely represents an identifier or number associated with The UPS Store, such as its location ID. This falls under the category of disambiguation, as it provides additional information about the specific branch of the store without being a place name or a business type.",1,5.0
Clifton And Lewis Insurance,Clifton and Lewis Insurance Group,group,latin,disambiguation,disambiguation,high,"]
The extra content ""group"" does not provide information about what kind of business this is (business_type) or where it's located (location). Instead, it appears to describe the organization structure as a group, which falls under the category of disambiguation since it identifies a specific branch or affiliation without being a place name.",1,5.15
Bluebird Care,Bluebird Care Epsom & Kingston,epsom kingston,latin,location,location,high,"]
The extra content ""Epsom & Kingston"" is a location as it specifies the specific areas where Bluebird Care operates. It does not define what kind of business it is or disambiguate between multiple possible locations, so it falls under the 'location' category.",1,4.73
Pieology Pizzeria,"Pieology Pizzeria Aina Haina, Honolulu, HI",aina haina honolulu hi,latin,location,location,high,"]
The extra content ""Aina Haina, Honolulu, HI"" adds geographical information about the location of Pieology Pizzeria. This is classified as 'location'.",1,3.57
Gary Ritter Violin,Gary Ritter Violin Viola Cello,viola cello,latin,business_type,business_type,high,"]
]
The extra content ""viola cello"" is not a location, a business type, or disambiguation. Instead, it describes additional instruments that are offered by Gary Ritter Violin. As the extra content describes a service offered by the business (violins, violas, and cellos), it falls under the classification of 'business_type'.",1,5.51
POLE DANCE AVEC MOI,Pole Dance avec Moi Marseille,marseille,latin,location,location,high,"]
The extra content ""Marseille"" is a location, as it specifies where Pole Dance avec Moi is located. This information does not define what kind of business it is nor disambiguate it from other similar businesses, so it falls under the 'location' category.",1,4.63
Schlotzsky's,"Schlotzsky's (Colony Way - Madison, MS)",colony way madison ms,latin,location,location,high,"]
The extra content ""colony way madison ms"" is a location, as it specifies both a street (""Colony Way"") and city-state combination (""Madison MS""), providing additional context that does not define what kind of business it is. However, since the place name does not disambiguate between multiple possible locations or businesses, we classify it as 'location'.",1,5.54
West Coast Hifi,West Coast Hi-Fi Rockingham,rockingham,latin,location,location,high,"]
The extra content ""Rockingham"" is a location as it specifies where West Coast Hi-Fi is located. This information does not define what kind of business or disambiguate it from other potential West Coast Hi-Fis, so it falls under the 'location' category.",1,4.7
Vape Haus,Vape Haus Queretaro,queretaro,latin,location,location,high,"]
The extra content ""Queretaro"" is a location, specifying where Vape Haus is located. This information does not define what kind of business it is or disambiguate it from other Vape Hauses, so it falls under the 'location' category.",1,4.68
Allison Hunt MD,"Allison Hunt, MD, FACOG",facog,latin,noise,disambiguation,high,"]
The extra content ""FACOG"" stands for Fellow of the American College of Obstetricians and Gynecologists, a professional designation that describes a specific area of expertise within the medical field. Therefore, it falls under the classification of 'disambiguation' as it identifies a specific aspect of the person's profession without being a place name or a business type.",0,5.79
Hamburguesas Al Carbon,Hamburguesas al Carbon Torreon,torreon,latin,location,location,high,"]
The extra content ""Torreon"" is a location, identifying the specific city where Hamburguesas al Carbon is located. This information does not define the type of business or disambiguate it from other possible locations, so it falls under the 'location' category.",1,4.61
