short_name,long_name,extra_content,script_type,correct_answer,reason,subtag,rules_blind,rules_full,ngram_word,ngram_char,sel_correct_answer,sel_rules_blind,sel_rules_full,sel_ngram_word,sel_ngram_char,sel_correct_rules_blind,sel_correct_rules_full,sel_correct_ngram_word,sel_correct_ngram_char,only_rules_correct,only_ngram_correct
JE Carriers,JE Carriers Auto Transport,auto transport,latin,business_type,Auto transport describes what JE Carriers does — service type,descriptor,location,business_type,disambiguation,disambiguation,keep_longer,keep_shorter,keep_longer,keep_shorter,keep_shorter,0,1,0,0,0,0
Iglesia Fe Y Esperanza,Iglesia Fe y Esperanza Pinares,pinares,latin,location,Extra content is a confirmed geographic location name,descriptor,location,location,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
West Bradenton Baptist,West Bradenton Baptist Church,church,latin,business_type,Church describes what the place IS (facility type),descriptor,location,business_type,disambiguation,disambiguation,keep_longer,keep_shorter,keep_longer,keep_shorter,keep_shorter,0,1,0,0,0,0
Monkey Puzzle Day Nursery,Monkey Puzzle Day Nursery West Norwood,west norwood,latin,location,Extra content is a confirmed geographic location name,descriptor,location,location,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Recolast Ambiental,Recolast Ambiental Engenharia,engenharia,latin,business_type,Engenharia (engineering) describes the business category,descriptor,location,business_type,disambiguation,disambiguation,keep_longer,keep_shorter,keep_longer,keep_shorter,keep_shorter,0,1,0,0,0,0
Virginia Coffee Roastery,Virginia Coffee Roastery & Eatery,eatery,latin,business_type,Extra content contains business-type word(s): eatery,descriptor,business_type,business_type,disambiguation,disambiguation,keep_longer,keep_longer,keep_longer,keep_shorter,keep_shorter,1,1,0,0,1,0
Clarkston High School,Clarkston High School Natatorium,natatorium,latin,business_type,Natatorium is a facility type — swimming pool/arena,descriptor,location,business_type,disambiguation,disambiguation,keep_longer,keep_shorter,keep_longer,keep_shorter,keep_shorter,0,1,0,0,0,0
Mint House Greenville,Mint House Greenville - West End,west end,latin,location,West End is a neighborhood — geographic location,descriptor,location,location,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
The UPS Store,The UPS Store 7313,7313,latin,disambiguation,Extra content is service description or contextual elaboration,descriptor,disambiguation,disambiguation,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Clifton And Lewis Insurance,Clifton and Lewis Insurance Group,group,latin,disambiguation,Extra content is service description or contextual elaboration,descriptor,location,location,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Bluebird Care,Bluebird Care Epsom & Kingston,epsom kingston,latin,location,Location pattern matched (place-name suffix),descriptor,location,location,disambiguation,location,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Pieology Pizzeria,"Pieology Pizzeria Aina Haina, Honolulu, HI",aina haina honolulu hi,latin,location,Extra content is a confirmed geographic location name,descriptor,location,location,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Gary Ritter Violin,Gary Ritter Violin Viola Cello,viola cello,latin,disambiguation,Extra content is service description or contextual elaboration,descriptor,location,location,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
POLE DANCE AVEC MOI,Pole Dance avec Moi Marseille,marseille,latin,location,Location pattern matched (major city),descriptor,location,location,disambiguation,location,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Schlotzsky's,"Schlotzsky's (Colony Way - Madison, MS)",colony way madison ms,latin,location,US city+state in parentheses,parenthetical,location,location,disambiguation,location,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
West Coast Hifi,West Coast Hi-Fi Rockingham,rockingham,latin,location,Extra content is a confirmed geographic location name,descriptor,location,location,disambiguation,location,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Vape Haus,Vape Haus Queretaro,queretaro,latin,location,Extra content is a confirmed geographic location name,descriptor,location,location,disambiguation,disambiguation,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
Allison Hunt MD,"Allison Hunt, MD, FACOG",facog,latin,disambiguation,Extra content is service description or contextual elaboration,descriptor,noise,noise,disambiguation,location,keep_shorter,keep_shorter,keep_shorter,keep_shorter,keep_shorter,1,1,1,1,0,0
