short_name,long_name,extra_content,script_type,correct_answer,predicted,confidence,reasoning,correct
JE Carriers,JE Carriers Auto Transport,auto transport,latin,business_type,business_type,high,"]
The extra content ""auto transport"" is a business type that helps to specify what services JE Carriers offers.",1
Iglesia Fe Y Esperanza,Iglesia Fe y Esperanza Pinares,pinares,latin,location,location,high,"]
The extra content ""Pinares"" is a geographic qualifier that identifies the specific location of the church, Iglesia Fe y Esperanza. It helps to differentiate this church from others with the same name.",1
West Bradenton Baptist,West Bradenton Baptist Church,church,latin,business_type,business_type,high,"]
The extra content ""church"" is not a location or disambiguation, but it does describe what KIND of place this is (a religious institution). As such, it falls under business_type.",1
Monkey Puzzle Day Nursery,Monkey Puzzle Day Nursery West Norwood,west norwood,latin,location,location,high,"]
The extra content ""West Norwood"" is a location qualifier, as it specifies the neighborhood or district where Monkey Puzzle Day Nursery is located. It helps to identify the geographical context of the business.",1
Recolast Ambiental,Recolast Ambiental Engenharia,engenharia,latin,business_type,disambiguation,high,"]
]
The extra content ""Engenharia"" is a professional designation, specifically the Portuguese word for ""Engineering"". This drives the decision to classify it as disambiguation, because it specifies the nature of the core business ""Recolast Ambiental"".",0
Virginia Coffee Roastery,Virginia Coffee Roastery & Eatery,eatery,latin,business_type,business_type,high,"]
The extra content ""eatery"" describes the nature of the business (it's a place to eat), which is a type of business. The long name gives us more information about what kind of place this is, making it a business_type.",1
Clarkston High School,Clarkston High School Natatorium,natatorium,latin,business_type,business_type,high,"]
The extra content ""natatorium"" is a specific type of facility within Clarkston High School, which falls under the category of business_type. It specifies that this place is a swimming pool or aquatic center at the high school. Therefore, it adds essential information to the shorter name.",1
Mint House Greenville,Mint House Greenville - West End,west end,latin,location,location,high,"]
The extra content ""West End"" in this case is a location, specifically a neighborhood or district within Greenville. It helps to identify where Mint House is situated.",1
The UPS Store,The UPS Store 7313,7313,latin,disambiguation,noise,high,"]
The extra content ""7313"" does not provide useful information about what kind of place The UPS Store is, where it is located, or how to disambiguate multiple UPS Stores. Instead, it appears to be a store number. This leads to the classification of noise.",0
Clifton And Lewis Insurance,Clifton and Lewis Insurance Group,group,latin,disambiguation,disambiguation,high,"]
The extra content ""group"" is used to denote a larger organization that contains multiple branches or entities. Here, it helps disambiguate between Clifton and Lewis Insurance being a single location or part of a wider network. This classification is ""disambiguation"".",1
Bluebird Care,Bluebird Care Epsom & Kingston,epsom kingston,latin,location,location,high,"]
]
The extra content ""Epsom & Kingston"" is a location qualifier that specifies the geographic area where Bluebird Care operates. This helps to disambiguate this business from others with the same name.",1
Pieology Pizzeria,"Pieology Pizzeria Aina Haina, Honolulu, HI",aina haina honolulu hi,latin,location,location,high,"]
The extra content ""Aina Haina, Honolulu, HI"" provides a location qualifier specifying the neighborhood (Aina Haina), city (Honolulu), and state (HI). This is classified as location.",1
Gary Ritter Violin,Gary Ritter Violin Viola Cello,viola cello,latin,disambiguation,noise,high,"]
The extra content ""viola cello"" adds instrument type descriptions that do not differentiate or disambiguate the core name ""Gary Ritter Violin"". It does not indicate the location, business type, or any other kind of specialized information about this establishment. Therefore, it can be classified as noise.",0
