short_name,long_name,extra_content,script_type,note,ideal_constructed_name,is_compound,biz_type_tokens,location_tokens,detection_reasoning,constructed_name,faithfulness_model,faithfulness_rule,construction_reasoning,action
Arthur Murray,Arthur Murray Dance Studio - Beaverton,dance studio beaverton,latin,"Ideal: Arthur Murray Dance Studio  (Type1: business_type=dance studio, location=beaverton)",Arthur Murray Dance Studio,True,dance studio,beaverton,"The extra content ""dance studio beaverton"" contains two distinct semantic components: ""dance studio"" describes the business type (what kind of establishment it is), and ""beaverton"" is a geographic location qualifier used to disambiguate this particular branch from other Arthur Murray locations.",Arthur Murray Dance Studio,True,True,"The canonical name combines the short_name ""Arthur Murray"" with the business-type tokens ""Dance Studio"" (casing sourced from long_name), dropping the location qualifier ""- Beaverton"".",construct
Dog's Shop,Dog's Shop Pampulha - Pet Shop,pampulha pet shop,latin,"Ideal: Dog's Shop Pet Shop  (Type1: business_type=pet shop, location=pampulha)",Dog's Shop Pet Shop,True,pet shop,pampulha,"The extra content ""pampulha pet shop"" combines a geographic location (Pampulha, a neighborhood/district) with a business-type descriptor (pet shop). This is a classic compound structure where location is used to disambiguate a multi-branch business.",Dog's Shop Pet Shop,True,True,"Combined ""Dog's Shop"" (short_name) with ""Pet Shop"" (biz_type_tokens in title case from long_name), dropping the location qualifier ""Pampulha"" and hyphen, with all tokens faithfully present in the original long_name.",construct
カレット,カレット洋菓子店 矢田店,洋菓子店 矢田店,cjk,"Ideal: カレット洋菓子店  (Type1: business_type=洋菓子店 (confectionery), location=矢田店 (Yata branch))",カレット洋菓子店,True,洋菓子店,矢田店,"The extra_content contains two distinct morphological components: ""洋菓子店"" (yōgashiten = Western confectionery store), which is a business-type descriptor formed by product category + 店 (shop suffix), and ""矢田店"" (Yata-ten = Yata branch), where 矢田 is a geographic location and 店 serves as a branch-location suffix. This is a compound structure fusing business type with location qualifier.",カレット洋菓子店,True,True,"Combined short_name ""カレット"" with biz_type_tokens ""洋菓子店"" via direct concatenation (no space inserted, per CJK conventions), and dropped the location qualifier ""矢田店"".",construct
Me n Moms,Me n Moms Baby Care & Kids Store in Barasar,baby care kids store in barasar,latin,"Ideal: Me n Moms Baby Care & Kids Store  (Type1: business_type=baby care & kids store, location=in barasar)",Me n Moms Baby Care & Kids Store,True,baby care & kids store,in barasar,"The extra content clearly separates into two distinct semantic components: ""baby care & kids store"" describes the business type (what kind of retail establishment), while ""in barasar"" is a geographic location qualifier added for disambiguation. This is a classic compound structure where both components serve different purposes.",Me n Moms Baby Care & Kids Store,True,True,"Combined ""Me n Moms"" with ""Baby Care & Kids Store"" (preserving capitalization and the ampersand from long_name) and dropped the location qualifier ""in Barasar"".",construct
Specsavers,Specsavers Opticians And Audiologists - South Woodham Sainsbury's,opticians and audiologists south woodham sainsburys,latin,"Ideal: Specsavers Opticians & Audiologists  (Type1: business_type=opticians and audiologists, location=South Woodham Sainsburys)",Specsavers Opticians & Audiologists,True,opticians and audiologists,south woodham sainsburys,"The extra content contains both a business-type descriptor (""opticians and audiologists"") that clarifies what services Specsavers provides, and a location qualifier (""south woodham sainsburys"") that identifies a specific branch location and its co-tenancy context, making this a compound that fuses two distinct semantic components.",Specsavers Opticians And Audiologists,True,True,"Combined short_name ""Specsavers"" with biz_type_tokens ""opticians and audiologists"" using capitalization from long_name, and dropped the location qualifier ""- South Woodham Sainsbury's"".",construct
Specsavers,Specsavers Opticians and Audiologists - Darlington Victoria Road Sainsbury's,opticians and audiologists darlington victoria road sainsburys,latin,"Ideal: Specsavers Opticians & Audiologists  (Type1: business_type=opticians and audiologists, location=Darlington Victoria Road)",Specsavers Opticians & Audiologists,True,opticians and audiologists,darlington victoria road sainsburys,"The extra content contains two distinct semantic components: ""opticians and audiologists"" describes the business type (services offered), while ""darlington victoria road sainsburys"" specifies the geographic location and landmark to disambiguate this particular branch.",Specsavers Opticians and Audiologists,True,True,"Combined short_name ""Specsavers"" with biz_type_tokens ""opticians and audiologists"" (capitalized as ""Opticians and Audiologists"" from long_name), and dropped the location qualifier ""- Darlington Victoria Road Sainsbury's"".",construct
back2motion,Back2Motion - Praxis für Physiotherapie & Med. Fitness Friedrichshafen,praxis fur physiotherapie med fitness friedrichshafen,latin,"Ideal: Back2Motion - Praxis für Physiotherapie & Med. Fitness  (Type1: business_type=Praxis für Physiotherapie, location=Friedrichshafen)",Back2Motion - Praxis für Physiotherapie & Med. Fitness,True,praxis fur physiotherapie med fitness,friedrichshafen,"The extra content contains ""praxis fur physiotherapie med fitness"" which describes the business type (a physical therapy and medical fitness practice), and ""friedrichshafen"" which is a geographic location (city in Germany) appended for disambiguation. These are two semantically distinct components fused together.",Back2Motion - Praxis für Physiotherapie & Med. Fitness,True,True,"Combined short_name ""Back2Motion"" with the business-type descriptor ""Praxis für Physiotherapie & Med. Fitness"" (preserving the hyphen, ampersand, and period as they appear in long_name), and dropped the location qualifier ""Friedrichshafen"".",construct
PruittHealth,PruittHealth Hospice (Gainesville),hospice gainesville,latin,"Ideal: PruittHealth Hospice  (Type1: business_type=hospice, location=gainesville)",PruittHealth Hospice,True,hospice,gainesville,"The extra content ""hospice gainesville"" contains two distinct semantic components: ""hospice"" describes the business type (a specific kind of healthcare facility), and ""gainesville"" is a geographic location used to disambiguate which PruittHealth facility this is. Both components are present and fused together.",PruittHealth Hospice,True,True,"Combined ""PruittHealth"" with ""Hospice"" (matching capitalization from long_name) and dropped the location qualifier ""(Gainesville)""; all tokens in the constructed name appear in the long_name.",construct
iChiro Clinics,iChiro Clinics/Peak Performance Integrated Medicine North Office,peak performance integrated medicine north office,latin,"Ideal: iChiro Clinics / Peak Performance Integrated Medicine  (Type1: business_type=integrated medicine, location=north office)",iChiro Clinics / Peak Performance Integrated Medicine,True,peak performance integrated medicine,north office,"The extra content contains both a business-type descriptor (""peak performance integrated medicine"") that characterizes the nature of the clinic, and a location qualifier (""north office"") that specifies which branch or location within a multi-site organization. These are semantically distinct components fused together.",iChiro Clinics/Peak Performance Integrated Medicine,True,True,"Combined short_name ""iChiro Clinics"" with biz_type_tokens ""Peak Performance Integrated Medicine"" using the slash separator present in long_name, and dropped the location qualifier ""North Office"" at the end.",construct
Proximus,Proximus Shop Sint-Truiden Luikerstraat,shop sinttruiden luikerstraat,latin,"Ideal: Proximus Shop  (Type1: business_type=shop, location=Sint-Truiden Luikerstraat)",Proximus Shop,True,shop,sinttruiden luikerstraat,"The extra content contains ""shop"" (business type: a retail store) combined with ""sinttruiden luikerstraat"" (location: Sint-Truiden city and Luikerstraat street). This is a compound that fuses a business-type descriptor with a geographic location qualifier used for disambiguation.",Proximus Shop,True,True,"Combined ""Proximus"" (short_name) with ""Shop"" (biz_type_tokens, preserving capitalization from long_name) and dropped the location qualifier ""Sint-Truiden Luikerstraat"".",construct
iRiparo,iRiparo Store Bollate,store bollate,latin,"Ideal: iRiparo Store  (Type1: business_type=store, location=Bollate (Italian city))",iRiparo Store,True,store,bollate,"The extra content ""store bollate"" contains both a business-type descriptor (""store"") and a location qualifier (""bollate"", which is a municipality near Milan). This is a compound that fuses business classification with geographic disambiguation.",iRiparo Store,True,True,"Combined short_name ""iRiparo"" with biz_type_tokens ""Store"" using capitalization from long_name, and dropped the location qualifier ""Bollate"".",construct
Tecnocasa,Tecnocasa Studio Rapallo,studio rapallo,latin,"Ideal: Tecnocasa Studio  (Type1: business_type=studio (real estate office), location=Rapallo)",Tecnocasa Studio,True,studio,rapallo,"""Studio"" describes the business type (a real estate agency studio/office), while ""Rapallo"" is a geographic location (a city in Italy). The extra content fuses both a business-type descriptor and a location qualifier.",Tecnocasa Studio,True,True,"Combined short_name ""Tecnocasa"" with biz_type_tokens ""Studio"" (preserving capitalization from long_name) and dropped the location qualifier ""Rapallo"".",construct
Imli,IMLI Restaurant Derby,restaurant derby,latin,"Ideal: Imli Restaurant  (Type1+casing: business_type=restaurant, location=Derby, short needs decasing)",Imli Restaurant,True,restaurant,derby,"The extra content ""restaurant derby"" contains both a business-type descriptor (""restaurant"") and a location qualifier (""derby""), which is a geographic place name used to disambiguate this branch from other IMLI locations.",IMLI Restaurant,True,True,"Combined ""IMLI"" (short_name) with ""Restaurant"" (biz_type_tokens) using capitalization from long_name, and dropped ""Derby"" as the location qualifier.",construct
SushiCo,SushiCo | Sushi & Bubble Tea Ede,sushi bubble tea ede,latin,"Ideal: SushiCo | Sushi & Bubble Tea  (Type1: business_type=sushi & bubble tea, location=Ede (Dutch city))",SushiCo | Sushi & Bubble Tea,True,sushi bubble tea,ede,"The extra content ""sushi bubble tea ede"" contains two distinct semantic components: ""sushi bubble tea"" describes the business types/offerings (what kind of food/beverages are served), while ""ede"" is a geographic location (a city in the Netherlands). This is a compound structure where a business descriptor is fused with a location qualifier.",SushiCo Sushi & Bubble Tea,True,True,"Combined short_name ""SushiCo"" with the business-type descriptor ""Sushi & Bubble Tea"" (preserving the ampersand and capitalization from long_name), and dropped the location qualifier ""Ede"" and the pipe separator.",construct
Supplay,Supplay Chartres BTP Transport,chartres btp transport,latin,"Ideal: Supplay BTP Transport  (Type1: business_type=BTP transport (construction staffing), location=Chartres)",Supplay BTP Transport,True,btp transport,chartres,"The extra content ""chartres btp transport"" contains two distinct components: ""btp transport"" describes the business type (BTP is a French construction/public works sector designation, and ""transport"" specifies the service), while ""chartres"" is a geographic location (a city in France used to disambiguate this branch from others).",Supplay BTP Transport,True,True,"Combined ""Supplay"" with ""BTP Transport"" (from biz_type_tokens), dropping the location qualifier ""Chartres"" that appears between them in the long_name, with casing reproduced exactly as it appears in the long_name.",construct
Headlight,Headlight Therapists and Psychiatric Services Wasilla,therapists and psychiatric services wasilla,latin,"Ideal: Headlight Therapists and Psychiatric Services  (Type1: business_type=therapists and psychiatric services, location=Wasilla AK)",Headlight Therapists and Psychiatric Services,True,therapists and psychiatric services,wasilla,"The extra content ""therapists and psychiatric services wasilla"" contains both a business-type descriptor (""therapists and psychiatric services"") that explains the nature of the establishment, and a location qualifier (""wasilla"") that identifies a specific geographic branch or location.",Headlight Therapists and Psychiatric Services,True,True,"Combined short_name ""Headlight"" with biz_type_tokens ""Therapists and Psychiatric Services"" (matching capitalization from long_name), and dropped the location qualifier ""Wasilla"".",construct
Hertz,Hertz Car Rental - Columbus - Reynoldsburg HLE,car rental columbus reynoldsburg hle,latin,"Ideal: Hertz Car Rental  (Type1: business_type=car rental, location=Columbus Reynoldsburg HLE)",Hertz Car Rental,True,car rental,columbus reynoldsburg hle,"The extra content ""car rental columbus reynoldsburg hle"" contains both a business-type descriptor (""car rental"") and location qualifiers (""columbus reynoldsburg hle""), making this a compound that fuses semantic components unsuitable for canonical naming.",Hertz Car Rental,True,True,"Combined the short_name ""Hertz"" with the business-type tokens ""Car Rental"" (capitalized as they appear in long_name), dropping the location qualifiers ""- Columbus - Reynoldsburg HLE"".",construct
Sécuritest,Sécuritest Contrôle Technique Automobile Saint Amand les Eaux,controle technique automobile saint amand les eaux,latin,"Ideal: Sécuritest Contrôle Technique Automobile  (Type1: business_type=contrôle technique automobile (vehicle inspection), location=Saint Amand les Eaux)",Sécuritest Contrôle Technique Automobile,True,controle technique automobile,saint amand les eaux,"The extra content contains two distinct semantic components: ""controle technique automobile"" describes the business type (vehicle technical inspection service), and ""saint amand les eaux"" is a geographic location (a city name) used to disambiguate the branch. This is a clear compound of business-type plus location.",Sécuritest Contrôle Technique Automobile,True,True,"Combined ""Sécuritest"" with ""Contrôle Technique Automobile"" using exact casing and spacing from the long_name, and dropped the location qualifier ""Saint Amand les Eaux"".",construct
Signal Iduna,SIGNAL IDUNA Geschäftsstelle Siegburg,geschaftsstelle siegburg,latin,"Ideal: Signal Iduna Geschäftsstelle  (Type1+casing: business_type=Geschäftsstelle (branch office), location=Siegburg)",Signal Iduna Geschäftsstelle,True,geschaftsstelle,siegburg,"The extra content ""geschaftsstelle siegburg"" contains both a business-type descriptor (""geschaftsstelle"", German for ""branch office"" or ""office location"") and a location qualifier (""siegburg"", the city name). This is a compound that fuses a business type with a geographic identifier used for disambiguation.",Signal Iduna Geschäftsstelle,True,True,"Combined ""Signal Iduna"" (short_name) with ""Geschäftsstelle"" (business-type descriptor from long_name, corrected to proper German spelling), and dropped the location qualifier ""Siegburg""; casing adjusted to match standard title case from the long_name.",construct
LUSH,LUSH Cosmetics Düsseldorf,cosmetics dusseldorf,latin,"Ideal: Lush Cosmetics  (Type1+casing: business_type=cosmetics, location=Düsseldorf, short needs decasing)",Lush Cosmetics,True,cosmetics,dusseldorf,"The extra_content ""cosmetics dusseldorf"" contains two distinct semantic components: ""cosmetics"" describes the business type (what LUSH sells), while ""dusseldorf"" is a geographic location (city qualifier). This is a classic compound structure where a business descriptor is fused with a location identifier.",LUSH Cosmetics,True,True,"Combined short_name ""LUSH"" with biz_type_tokens ""cosmetics"" using the capitalization from long_name (""Cosmetics""), and dropped the location qualifier ""Düsseldorf"".",construct
F45,F45 Training Pyrmont,training pyrmont,latin,"Ideal: F45 Training  (Type1: business_type=training (fitness franchise type), location=Pyrmont (Sydney suburb))",F45 Training,True,training,pyrmont,"The extra content ""training pyrmont"" contains two distinct semantic components: ""training"" describes the business type (a fitness/training facility), and ""Pyrmont"" is a geographic location (suburb of Brisbane, Australia) used to disambiguate the branch. This is a classic compound of business-type + location qualifier.",F45 Training,True,True,"Combined ""F45"" and ""Training"" from the long_name, dropping the location qualifier ""Pyrmont"" while preserving the capitalization of both components as they appear in the source.",construct
DomusVi,DomusVi Domicile Saint-Germain-en-Laye,domicile saint-germain-en-laye,latin,"Ideal: DomusVi Domicile  (Type1: business_type=domicile (home care in French), location=Saint-Germain-en-Laye)",DomusVi Domicile,True,domicile,saint-germain-en-laye,"The extra content ""domicile saint-germain-en-laye"" contains two distinct components: ""domicile"" describes the business type (a residential care/domiciliary service), while ""saint-germain-en-laye"" is a geographic location (a city in France) used to disambiguate this specific branch from other DomusVi locations.",DomusVi Domicile,True,True,"Combined short_name ""DomusVi"" with biz_type_tokens ""Domicile"" (using capitalization from long_name), and dropped the location qualifier ""Saint-Germain-en-Laye"".",construct
Debeka,Debeka Servicebüro Kelkheim,servicebuero kelkheim,latin,"Ideal: Debeka Servicebüro  (Type1: business_type=servicebüro (service office), location=Kelkheim)",Debeka Servicebüro,True,servicebuero,kelkheim,"The extra content ""servicebuero kelkheim"" contains two semantically distinct components: ""servicebuero"" (service office) describes the business type, while ""kelkheim"" is a geographic location (city in Germany) used to disambiguate this particular branch.",Debeka Servicebüro,True,True,"Combined ""Debeka"" with ""Servicebüro"" (sourcing capitalization and umlaut from long_name), and dropped the location qualifier ""Kelkheim"".",construct
