short_name,long_name,extra_content,script_type,correct_answer,predicted,confidence,reasoning,correct,latency_s
JE Carriers,JE Carriers Auto Transport,auto transport,latin,business_type,business_type,high,"The extra content ""auto transport"" describes what kind of service or type of business JE Carriers is, indicating that it specializes in auto transportation.",1,25.64
Iglesia Fe Y Esperanza,Iglesia Fe y Esperanza Pinares,pinares,latin,location,location,high,"The extra content ""pinares"" is a neighborhood or area name, which provides location information to disambiguate the church's specific location.",1,5.28
West Bradenton Baptist,West Bradenton Baptist Church,church,latin,business_type,business_type,high,"The extra content ""church"" is a clear indicator of the type of place, specifying that West Bradenton Baptist is a church.",1,4.94
Monkey Puzzle Day Nursery,Monkey Puzzle Day Nursery West Norwood,west norwood,latin,location,location,high,"The extra content ""west norwood"" is a neighborhood or area name, which provides a location qualifier to disambiguate the exact place.",1,5.15
Recolast Ambiental,Recolast Ambiental Engenharia,engenharia,latin,business_type,business_type,high,"The extra content ""engenharia"" specifies that Recolast Ambiental is an engineering firm, which clarifies the type of business it represents.",1,5.21
Virginia Coffee Roastery,Virginia Coffee Roastery & Eatery,eatery,latin,business_type,business_type,high,"The extra content ""eatery"" describes what kind of establishment this place is, indicating that it offers dining services in addition to coffee.",1,4.99
Clarkston High School,Clarkston High School Natatorium,natatorium,latin,business_type,business_type,high,"The extra content ""natatorium"" specifies a specific part or facility within the school, indicating it is not just a general location but rather identifies the particular kind of place.",1,5.47
Mint House Greenville,Mint House Greenville - West End,west end,latin,location,location,high,"The extra content ""west end"" is a location qualifier that specifies a neighborhood or area within Greenville.",1,4.35
The UPS Store,The UPS Store 7313,7313,latin,disambiguation,disambiguation,high,"The extra content '7313' appears to be a store number or identifier, which provides specific information about this particular UPS Store branch.",1,5.27
Clifton And Lewis Insurance,Clifton and Lewis Insurance Group,group,latin,disambiguation,business_type,high,"The extra content ""group"" specifies a specific organizational structure of the business, indicating that it is part of a larger entity or has an expanded scope beyond just being an insurance provider. This suggests a more formal or hierarchical aspect to the business, which provides meaningful information about what kind of place this is.",0,7.61
Bluebird Care,Bluebird Care Epsom & Kingston,epsom kingston,latin,location,location,high,"The extra content ""epsom kingston"" is a location name referring to two cities, Epsom and Kingston. It specifies where the Bluebird Care services are provided.",1,5.64
Pieology Pizzeria,"Pieology Pizzeria Aina Haina, Honolulu, HI",aina haina honolulu hi,latin,location,location,high,"The extra content ""aina haina honolulu hi"" provides a location indicating both the neighborhood (Aina Haina) and city-state (Honolulu, HI), which are place names.",1,5.94
Gary Ritter Violin,Gary Ritter Violin Viola Cello,viola cello,latin,business_type,disambiguation,high,"The extra content ""viola cello"" indicates additional musical instruments played by Gary Ritter, which clarifies what specific services he provides. This is a disambiguation of his professional scope beyond just violin.",0,6.35
POLE DANCE AVEC MOI,Pole Dance avec Moi Marseille,marseille,latin,location,location,high,"The extra content ""marseille"" specifies a location (city) that provides context but does not change the core business type or provide disambiguation.",1,5.24
Schlotzsky's,"Schlotzsky's (Colony Way - Madison, MS)",colony way madison ms,latin,location,location,high,"The extra content ""colony way madison ms"" specifies a location (street name, city, state) that qualifies where this specific Schlotzsky's is located.",1,5.78
