short_name,long_name,extra_content,script_type,correct_answer,predicted,confidence,reasoning,correct,latency_s
JE Carriers,JE Carriers Auto Transport,auto transport,latin,business_type,business_type,high,"The extra content ""auto transport"" describes what KIND of transportation services JE Carriers specializes in, which is essential information to distinguish this company from others.",1,12.66
Iglesia Fe Y Esperanza,Iglesia Fe y Esperanza Pinares,pinares,latin,location,location,high,"The extra content ""pinares"" is a geographic location qualifier, specifically a neighborhood or district name that identifies where this church is situated.",1,2.82
West Bradenton Baptist,West Bradenton Baptist Church,church,latin,business_type,business_type,high,"The extra content ""church"" describes what KIND of place this is, specifically a type of religious institution, which falls under the business_type category.",1,2.88
Monkey Puzzle Day Nursery,Monkey Puzzle Day Nursery West Norwood,west norwood,latin,location,location,high,"The extra content ""west norwood"" is a location identifier that provides a more specific address of this day nursery, serving as directory noise rather than adding semantic value to what type of business it is.",1,3.26
Recolast Ambiental,Recolast Ambiental Engenharia,engenharia,latin,business_type,business_type,high,"The extra content ""engenharia"" translates to ""engineering"", which identifies a specific service or type of expertise provided by this company, implying that it is a business type.",1,3.11
Virginia Coffee Roastery,Virginia Coffee Roastery & Eatery,eatery,latin,business_type,business_type,high,"The extra content ""eatery"" describes what KIND of place this is, indicating it's not just a coffee roastery but also serves food.",1,2.87
Clarkston High School,Clarkston High School Natatorium,natatorium,latin,business_type,business_type,high,"The extra content ""natatorium"" describes what kind of facility this is, indicating it's a pool or aquatic center associated with Clarkston High School.",1,2.92
Mint House Greenville,Mint House Greenville - West End,west end,latin,location,location,high,"The extra content ""west end"" is a geographic location qualifier indicating the neighborhood or area within Greenville where this Mint House branch is situated.",1,2.72
The UPS Store,The UPS Store 7313,7313,latin,disambiguation,noise,high,"The extra content ""7313"" is a specific numeric identifier that appears to be a store number or location code, which does not provide any semantic value about what kind of business this is.",0,3.14
Clifton And Lewis Insurance,Clifton and Lewis Insurance Group,group,latin,disambiguation,disambiguation,high,"The extra content ""group"" identifies a specific organizational affiliation or franchise/parallel brand, indicating that this is an insurance group rather than just a standalone agency.",1,2.97
Bluebird Care,Bluebird Care Epsom & Kingston,epsom kingston,latin,location,location,high,"The extra content ""epsom kingston"" is a list of cities or regions, specifically geographic locations serving to disambiguate which branches of Bluebird Care are being referred to.",1,3.1
Pieology Pizzeria,"Pieology Pizzeria Aina Haina, Honolulu, HI",aina haina honolulu hi,latin,location,location,high,"The extra content ""aina haina honolulu hi"" is a sequence of geographic location identifiers: Aina Haina is a neighborhood, Honolulu is a city, and HI stands for Hawaii state. This information is specifying the exact physical address but doesn't add any new business-type classification.",1,4.03
Gary Ritter Violin,Gary Ritter Violin Viola Cello,viola cello,latin,business_type,business_type,high,"The extra content ""viola cello"" lists services provided by Gary Ritter Violin, which is indicative of a business type, specifically specifying the types of instruments on which they offer expertise.",1,3.26
