short_name,long_name,extra_content,script_type,correct_answer,predicted,confidence,reasoning,correct,latency_s
JE Carriers,JE Carriers Auto Transport,auto transport,latin,business_type,business_type,high,"The extra content ""auto transport"" describes what kind of service JE Carriers provides, which is a business type.",1,8.97
Iglesia Fe Y Esperanza,Iglesia Fe y Esperanza Pinares,pinares,latin,location,location,high,"The extra content ""pinares"" is a geographic qualifier indicating a specific location, which typically classifies as a place name.",1,2.47
West Bradenton Baptist,West Bradenton Baptist Church,church,latin,business_type,business_type,high,"The extra content ""church"" identifies what kind of place this is, which fits the definition of business_type.",1,2.36
Monkey Puzzle Day Nursery,Monkey Puzzle Day Nursery West Norwood,west norwood,latin,location,location,high,"The extra content ""west norwood"" is a specific location qualifier, indicating the neighborhood where the nursery is situated.",1,2.34
Recolast Ambiental,Recolast Ambiental Engenharia,engenharia,latin,business_type,business_type,high,"The extra content ""engenharia"" means ""engineering,"" which describes what kind of service or business type this is. Therefore, it falls under the 'business_type' classification.",1,2.88
Virginia Coffee Roastery,Virginia Coffee Roastery & Eatery,eatery,latin,business_type,business_type,high,"The extra content ""eatery"" describes what kind of place Virginia Coffee Roastery is, indicating it offers dining options in addition to coffee roasting.",1,25.62
Clarkston High School,Clarkston High School Natatorium,natatorium,latin,business_type,business_type,high,"The extra content ""natatorium"" indicates that this is a specific facility or type of place related to the main name, which describes what kind of institution Clarkston High School has. This fits the criteria for business_type.",1,26.13
Mint House Greenville,Mint House Greenville - West End,west end,latin,location,location,high,"The extra content ""west end"" indicates a specific neighborhood or district within Greenville, which is typical of location qualifiers.",1,2.37
The UPS Store,The UPS Store 7313,7313,latin,disambiguation,location,high,"The extra content ""7313"" is a numerical identifier likely representing an address or store number, which falls under location as it provides a specific qualifier.",0,2.7
Clifton And Lewis Insurance,Clifton and Lewis Insurance Group,group,latin,disambiguation,disambiguation,high,"The extra content ""group"" identifies a specific organizational structure or affiliation, which helps disambiguate between multiple entities named Clifton and Lewis Insurance. Therefore, it is classified as disambiguation.",1,3.14
Bluebird Care,Bluebird Care Epsom & Kingston,epsom kingston,latin,location,location,high,"The extra content ""epsom kingston"" indicates place names, which are city or neighborhood qualifiers.",1,2.23
Pieology Pizzeria,"Pieology Pizzeria Aina Haina, Honolulu, HI",aina haina honolulu hi,latin,location,location,high,"The extra content includes a specific location ""aina haina honolulu hi"", which suggests that the longer name provides more precise geographical information.",1,2.63
Gary Ritter Violin,Gary Ritter Violin Viola Cello,viola cello,latin,business_type,business_type,high,"The extra content ""viola cello"" specifies additional musical instruments, which describes what kind of business Gary Ritter Violin operates.",1,2.57
POLE DANCE AVEC MOI,Pole Dance avec Moi Marseille,marseille,latin,location,location,high,"The extra content ""marseille"" indicates a specific location, which drives the decision towards classifying this as location.",1,2.36
Schlotzsky's,"Schlotzsky's (Colony Way - Madison, MS)",colony way madison ms,latin,location,location,high,"The extra content includes a street name (""Colony Way"") and location details (""Madison, MS""), which are place names that qualify the core business name.",1,2.81
West Coast Hifi,West Coast Hi-Fi Rockingham,rockingham,latin,location,location,high,"The extra content ""rockingham"" is a location qualifier that specifies which branch or store of West Coast Hi-Fi is being referred to, thus driving the decision towards classifying it as a location.",1,2.98
Vape Haus,Vape Haus Queretaro,queretaro,latin,location,location,high,"The extra content ""queretaro"" is a city name in Mexico, which provides context about the specific location of the business.",1,2.49
Allison Hunt MD,"Allison Hunt, MD, FACOG",facog,latin,noise,disambiguation,high,"The extra content ""facog"" stands for ""Fellow of the American College of Obstetricians and Gynecologists,"" which is a disambiguating title indicating professional affiliation.",0,3.06
Hamburguesas Al Carbon,Hamburguesas al Carbon Torreon,torreon,latin,location,location,high,"The extra content ""torreon"" is a location qualifier that specifies the city or region, which falls under the location category.",1,2.51
Vighna Bamboo Briyani,Vighna Bamboo Briyani - JB,jb,latin,location,noise,high,"The extra content ""jb"" is likely an identifier or code that does not provide any additional semantic meaning about the nature, location, or type of the business.",0,2.84
Florería Rosa Pastel,Florería Rosa Pastel P. Peñasco,p penasco,latin,location,location,high,"The extra content ""p penasco"" indicates a specific location qualifier, which is why it drives the decision towards classifying this as a location.",1,7.1
Boot Barn Hall,Boot Barn Hall at Bourbon Brothers,at bourbon brothers,latin,disambiguation,disambiguation,high,"The extra content ""at bourbon brothers"" indicates that this is specifying which location or branch of Bourbon Brothers, driving the classification as disambiguation.",1,4.31
Atm,ATM (Post Office),post office,latin,disambiguation,location,high,"The extra content ""post office"" identifies a specific type of location where the ATM is situated, which adds context but does not change the core functionality or identify a business type.",0,4.75
Marathon Gas,Marathon Gas & DQ,dq,latin,disambiguation,disambiguation,high,"The extra content ""dq"" identifies a specific service or franchise affiliation, which is a disambiguation qualifier.",1,3.95
Planet Fitness,"Planet Fitness - Manassas, VA",manassas va,latin,location,location,high,"The extra content ""manassas va"" is a specific location, which indicates that this name should be classified as 'location'.",1,4.1
Raising Cane's,Raising Cane's Chicken Fingers,chicken fingers,latin,business_type,business_type,high,"The extra content ""chicken fingers"" describes what kind of establishment Raising Cane's is, specifically highlighting the primary menu item.",1,43.25
La Azotea,La Azotea Terraza,terraza,latin,business_type,business_type,high,"The extra content ""terraza"" means ""terrace"" in Spanish, which describes a type of outdoor space. This indicates that ""La Azotea Terraza"" is emphasizing what kind of place La Azotea is, making it a business type.",1,45.53
bergwerk IT GmbH,bergwerk IT GmbH | Webentwicklung & IT-Infrastruktur,webentwicklung itinfrastruktur,latin,disambiguation,business_type,high,"The extra content ""webentwicklung & itinfrastruktur"" describes what kind of services the company provides, which falls under the business_type category.",0,4.65
Hospital São Domingos,Hospital São Domingos- Exames,exames,latin,disambiguation,business_type,high,"The extra content ""exames"" (which means ""exams"") describes what kind of service the hospital provides, indicating it is a specialized hospital that focuses on exams.",0,4.49
Parc Clichy-Batignolles,Parc Clichy-Batignolles Martin Luther King,martin luther king,latin,location,location,high,"The extra content ""martin luther king"" is a specific street or geographic qualifier, which indicates that this is a location-related qualifier.",1,4.31
Canal Video,Canal Vidéo Laryan 82 Franchisé indépendant,laryan 82 franchise independant,latin,disambiguation,disambiguation,high,"The extra content includes ""franchisé indépendant"", which indicates that this is a specific branch or affiliation of the business, driving the classification as disambiguation.",1,5.25
Calico Jacks,Calico Jack's Bistro,bistro,latin,business_type,business_type,high,"The extra content ""bistro"" describes what kind of place this is, indicating it's a specific type of restaurant.",1,8.15
Over The Rainbow,Over the Rainbow Limited,limited,latin,disambiguation,business_type,high,"The extra content ""limited"" indicates a business type qualifier, specifying the nature of the entity as a limited company.",0,3.96
Colourfence Garden Fencing,ColourFence Garden Fencing - Isle Of Wight,isle of wight,latin,location,location,high,"The extra content ""isle of wight"" is a place name, which typically serves as location information.",1,3.99
Leonora Rose,Leonora Rose Florists,florists,latin,business_type,business_type,high,"The extra content ""florists"" describes what kind of business Leonora Rose is, which is a business type.",1,4.36
Service Neon,Service Neon di Cateni Riccardo,di cateni riccardo,latin,disambiguation,disambiguation,high,"The extra content ""di cateni riccardo"" identifies a specific branch or owner, which falls under disambiguation.",1,4.47
Wing Sing,Wing Sing Bar,bar,latin,business_type,business_type,high,"The extra content ""bar"" describes what kind of establishment Wing Sing is, making it a business type.",1,4.26
Spectron Desarrollo,Spectron Desarrollo S.C.,sc,latin,noise,noise,high,"The extra content ""sc"" indicates a legal ownership notation (Sociedad Civil in Spanish), which is a form of business registration. This falls under the noise category as it adds no semantic value beyond identification.",1,4.96
Charleston Civic Center,Charleston Civic Center Ice Arena,ice arena,latin,business_type,business_type,high,"The extra content ""ice arena"" indicates that the place has a specific kind of facility, which is additional information about what the Civic Center IS.",1,43.75
Hotel Olimpia,Hotel Olimpia  Silvi Marina TE,silvi marina te,latin,location,disambiguation,medium,"The extra content ""silvi marina te"" suggests a specific location or perhaps an affiliated service, which is not a business type or place name but rather disambiguates the hotel's association.",0,5.03
Murphy USA,Murphy USA #6583,6583,latin,disambiguation,noise,high,"The extra content ""6583"" is a numerical identifier that likely represents a specific location or branch number, which does not provide additional semantic value beyond identification. This fits the criteria for noise.",0,5.07
Home Instead,Home Instead Senior Care,senior care,latin,business_type,business_type,high,"The extra content ""senior care"" describes what kind of service Home Instead provides, which is a business type.",1,4.17
