short_name,long_name,extra_content,script_type,correct_answer,predicted,confidence,reasoning,correct,latency_s
JE Carriers,JE Carriers Auto Transport,auto transport,latin,business_type,business_type,high,"""Auto transport"" describes the specific service or business type that JE Carriers provides, indicating what kind of carrier company this is rather than a geographic location or organizational affiliation.",1,1.26
Iglesia Fe Y Esperanza,Iglesia Fe y Esperanza Pinares,pinares,latin,location,location,high,"""Pinares"" is a geographic location name (a neighborhood or place) that identifies which specific branch or instance of this church is being referenced, making it a location qualifier.",1,1.05
West Bradenton Baptist,West Bradenton Baptist Church,church,latin,business_type,business_type,high,"""Church"" is a business type descriptor that identifies what kind of place this is — it specifies the institutional category and nature of the organization, making the longer name more informative and semantically complete.",1,1.28
Monkey Puzzle Day Nursery,Monkey Puzzle Day Nursery West Norwood,west norwood,latin,location,location,high,"""West Norwood"" is a neighborhood/area name in London that specifies the geographic location of this particular day nursery branch, making it a location qualifier.",1,1.01
Recolast Ambiental,Recolast Ambiental Engenharia,engenharia,latin,business_type,business_type,high,"""Engenharia"" (Engineering in Portuguese) describes the type of service or business that Recolast Ambiental provides, indicating what kind of professional work they do rather than a geographic location or organizational affiliation.",1,1.14
Virginia Coffee Roastery,Virginia Coffee Roastery & Eatery,eatery,latin,business_type,business_type,high,"""Eatery"" is a business type descriptor that identifies an additional service or establishment kind offered at this location (food service beyond coffee roasting), providing essential information about what the place is.",1,1.31
Clarkston High School,Clarkston High School Natatorium,natatorium,latin,business_type,business_type,high,"""Natatorium"" is a specialized facility type (an indoor swimming pool building) that describes what kind of place this is within the school complex, functioning as a business/facility type descriptor rather than a location or disambiguation.",1,1.35
Mint House Greenville,Mint House Greenville - West End,west end,latin,location,location,high,"""West End"" is a neighborhood or district name within Greenville that specifies the precise geographic location of this property, making it a location qualifier.",1,0.92
The UPS Store,The UPS Store 7313,7313,latin,disambiguation,noise,high,"The extra content ""7313"" is a numeric identifier—a store number or location code—that serves as listing boilerplate to distinguish this specific franchise location without adding semantic information about the place itself.",0,1.45
Clifton And Lewis Insurance,Clifton and Lewis Insurance Group,group,latin,disambiguation,disambiguation,high,"""Group"" is an organizational structure descriptor that identifies the parent entity or corporate affiliation of the insurance business, without specifying a geographic location or describing what type of business it is.",1,2.26
Bluebird Care,Bluebird Care Epsom & Kingston,epsom kingston,latin,location,location,high,"""Epsom & Kingston"" are geographic locations (towns in Surrey, England) that specify the service area or branch location of this care provider, making them location qualifiers.",1,0.96
Pieology Pizzeria,"Pieology Pizzeria Aina Haina, Honolulu, HI",aina haina honolulu hi,latin,location,location,high,"The extra content ""aina haina honolulu hi"" consists entirely of geographic qualifiers—a neighborhood, city, and state—that pinpoint the location of this pizzeria branch rather than describing what kind of business it is.",1,1.35
Gary Ritter Violin,Gary Ritter Violin Viola Cello,viola cello,latin,business_type,disambiguation,high,"The extra content ""viola cello"" describes additional services or instruments offered by this music instructor beyond violin, functioning as a service list that identifies the scope of what Gary Ritter teaches rather than a location or business type descriptor.",0,1.39
POLE DANCE AVEC MOI,Pole Dance avec Moi Marseille,marseille,latin,location,location,high,"""Marseille"" is a city name in France that identifies the geographic location of this pole dance studio, making it a location qualifier rather than a business descriptor.",1,1.09
