short_name,long_name,extra_content,script_type,correct_answer,predicted,confidence,reasoning,correct,latency_s
JE Carriers,JE Carriers Auto Transport,auto transport,latin,business_type,business_type,high,"]
The extra content ""auto transport"" describes a specific service provided by JE Carriers, making it essential descriptive information about what kind of business this is.",1,16.86
Iglesia Fe Y Esperanza,Iglesia Fe y Esperanza Pinares,pinares,latin,location,location,high,"]
The extra content ""Pinares"" is a geographic location qualifier that helps to differentiate between multiple churches of the same name. This is a location-based disambiguation, rather than describing what kind of church it is or specifying its organizational affiliation.",1,4.41
West Bradenton Baptist,West Bradenton Baptist Church,church,latin,business_type,business_type,high,"]
The extra content ""church"" describes what kind of place this is, indicating that it is a religious institution, making it a business type.",1,3.38
Monkey Puzzle Day Nursery,Monkey Puzzle Day Nursery West Norwood,west norwood,latin,location,location,high,"]
The extra content ""west norwood"" is a geographic qualifier identifying the specific city location of this day nursery, which is a classic location-based disambiguation rather than describing what the business is.",1,3.9
Recolast Ambiental,Recolast Ambiental Engenharia,engenharia,latin,business_type,business_type,high,"]
The extra content ""engenharia"" translates to engineering in English, which specifies a particular field of expertise for Recolast Ambiental, making it a business_type.",1,3.7
Virginia Coffee Roastery,Virginia Coffee Roastery & Eatery,eatery,latin,business_type,business_type,high,"]
The extra content ""eatery"" is a generic term that describes what kind of business Virginia Coffee Roastery & Eatery operates, making it a clear case of a business type.",1,3.72
Clarkston High School,Clarkston High School Natatorium,natatorium,latin,business_type,disambiguation,high,"]
The extra content ""natatorium"" describes a specific facility or space within Clarkston High School, making it a business_type or disambiguation. However, since it doesn't identify what kind of place it is (e.g., restaurant, hotel), but instead specifies a particular part of the school, it is classified as disambiguation.",0,5.36
Mint House Greenville,Mint House Greenville - West End,west end,latin,location,location,high,"]
The extra content ""west end"" is a geographic qualifier that provides additional information about the location of Mint House Greenville. This classification falls under the category of location.",1,3.64
The UPS Store,The UPS Store 7313,7313,latin,disambiguation,disambiguation,high,"]
The extra content ""7313"" is a numeric identifier that does not describe what kind of place this is (business_type), nor does it denote a geographic location (location). Instead, it appears to be a store number or address, so it should be classified as disambiguation.",1,4.82
Clifton And Lewis Insurance,Clifton and Lewis Insurance Group,group,latin,disambiguation,disambiguation,high,"]
The extra content ""group"" describes a specific branch or organization of the Clifton and Lewis Insurance company, thus it is organizational affiliation.",1,3.69
Bluebird Care,Bluebird Care Epsom & Kingston,epsom kingston,latin,location,location,high,"]
The extra content ""epsom kingston"" is a geographic qualifier that identifies specific cities in which Bluebird Care operates, making it a location-based disambiguation.",1,3.85
Pieology Pizzeria,"Pieology Pizzeria Aina Haina, Honolulu, HI",aina haina honolulu hi,latin,location,location,high,"]
The extra content ""aina haina honolulu hi"" is a geographic location qualifier consisting of multiple elements (city, neighborhood, state, country). This qualifies the Pieology Pizzeria's specific location, making it a location descriptor.",1,4.48
Gary Ritter Violin,Gary Ritter Violin Viola Cello,viola cello,latin,business_type,disambiguation,high,"]
The extra content ""viola cello"" lists additional musical instruments beyond just the violin that Gary Ritter provides, making this disambiguation. It helps potential customers determine whether they can find their instrument of choice with Gary Ritter.",0,13.38
POLE DANCE AVEC MOI,Pole Dance avec Moi Marseille,marseille,latin,location,location,high,"]
The extra content ""marseille"" is a geographic qualifier that specifies the location of this pole dance studio, making it a location.",1,12.74
Schlotzsky's,"Schlotzsky's (Colony Way - Madison, MS)",colony way madison ms,latin,location,location,high,"]
The extra content ""colony way madison ms"" includes geographic qualifiers, identifying a specific location of this Schlotzsky's restaurant.",1,12.64
West Coast Hifi,West Coast Hi-Fi Rockingham,rockingham,latin,location,location,high,"]
The extra content ""rockingham"" is a geographic location that provides additional context about where West Coast Hi-Fi is located, but does not describe what kind of business it is. Therefore, this qualifies as ""location"".",1,14.74
Vape Haus,Vape Haus Queretaro,queretaro,latin,location,location,high,"]
The extra content ""queretaro"" is a geographic location qualifier that identifies which Vape Haus this is, making it essential contextual information about the specific branch or store location.",1,13.63
Allison Hunt MD,"Allison Hunt, MD, FACOG",facog,latin,noise,disambiguation,high,"]
The extra content ""FACOG"" stands for Fellow of the American College of Obstetricians and Gynecologists, which is a professional certification. This does not describe the business type or location, but rather indicates the doctor's specialty within her medical practice.",0,17.43
Hamburguesas Al Carbon,Hamburguesas al Carbon Torreon,torreon,latin,location,location,high,"]
The extra content ""Torreon"" is a geographic location qualifier that disambiguates the specific place where Hamburguesas al Carbon can be found, making it necessary to keep the longer name to properly identify and locate this restaurant.",1,13.56
Vighna Bamboo Briyani,Vighna Bamboo Briyani - JB,jb,latin,location,noise,medium,"]
The extra content ""jb"" is not a business type, location, or disambiguation; it appears to be an abbreviation possibly related to the city or region that this restaurant is located in. However, it doesn't provide enough context to definitively classify it as location without additional information.",0,17.2
Florería Rosa Pastel,Florería Rosa Pastel P. Peñasco,p penasco,latin,location,location,high,"]
The extra content ""p penasco"" is a geographic qualifier identifying the specific town location of this florist, which is a classic location-based disambiguation rather than describing what the business is.",1,14.83
Boot Barn Hall,Boot Barn Hall at Bourbon Brothers,at bourbon brothers,latin,disambiguation,location,high,"]
The extra content ""at Bourbon Brothers"" identifies a specific location or venue where Boot Barn Hall is situated, thus it falls under the category of location.",0,11.64
Atm,ATM (Post Office),post office,latin,disambiguation,disambiguation,high,"]
The extra content ""post office"" does not describe what kind of business ATM is, nor does it specify a geographic location. Instead, it disambiguates that this ATM is located within or operated by a post office.",1,14.14
Marathon Gas,Marathon Gas & DQ,dq,latin,disambiguation,noise,high,"]
The extra content ""dq"" is not a geographic location, a business type, or disambiguation; it appears to be an abbreviation for Dairy Queen, which is a well-known fast-food restaurant chain. Therefore, we can classify the extra content as ""noise"".",0,15.75
Planet Fitness,"Planet Fitness - Manassas, VA",manassas va,latin,location,location,high,"]
The extra content ""manassas va"" is a geographic location qualifier identifying the specific city and state of this Planet Fitness location, making it essential descriptive information about the place.",1,13.34
Raising Cane's,Raising Cane's Chicken Fingers,chicken fingers,latin,business_type,business_type,high,"]
The extra content ""chicken fingers"" describes what KIND of food this restaurant serves, so it is classified as business_type.",1,11.99
La Azotea,La Azotea Terraza,terraza,latin,business_type,disambiguation,high,"]
The extra content ""terraza"" denotes a specific type of outdoor space, making this a disambiguation that identifies the nature or amenity of La Azotea beyond just its core name.",0,11.59
bergwerk IT GmbH,bergwerk IT GmbH | Webentwicklung & IT-Infrastruktur,webentwicklung itinfrastruktur,latin,disambiguation,business_type,high,"]
The extra content ""webentwicklung itinfrastruktur"" is a description of the services provided by bergwerk IT GmbH, making this a business type classification. The name adds essential information about what kind of place this business is and should be chosen over the shorter core name.",0,14.3
Hospital São Domingos,Hospital São Domingos- Exames,exames,latin,disambiguation,business_type,high,"]
The extra content ""exames"" is a specific service provided by Hospital São Domingos, so it falls under the category of business_type.",0,11.24
Parc Clichy-Batignolles,Parc Clichy-Batignolles Martin Luther King,martin luther king,latin,location,noise,high,"]
The extra content ""Martin Luther King"" is not a location, business type or disambiguation. It seems to be a dedication or naming reference, which can be considered noise in the context of this classification.",0,10.49
Canal Video,Canal Vidéo Laryan 82 Franchisé indépendant,laryan 82 franchise independant,latin,disambiguation,disambiguation,high,"]
The extra content ""laryan 82 franchise independant"" is not a geographic location or business type, but rather it identifies this Canal Video as a franchised independent entity—a specific organizational affiliation that distinguishes a particular branch from others.",1,14.47
Calico Jacks,Calico Jack's Bistro,bistro,latin,business_type,business_type,high,"]
The extra content ""bistro"" is a specific type of restaurant, which helps describe what kind of business Calico Jack's is—this classifies it as business_type.",1,12.2
Over The Rainbow,Over the Rainbow Limited,limited,latin,disambiguation,noise,high,"]
The extra content ""limited"" does not specify a business type, location, or disambiguation; instead, it is a legal corporate identifier often appended to company names in English-speaking countries. Since it does not provide semantic value, it falls under the noise category.",0,15.3
Colourfence Garden Fencing,ColourFence Garden Fencing - Isle Of Wight,isle of wight,latin,location,location,high,"]
The extra content ""isle of wight"" is a geographic qualifier identifying the specific location of this Colourfence Garden Fencing branch, which is a classic location-based disambiguation rather than describing what kind of fencing service they offer.",1,11.79
Leonora Rose,Leonora Rose Florists,florists,latin,business_type,business_type,high,"]
The extra content ""florists"" is a business type that describes what kind of place Leonora Rose is, making it essential descriptive information about what this establishment does.",1,12.22
Service Neon,Service Neon di Cateni Riccardo,di cateni riccardo,latin,disambiguation,disambiguation,high,"]
The extra content ""di Cateni Riccardo"" identifies a specific business owner (Riccardo Cateni) without describing what kind of place this is or specifying a geographic location—this is organizational/personnel affiliation that distinguishes a particular branch or representative.",1,16.64
Wing Sing,Wing Sing Bar,bar,latin,business_type,business_type,high,"]
The extra content ""bar"" is a common name qualifier that identifies Wing Sing as a drinking establishment or tavern, making it a business type descriptor rather than geographic location.",1,11.48
Spectron Desarrollo,Spectron Desarrollo S.C.,sc,latin,noise,noise,high,"]
The extra content ""sc"" is a Mexican legal ownership notation that adds no semantic value to the name and does not disambiguate between business types or locations, making it noise.",1,11.73
Charleston Civic Center,Charleston Civic Center Ice Arena,ice arena,latin,business_type,business_type,high,"]
The extra content ""ice arena"" clearly specifies the type of venue or building within the Charleston Civic Center, making it essential descriptive information about what kind of place this is.",1,14.25
