short_name,long_name,extra_content,script_type,correct_answer,predicted,confidence,reasoning,correct,latency_s
JE Carriers,JE Carriers Auto Transport,auto transport,latin,business_type,business_type,high,"The extra content ""auto transport"" specifies what kind of transportation services JE Carriers provides, indicating it is an auto transport company.",1,8.75
Iglesia Fe Y Esperanza,Iglesia Fe y Esperanza Pinares,pinares,latin,location,location,high,"The extra content ""pinares"" specifies a neighborhood or area within which this church is located.",1,4.55
West Bradenton Baptist,West Bradenton Baptist Church,church,latin,business_type,business_type,high,"The extra content ""church"" specifies what kind of place West Bradenton Baptist is, indicating it is a church.",1,4.69
Monkey Puzzle Day Nursery,Monkey Puzzle Day Nursery West Norwood,west norwood,latin,location,location,high,"The extra content ""west norwood"" is a neighborhood name that provides location information.",1,4.4
Recolast Ambiental,Recolast Ambiental Engenharia,engenharia,latin,business_type,business_type,high,"The extra content ""engenharia"" indicates that Recolast Ambiental specializes in engineering services, which defines what kind of business it is.",1,5.12
Virginia Coffee Roastery,Virginia Coffee Roastery & Eatery,eatery,latin,business_type,business_type,high,"The extra content ""eatery"" describes an additional type of service offered by Virginia Coffee Roastery, indicating it is both a coffee roastery and an eatery.",1,5.56
Clarkston High School,Clarkston High School Natatorium,natatorium,latin,business_type,business_type,medium,"The extra content ""natatorium"" specifies a particular facility or part of the high school, which is a type of building or room within it.",1,5.31
Mint House Greenville,Mint House Greenville - West End,west end,latin,location,location,high,"The extra content ""west end"" is a neighborhood or area within Greenville, providing location information to disambiguate which part of Greenville this Mint House property refers to.",1,5.58
The UPS Store,The UPS Store 7313,7313,latin,disambiguation,disambiguation,high,"The extra content ""7313"" is a numerical identifier, which appears to be used to differentiate between multiple locations of The UPS Store. This type of information usually serves as disambiguation.",1,6.6
Clifton And Lewis Insurance,Clifton and Lewis Insurance Group,group,latin,disambiguation,disambiguation,medium,"The extra content ""group"" provides organizational information but does not specify what kind of place this is or a location. It clarifies that it's an insurance group rather than just a general insurance service.",1,6.55
Bluebird Care,Bluebird Care Epsom & Kingston,epsom kingston,latin,location,location,high,"The extra content ""epsom kingston"" specifies a location where Bluebird Care operates, which is a geographic qualifier.",1,4.7
Pieology Pizzeria,"Pieology Pizzeria Aina Haina, Honolulu, HI",aina haina honolulu hi,latin,location,location,high,"The extra content ""aina haina honolulu hi"" specifies a location, providing the neighborhood (Aina Haina) and city-state (Honolulu, HI), which helps to disambiguate between multiple locations.",1,6.61
Gary Ritter Violin,Gary Ritter Violin Viola Cello,viola cello,latin,business_type,disambiguation,high,"The extra content ""viola cello"" specifies additional instruments that Gary Ritter Violin offers, indicating a broader service list.",0,5.07
POLE DANCE AVEC MOI,Pole Dance avec Moi Marseille,marseille,latin,location,location,high,"The extra content ""marseille"" is a city name that specifies where this pole dance studio is located.",1,4.62
Schlotzsky's,"Schlotzsky's (Colony Way - Madison, MS)",colony way madison ms,latin,location,location,high,"The extra content ""colony way madison ms"" specifies a location, including street name and city, which helps to disambiguate between multiple Schlotzsky's locations.",1,6.24
West Coast Hifi,West Coast Hi-Fi Rockingham,rockingham,latin,location,location,high,"The extra content ""rockingham"" is a place name specifying the location of West Coast Hifi.",1,4.68
