short_name,long_name,extra_content,script_type,correct_answer,predicted,confidence,reasoning,correct,latency_s
JE Carriers,JE Carriers Auto Transport,auto transport,latin,business_type,business_type,high,"The extra content ""auto transport"" clearly describes what kind of service JE Carriers Auto Transport offers, which indicates that this is a business providing car transportation services. Therefore, based on its relevance to identifying the type of operation and adding essential information about the place's function in context with auto transport-related activities, it should be classified as such.",1,3.89
Iglesia Fe Y Esperanza,Iglesia Fe y Esperanza Pinares,pinares,latin,location,disambiguation,medium,"The extra content ""pinares"" suggests a specific neighborhood or location, which helps in pinpointing where Iglesia Fe y Esperanza Pinares is situated. This additional detail serves to disambiguate rather than classify as business type, location, or noise since it provides geographical context without specifying what kind of establishment the church represents.",0,3.77
West Bradenton Baptist,West Bradenton Baptist Church,church,latin,business_type,disambiguation,high,"The term 'church' found within the extra content directly informs us that West Bradenton Baptist is not merely an address but a place of worship, which implies it functions as more than just a location. This additional context allows for its selection over a mere directory listing or business reference.",0,13.89
Monkey Puzzle Day Nursery,Monkey Puzzle Day Nursery West Norwood,west norwood,latin,location,location,high,"The extra content 'west norwood' is indicative of a specific geographic location, suggesting that it serves as a descriptor for where Monkey Puzzle Day Nursery West Norwood operates. This additional detail about the nursery’s precise locality allows potential clients or relevant parties to identify its exact place in terms of city and neighborhood.",1,15.07
Recolast Ambiental,Recolast Ambiental Engenharia,engenharia,latin,business_type,business_type,high,"The extra content 'engenharia' suggests that Recolast Ambiental is primarily engaged in engineering activities, which describes what kind of establishment it is rather than providing additional location details or disambiguation. This indicates the longer name contains essential information about the business type.",1,11.68
Virginia Coffee Roastery,Virginia Coffee Roastery & Eatery,eatery,latin,business_type,business_type,medium,"The extra content ""eatery"" indicates that Virginia Coffee Roastery is primarily a place where food, specifically coffee in this case, is sold or prepared. Since it adds essential information about what kind of establishment the longer name represents and not just any dining location but a specific type—a roastery with an eating area—it suggests that this business operates as both a production site for specialty products (coffee) and a place where customers can consume these offerings. This dual nature is characteristic of artisan coffee shops or cafes, which often serve their own brewed bevers directly to patrons who may also buy takeaway items; hence the classification as an eatery with specialty food options (coffee).",1,8.66
Clarkston High School,Clarkston High School Natatorium,natatorium,latin,business_type,business_type,high,"The extra content 'natatorium' indicates that there is an additional facility within Clarkston High School dedicated to swimming, which adds specific semantic value by describing the type of place. This term suggests a building equipped for aquatic activities.",1,12.32
Mint House Greenville,Mint House Greenville - West End,west end,latin,location,noise,medium,"The extra content ""west end"" suggests a specific neighborhood or area within Greenville, which is not essential information when identifying businesses. Therefore, it's likely to be considered noise in this context of place name normalization and disambiguation for directory use.",0,5.8
The UPS Store,The UPS Store 7313,7313,latin,disambiguation,noise,high,"The extra content ""7313"" is a numeric identifier that does not provide information about what kind of business it is or its location. This suggests that there is no additional meaningful semantic role being played by this number in the context provided, and therefore, we can classify it as noise.",0,5.39
Clifton And Lewis Insurance,Clifton and Lewis Insurance Group,group,latin,disambiguation,business_type,high,"The extra content 'group' suggests that Clifton and Lewis Insurance is part of an organization or collective, indicating it serves a business type role rather than being solely the location name.",0,18.23
Bluebird Care,Bluebird Care Epsom & Kingston,epsom kingston,latin,location,location,high,"The extra content 'epsom kingston' is recognized as geographical qualifiers, suggesting that it specifies where Bluebird Care is located. Since these are directional and additional identifiers rather than descriptors of the business type or disambiguation information like an individual name with credentials, this classification supports selecting the shorter name for clarity in directory listings.",1,13.64
Pieology Pizzeria,"Pieology Pizzeria Aina Haina, Honolulu, HI",aina haina honolulu hi,latin,location,location,high,"The extra content 'aina haina honolulu hi' includes specific geographical references to Aina Haina and Honolulu, Hawaii. This localized identifier is crucial for a searcher looking for the pizzeria in this exact location rather than one that could be confused with another bearing similar names.",1,14.85
Gary Ritter Violin,Gary Ritter Violin Viola Cello,viola cello,latin,business_type,business_type,high,"The extra content ""viola cello"" indicates that we are dealing with a multi-string instrument typically classified as an orchestra stringed instrument. Since this term is directly associated with identifying types of musical instruments, which in turn suggests the kind of business Gary Ritter Violin owns/operates rather than just giving us extra information about location or context without implying any sort of specificity that would drive a classification decision towards noise or disambiguation categories, it points to this being related to the type of establishment.",1,8.31
