short_name,long_name,extra_content,script_type,correct_answer,predicted,confidence,reasoning,correct,latency_s
JE Carriers,JE Carriers Auto Transport,auto transport,latin,business_type,business_type,high,"The extra content ""auto transport"" describes what kind of service JE Carriers provides, indicating that this is a business type.",1,8.74
Iglesia Fe Y Esperanza,Iglesia Fe y Esperanza Pinares,pinares,latin,location,location,high,"The extra content ""pinares"" is a geographic qualifier indicating a specific location or neighborhood, which fits the definition of a location.",1,2.56
West Bradenton Baptist,West Bradenton Baptist Church,church,latin,business_type,business_type,high,"The extra content ""church"" describes what kind of place West Bradenton Baptist is, indicating it falls under the business_type category.",1,26.01
Monkey Puzzle Day Nursery,Monkey Puzzle Day Nursery West Norwood,west norwood,latin,location,location,high,"The extra content ""west norwood"" is a geographic qualifier indicating a specific location, which drives the decision towards classifying this as a location.",1,2.59
Recolast Ambiental,Recolast Ambiental Engenharia,engenharia,latin,business_type,business_type,high,"The extra content ""engenharia"" (meaning engineering) describes what kind of service or business type Recolast Ambiental provides, thus indicating it is a business_type.",1,2.84
Virginia Coffee Roastery,Virginia Coffee Roastery & Eatery,eatery,latin,business_type,business_type,high,"The extra content ""eatery"" describes what kind of place Virginia Coffee Roastery is, indicating it offers dining options in addition to coffee roasting.",1,3.26
Clarkston High School,Clarkston High School Natatorium,natatorium,latin,business_type,business_type,high,"The extra content ""natatorium"" describes a specific facility within the school, indicating what kind of place Clarkston High School is beyond just being a school.",1,25.4
Mint House Greenville,Mint House Greenville - West End,west end,latin,location,location,high,"The extra content ""west end"" is a geographic qualifier that specifies the location within Greenville, which typically indicates directory noise.",1,25.1
The UPS Store,The UPS Store 7313,7313,latin,disambiguation,noise,high,"The extra content ""7313"" is a numeric identifier likely representing an address or store location number, which is typically considered noise as it does not add semantic value to differentiate the business type or provide location or disambiguation information.",0,3.31
Clifton And Lewis Insurance,Clifton and Lewis Insurance Group,group,latin,disambiguation,business_type,high,"The extra content ""group"" describes what kind of organization Clifton and Lewis Insurance is, indicating it's a business grouping or corporate structure.",0,25.29
Bluebird Care,Bluebird Care Epsom & Kingston,epsom kingston,latin,location,location,high,"The extra content ""epsom kingston"" indicates that this is a location qualifier specifying the cities or regions associated with Bluebird Care.",1,2.49
Pieology Pizzeria,"Pieology Pizzeria Aina Haina, Honolulu, HI",aina haina honolulu hi,latin,location,location,high,"The extra content includes a specific location ""aina haina honolulu hi,"" which indicates that it is adding geographical information.",1,2.48
Gary Ritter Violin,Gary Ritter Violin Viola Cello,viola cello,latin,business_type,business_type,high,"The extra content ""viola cello"" lists additional instruments, which provides information about what kind of business Gary Ritter Violin operates. This falls under the category of business_type.",1,2.9
POLE DANCE AVEC MOI,Pole Dance avec Moi Marseille,marseille,latin,location,location,high,"The extra content ""marseille"" indicates a specific city, which is a location qualifier.",1,24.87
Schlotzsky's,"Schlotzsky's (Colony Way - Madison, MS)",colony way madison ms,latin,location,location,high,"The extra content includes a street name (""colony way""), a city (""madison""), and a state abbreviation (""ms""), which are all location qualifiers.",1,2.74
West Coast Hifi,West Coast Hi-Fi Rockingham,rockingham,latin,location,location,high,"The extra content ""rockingham"" is a location qualifier, indicating that it specifies which branch or store of West Coast Hi-Fi is being referred to.",1,2.59
Vape Haus,Vape Haus Queretaro,queretaro,latin,location,location,high,"The extra content ""queretaro"" is a city name, which falls under the location category as it provides geographic context.",1,2.41
Allison Hunt MD,"Allison Hunt, MD, FACOG",facog,latin,noise,noise,high,"The extra content ""facog"" stands for ""Fellow of the American College of Obstetricians and Gynecologists,"" which is a professional credential. This information provides additional context about the individual's credentials, but it does not change the core identity of Allison Hunt.",1,3.49
Hamburguesas Al Carbon,Hamburguesas al Carbon Torreon,torreon,latin,location,location,high,"The extra content ""torreon"" is a location qualifier indicating a specific city or area, which follows the rule for selecting the shorter name when dealing with place names.",1,2.71
Vighna Bamboo Briyani,Vighna Bamboo Briyani - JB,jb,latin,location,noise,high,"The extra content ""jb"" is likely an identifier or abbreviation that does not provide any meaningful information about the business type, location, or disambiguation.",0,2.67
Florería Rosa Pastel,Florería Rosa Pastel P. Peñasco,p penasco,latin,location,location,high,"The extra content ""p penasco"" indicates a specific location, which is typical of disambiguation in place names.",1,2.41
Boot Barn Hall,Boot Barn Hall at Bourbon Brothers,at bourbon brothers,latin,disambiguation,disambiguation,high,"The extra content ""at bourbon brothers"" indicates that this is a specific branch or location qualifier, which drives the decision towards disambiguation.",1,25.39
Atm,ATM (Post Office),post office,latin,disambiguation,business_type,high,"The extra content ""post office"" provides a description of what kind of place this is, indicating that it is related to a business type.",0,4.6
Marathon Gas,Marathon Gas & DQ,dq,latin,disambiguation,disambiguation,high,"The extra content ""dq"" is a business identifier or franchise affiliation, which specifies a particular branch of Marathon Gas. This falls under disambiguation as it identifies a specific instance rather than providing a location or business type.",1,3.27
Planet Fitness,"Planet Fitness - Manassas, VA",manassas va,latin,location,location,high,"The extra content ""manassas va"" provides a specific location, which is a place name (city and state). According to the rules, this falls under the 'location' category.",1,2.89
Raising Cane's,Raising Cane's Chicken Fingers,chicken fingers,latin,business_type,business_type,high,"The extra content ""chicken fingers"" describes what kind of establishment Raising Cane's is, specifically the primary product it sells.",1,25.25
La Azotea,La Azotea Terraza,terraza,latin,business_type,business_type,high,"The extra content ""terraza"" means ""terrace"" in Spanish, which provides a specific description of what kind of space La Azotea is. This matches the business_type classification.",1,25.74
bergwerk IT GmbH,bergwerk IT GmbH | Webentwicklung & IT-Infrastruktur,webentwicklung itinfrastruktur,latin,disambiguation,business_type,high,"The extra content ""webentwicklung & itinfrastruktur"" indicates that this is a business type, specifically describing the services provided by the company.",0,2.74
Hospital São Domingos,Hospital São Domingos- Exames,exames,latin,disambiguation,business_type,high,"The extra content ""exames"" indicates that this is a specific service offered, which describes what kind of place it is, thus fitting the business_type classification.",0,2.7
Parc Clichy-Batignolles,Parc Clichy-Batignolles Martin Luther King,martin luther king,latin,location,location,high,"The extra content ""martin luther king"" is a specific street name or geographic qualifier, which is part of the location context.",1,2.59
Canal Video,Canal Vidéo Laryan 82 Franchisé indépendant,laryan 82 franchise independant,latin,disambiguation,disambiguation,high,"The extra content ""laryan 82 franchise independant"" identifies a specific franchise affiliation, which falls under disambiguation as it provides unique information about the business's ownership or service list.",1,3.23
Calico Jacks,Calico Jack's Bistro,bistro,latin,business_type,business_type,high,"The extra content ""bistro"" indicates what kind of establishment Calico Jack's Bistro is, which falls under the business_type category.",1,10.16
Over The Rainbow,Over the Rainbow Limited,limited,latin,disambiguation,business_type,high,"The extra content ""limited"" indicates that this is a business type, as it specifies the corporate form of the entity.",0,2.41
Colourfence Garden Fencing,ColourFence Garden Fencing - Isle Of Wight,isle of wight,latin,location,location,high,"The extra content ""isle of wight"" is a geographic qualifier, which fits the definition of a location.",1,2.4
Leonora Rose,Leonora Rose Florists,florists,latin,business_type,business_type,high,"The extra content ""florists"" describes what kind of business Leonora Rose is, indicating it is a place that sells flowers or offers floral services.",1,2.67
Service Neon,Service Neon di Cateni Riccardo,di cateni riccardo,latin,disambiguation,disambiguation,high,"The extra content ""di cateni riccardo"" indicates a specific branch or ownership, which falls under disambiguation. This phrase provides context that this is a particular instance of Service Neon run by Cateni Riccardo.",1,3.38
Wing Sing,Wing Sing Bar,bar,latin,business_type,business_type,high,"The extra content ""bar"" describes what kind of place Wing Sing is, indicating it is a business type.",1,2.34
Spectron Desarrollo,Spectron Desarrollo S.C.,sc,latin,noise,noise,high,"The extra content ""sc"" refers to a legal ownership notation (Sociedad Civil in Spanish), which adds no semantic value beyond identifying the type of company.",1,2.67
Charleston Civic Center,Charleston Civic Center Ice Arena,ice arena,latin,business_type,business_type,high,"The extra content ""ice arena"" describes what kind of facility the Charleston Civic Center is, which falls under the business_type category.",1,2.48
Hotel Olimpia,Hotel Olimpia  Silvi Marina TE,silvi marina te,latin,location,disambiguation,high,"The extra content ""silvi marina te"" is a disambiguating phrase identifying a specific location or branch, which provides context without being a place name or business type.",0,2.93
