short_name,long_name,extra_content,script_type,correct_answer,predicted,confidence,reasoning,correct,latency_s
JE Carriers,JE Carriers Auto Transport,auto transport,latin,business_type,business_type,high,"The extra content ""auto transport"" describes what KIND of business this is, specifically an auto transportation service.",1,13.53
Iglesia Fe Y Esperanza,Iglesia Fe y Esperanza Pinares,pinares,latin,location,location,high,"The extra content ""pinares"" refers to a location, specifically a neighborhood or area.",1,12.79
West Bradenton Baptist,West Bradenton Baptist Church,church,latin,business_type,business_type,high,"The extra content ""church"" describes what KIND of place this is, indicating a business type.",1,13.19
Monkey Puzzle Day Nursery,Monkey Puzzle Day Nursery West Norwood,west norwood,latin,location,location,high,"The extra content ""west norwood"" is a location qualifier that adds no semantic value beyond identifying where the day nursery is located.",1,13.96
Recolast Ambiental,Recolast Ambiental Engenharia,engenharia,latin,business_type,business_type,high,"The extra content ""engenharia"" describes a type of service or expertise that the company specializes in, which suggests it is a business type.",1,15.94
Virginia Coffee Roastery,Virginia Coffee Roastery & Eatery,eatery,latin,business_type,business_type,high,"The extra content ""eatery"" describes what KIND of place this is, specifically a type of business.",1,15.04
Clarkston High School,Clarkston High School Natatorium,natatorium,latin,business_type,business_type,high,"The extra content ""natatorium"" describes a specific facility within the high school, which is a type of business or service.",1,18.7
Mint House Greenville,Mint House Greenville - West End,west end,latin,location,location,high,"The extra content ""west end"" is a location qualifier that identifies a neighborhood or area within Greenville.",1,13.37
The UPS Store,The UPS Store 7313,7313,latin,disambiguation,location,medium,"The extra content ""7313"" is a location qualifier that adds no semantic value beyond identifying the specific store number, but it's too specific to be considered as a directory noise. It's more likely a license or registration identifier.",0,14.57
Clifton And Lewis Insurance,Clifton and Lewis Insurance Group,group,latin,disambiguation,disambiguation,medium,"The extra content ""group"" suggests that Clifton And Lewis Insurance is part of a larger organizational entity, but it does not provide a specific business type.",1,19.33
Bluebird Care,Bluebird Care Epsom & Kingston,epsom kingston,latin,location,location,high,"The extra content ""Epsom & Kingston"" is a location, specifically a town or city.",1,13.75
Pieology Pizzeria,"Pieology Pizzeria Aina Haina, Honolulu, HI",aina haina honolulu hi,latin,location,location,high,"The extra content ""Aina Haina Honolulu HI"" is a location, specifically city names and state abbreviation.",1,13.24
Gary Ritter Violin,Gary Ritter Violin Viola Cello,viola cello,latin,business_type,business_type,high,"The extra content ""viola cello"" describes what specific instruments are offered by the music services of Gary Ritter Violin.",1,13.0
POLE DANCE AVEC MOI,Pole Dance avec Moi Marseille,marseille,latin,location,location,high,"The extra content ""marseille"" is a place name that refers to a city.",1,13.6
Schlotzsky's,"Schlotzsky's (Colony Way - Madison, MS)",colony way madison ms,latin,location,location,high,"The extra content ""Colony Way - Madison, MS"" is a location qualifier that disambiguates the place, but also adds an address which is likely to be directory noise.",1,13.56
West Coast Hifi,West Coast Hi-Fi Rockingham,rockingham,latin,location,location,high,"The extra content ""rockingham"" describes a location, specifically a town or suburb.",1,15.89
Vape Haus,Vape Haus Queretaro,queretaro,latin,location,location,high,"The extra content ""queretaro"" describes a location, specifically a city in Mexico.",1,14.67
Allison Hunt MD,"Allison Hunt, MD, FACOG",facog,latin,noise,disambiguation,high,"The extra content ""FACOG"" represents a professional certification or affiliation, indicating that Allison Hunt is a Fellow of the American College of Obstetricians and Gynecologists.",0,14.75
Hamburguesas Al Carbon,Hamburguesas al Carbon Torreon,torreon,latin,location,location,high,"The extra content ""torreon"" refers to a location, specifically a city in Mexico.",1,14.74
Vighna Bamboo Briyani,Vighna Bamboo Briyani - JB,jb,latin,location,location,high,"The extra content ""JB"" is an abbreviation that appears to refer to a location, specifically Johor Bahru in Malaysia.",1,16.41
Florería Rosa Pastel,Florería Rosa Pastel P. Peñasco,p penasco,latin,location,disambiguation,high,"The extra content ""P. Peñasco"" identifies a specific branch or location of the flower shop, adding essential information about its affiliation.",0,13.62
Boot Barn Hall,Boot Barn Hall at Bourbon Brothers,at bourbon brothers,latin,disambiguation,location,high,"The extra content ""at Bourbon Brothers"" describes a location that is also providing additional context, but it's still primarily identifying where the event or gathering is taking place.",0,16.15
Atm,ATM (Post Office),post office,latin,disambiguation,business_type,high,"The extra content ""post office"" indicates what kind of ATM this is, making it a business type.",0,13.25
Marathon Gas,Marathon Gas & DQ,dq,latin,disambiguation,business_type,high,"The extra content ""dq"" is a business type, as it indicates that Marathon Gas is also associated with a Dairy Queen.",0,13.47
Planet Fitness,"Planet Fitness - Manassas, VA",manassas va,latin,location,location,high,"The extra content ""manassas va"" is a location qualifier that describes where the Planet Fitness gym is located.",1,15.02
Raising Cane's,Raising Cane's Chicken Fingers,chicken fingers,latin,business_type,business_type,high,"The extra content ""chicken fingers"" describes what KIND of place this is, indicating that it's a restaurant or food establishment.",1,13.91
La Azotea,La Azotea Terraza,terraza,latin,business_type,location,medium,"The extra content ""terraza"" is a location qualifier that describes a type of establishment, but it's also adding information about the specific location or area.",0,19.68
