short_name,long_name,extra_content,script_type,correct_answer,predicted,confidence,reasoning,correct
JE Carriers,JE Carriers Auto Transport,auto transport,latin,business_type,business_type,high,"]
The extra content ""auto transport"" describes what kind of business JE Carriers is, making it a business type that identifies the specific service they provide.",1
Iglesia Fe Y Esperanza,Iglesia Fe y Esperanza Pinares,pinares,latin,location,location,high,"]
The extra content ""pinares"" is a geographic qualifier identifying the specific neighborhood or district of this church, which is a classic location-based disambiguation rather than describing what the church is.",1
West Bradenton Baptist,West Bradenton Baptist Church,church,latin,business_type,business_type,high,"]
The extra content ""church"" describes what kind of place West Bradenton Baptist is, making it essential descriptive information about what this place is. This qualifies as a business_type classification.",1
Monkey Puzzle Day Nursery,Monkey Puzzle Day Nursery West Norwood,west norwood,latin,location,location,high,"]
The extra content ""west norwood"" is a geographic qualifier that identifies a specific location of this day nursery, making it a classic location-based disambiguation rather than describing what the business is or specifying an owner/affiliate.",1
Recolast Ambiental,Recolast Ambiental Engenharia,engenharia,latin,business_type,business_type,high,"]
The extra content ""engenharia"" in this case is a professional service category that describes Recolast Ambiental as an engineering firm. This falls under the classification of business_type, which means that the longer name (Recolast Ambiental Engenharia) adds essential information about what kind of place it is and should be selected over the shorter name.",1
Virginia Coffee Roastery,Virginia Coffee Roastery & Eatery,eatery,latin,business_type,business_type,high,"]
The extra content ""eatery"" describes a type of business (restaurant or cafe) that serves food, making it a clear business_type classification.",1
Clarkston High School,Clarkston High School Natatorium,natatorium,latin,business_type,disambiguation,high,"]
The extra content ""natatorium"" is a specific facility within the Clarkston High School, so it disambiguates which part of the school is being referenced.",0
Mint House Greenville,Mint House Greenville - West End,west end,latin,location,location,high,"]
The extra content ""west end"" identifies a specific area or neighborhood within Greenville, making it geographic location that disambiguates which Mint House in Greenville is being referenced.",1
The UPS Store,The UPS Store 7313,7313,latin,disambiguation,noise,high,"]
The extra content ""7313"" is a numerical identifier that does not provide any meaningful information about the kind of business, location or disambiguation—it likely refers to a specific store location within The UPS Store chain.",0
Clifton And Lewis Insurance,Clifton and Lewis Insurance Group,group,latin,disambiguation,disambiguation,high,"]
The extra content ""group"" identifies this insurance agency as a collective of multiple agencies or services under one organization, without specifying the type of place or geographic location—this qualifies it as disambiguation.",1
Bluebird Care,Bluebird Care Epsom & Kingston,epsom kingston,latin,location,location,high,"]
The extra content ""epsom kingston"" identifies specific geographical locations that disambiguate which Bluebird Care office is being referenced, without describing what kind of business it is or specifying a business type.",1
Pieology Pizzeria,"Pieology Pizzeria Aina Haina, Honolulu, HI",aina haina honolulu hi,latin,location,location,high,"]
The extra content ""aina haina honolulu hi"" provides a geographical location (city, state/province, country), making it a classic location qualifier that helps disambiguate which Pieology Pizzeria is being referenced.",1
