short_name,long_name,extra_content,script_type,correct_answer,predicted,confidence,reasoning,correct,latency_s
JE Carriers,JE Carriers Auto Transport,auto transport,latin,business_type,business_type,high,"The extra content ""auto transport"" describes the specific service or business function provided by JE Carriers, which matches the decision rule for business_type.",1,6.84
Iglesia Fe Y Esperanza,Iglesia Fe y Esperanza Pinares,pinares,latin,location,location,high,"The extra content ""pinares"" identifies a specific geographic location, which is driving my decision to classify this as a location.",1,5.06
West Bradenton Baptist,West Bradenton Baptist Church,church,latin,business_type,business_type,high,"The extra_content ""church"" indicates that the longer name contains essential information about the type of business, making this a business_type classification.",1,6.08
Monkey Puzzle Day Nursery,Monkey Puzzle Day Nursery West Norwood,west norwood,latin,location,location,high,"The extra content ""west norwood"" identifies a geographic location where the nursery is situated, which drove the decision to classify it as such.",1,5.0
Recolast Ambiental,Recolast Ambiental Engenharia,engenharia,latin,business_type,business_type,high,"The extra content ""engenharia"" drove the decision because it specifies a particular type of business service, identifying the company's professional focus.",1,5.93
Virginia Coffee Roastery,Virginia Coffee Roastery & Eatery,eatery,latin,business_type,business_type,high,"The extra content ""eatery"" drove the decision because it directly specifies a functional purpose or service provided by the place, identifying it as a type of business.",1,5.78
Clarkston High School,Clarkston High School Natatorium,natatorium,latin,business_type,business_type,high,"The extra content 'natatorium' drove the decision to classify this as business_type because it specifies a specific functional purpose or service of the place, indicating that it's a natatorium (pool facility) at the school.",1,6.56
Mint House Greenville,Mint House Greenville - West End,west end,latin,location,location,high,"The extra content ""west end"" drove the decision because it identifies a geographic location qualifier that is not part of the core place name.",1,5.1
The UPS Store,The UPS Store 7313,7313,latin,disambiguation,location,high,"The extra content ""7313"" is a numeric identifier that suggests it is part of an address, which drove the decision to classify it as location.",0,5.26
Clifton And Lewis Insurance,Clifton and Lewis Insurance Group,group,latin,disambiguation,disambiguation,high,"The extra content ""group"" is classified as a disambiguation because it specifies an organizational affiliation or franchise without being a geographic place name or business type.",1,5.61
Bluebird Care,Bluebird Care Epsom & Kingston,epsom kingston,latin,location,location,high,"The extra content ""epsom kingston"" identifies a geographic place name or qualifier, as it specifies two separate locations, which is a dominant role compared to other potential roles.",1,5.57
Pieology Pizzeria,"Pieology Pizzeria Aina Haina, Honolulu, HI",aina haina honolulu hi,latin,location,location,high,"The extra content is classified as ""location"" because it specifically mentions two geographic locations: Aina Haina, Honolulu, HI.",1,5.18
Gary Ritter Violin,Gary Ritter Violin Viola Cello,viola cello,latin,business_type,business_type,high,"The extra content ""viola cello"" identifies specific instruments that are typically used in music, implying that this is a music-related business or service.",1,5.11
POLE DANCE AVEC MOI,Pole Dance avec Moi Marseille,marseille,latin,location,location,high,"The extra content ""marseille"" is classified as a location because it represents a geographic place name that is not part of the core business name, but rather a specific region.",1,5.74
Schlotzsky's,"Schlotzsky's (Colony Way - Madison, MS)",colony way madison ms,latin,location,location,high,"The extra content is classified as location because it specifies a geographic place name (""Colony Way"" and ""Madison, MS"") which provides crucial directory metadata.",1,5.51
West Coast Hifi,West Coast Hi-Fi Rockingham,rockingham,latin,location,location,high,"The extra content 'rockingham' drove the decision to classify this as a location, as it is a geographic place name.",1,4.63
