subtag,short_name,long_name,extra_content,script_type,correct_answer,predicted,confidence,reasoning,correct,action_label,action_pred,action_correct,extra_is_legal_form
descriptor,JE Carriers,JE Carriers Auto Transport,auto transport,latin,business_type,business_type,high,"The extra content ""auto transport"" describes the specific business type or service category that JE Carriers provides, defining what kind of transportation service this company offers.",1,keep_longer,keep_longer,1,False
descriptor,Iglesia Fe Y Esperanza,Iglesia Fe y Esperanza Pinares,pinares,latin,location,location,high,"The extra content ""pinares"" is a geographic location name (a neighborhood or district) that specifies which Iglesia Fe y Esperanza is being referenced, serving as a location-based qualifier rather than describing the nature of the place itself.",1,keep_shorter,keep_shorter,1,False
descriptor,West Bradenton Baptist,West Bradenton Baptist Church,church,latin,business_type,business_type,high,"The extra content ""church"" directly describes the business type or category of establishment that ""West Bradenton Baptist"" is, providing essential information about what kind of place this is.",1,keep_longer,keep_longer,1,False
descriptor,Monkey Puzzle Day Nursery,Monkey Puzzle Day Nursery West Norwood,west norwood,latin,location,location,high,"The extra content ""west norwood"" is a geographic location (a district in London), serving as a place-based qualifier to identify which branch of this day nursery chain is being referenced.",1,keep_shorter,keep_shorter,1,False
descriptor,Recolast Ambiental,Recolast Ambiental Engenharia,engenharia,latin,business_type,business_type,high,"The extra content ""engenharia"" (engineering) describes the professional discipline or business type that Recolast Ambiental specializes in, clarifying what kind of services this company provides.",1,keep_longer,keep_longer,1,False
descriptor,Virginia Coffee Roastery,Virginia Coffee Roastery & Eatery,eatery,latin,business_type,business_type,high,"The extra content ""eatery"" describes an additional business type or service offering—specifically that this establishment also serves food—which is essential information about what kinds of services the place provides.",1,keep_longer,keep_longer,1,False
descriptor,Clarkston High School,Clarkston High School Natatorium,natatorium,latin,business_type,disambiguation,medium,"The extra content ""natatorium"" describes a specific facility or building type (an indoor swimming pool) that is part of the school complex, identifying what particular venue or structure within the school is being referenced.",0,keep_longer,keep_shorter,0,False
descriptor,Mint House Greenville,Mint House Greenville - West End,west end,latin,location,location,high,"The extra content ""west end"" is a neighborhood or district name within Greenville, serving as a geographic qualifier to specify which part of the city this location is in.",1,keep_shorter,keep_shorter,1,False
descriptor,The UPS Store,The UPS Store 7313,7313,latin,disambiguation,noise,high,"The extra content ""7313"" is a store location or franchise number—a numeric identifier used for internal directory organization and branch tracking, with no semantic value beyond listing boilerplate.",0,keep_shorter,keep_shorter,1,False
descriptor,Clifton And Lewis Insurance,Clifton and Lewis Insurance Group,group,latin,disambiguation,disambiguation,medium,"The extra content ""group"" is an organizational structure descriptor that identifies the parent entity or corporate affiliation of Clifton and Lewis Insurance, functioning as a disambiguation marker rather than describing the business type or location.",1,keep_shorter,keep_shorter,1,False
