short_name,long_name,extra_content,script_type,correct_answer,predicted,confidence,reasoning,correct,latency_s
JE Carriers,JE Carriers Auto Transport,auto transport,latin,business_type,business_type,high,"The extra content ""auto transport"" drives the decision because it describes a specific service offered by JE Carriers, indicating that it is a business type.",1,17.25
Iglesia Fe Y Esperanza,Iglesia Fe y Esperanza Pinares,pinares,latin,location,location,high,"The extra content ""pinares"" identifies a specific location or neighborhood within the place name, suggesting that it is a location qualifier.",1,4.59
West Bradenton Baptist,West Bradenton Baptist Church,church,latin,business_type,business_type,high,"The extra content ""church"" indicates that the longer name is specifying a type of place, which is a church.",1,4.64
Monkey Puzzle Day Nursery,Monkey Puzzle Day Nursery West Norwood,west norwood,latin,location,location,high,"The extra content ""west norwood"" is a location qualifier that identifies a specific geographic area, which suggests that it should be classified as directory noise.",1,10.85
Recolast Ambiental,Recolast Ambiental Engenharia,engenharia,latin,business_type,business_type,high,"The extra content ""engenharia"" drove the decision, as it suggests a type of service or business offered by Recolast Ambiental.",1,5.24
Virginia Coffee Roastery,Virginia Coffee Roastery & Eatery,eatery,latin,business_type,business_type,high,"The extra content ""eatery"" identifies a specific business type, which is what kind of place this is.",1,4.74
Clarkston High School,Clarkston High School Natatorium,natatorium,latin,business_type,business_type,high,"The extra content ""natatorium"" is a specific type of facility or equipment, which suggests it describes what KIND of place this is.",1,5.08
Mint House Greenville,Mint House Greenville - West End,west end,latin,location,location,high,"The extra content ""west end"" is a location qualifier, specifically a neighborhood or area within Greenville.",1,4.46
The UPS Store,The UPS Store 7313,7313,latin,disambiguation,location,high,"The extra content ""7313"" is a location identifier (store number), suggesting it's directory noise, which would make The UPS Store 7313 redundant.",0,5.46
Clifton And Lewis Insurance,Clifton and Lewis Insurance Group,group,latin,disambiguation,disambiguation,high,"The extra content ""group"" drives the decision to classify this as disambiguation because it identifies a specific branch or organizational affiliation of Clifton And Lewis Insurance.",1,5.59
Bluebird Care,Bluebird Care Epsom & Kingston,epsom kingston,latin,location,location,high,"The extra content ""epsom kingston"" is identifying specific locations (city/neighborhood) associated with Bluebird Care, indicating that these are qualifiers rather than essential business information.",1,5.64
Pieology Pizzeria,"Pieology Pizzeria Aina Haina, Honolulu, HI",aina haina honolulu hi,latin,location,location,high,"The extra content (""aina haina honolulu hi"") appears to be a location qualifier, listing city, neighborhood, state, which suggests that it is directory noise.",1,5.73
Gary Ritter Violin,Gary Ritter Violin Viola Cello,viola cello,latin,business_type,business_type,high,"The extra content ""viola cello"" refers to a type of stringed musical instrument, which indicates that it describes what kind of place Gary Ritter Violin is — specifically, an instrument shop or repair service.",1,6.36
POLE DANCE AVEC MOI,Pole Dance avec Moi Marseille,marseille,latin,location,location,high,"The extra content ""marseille"" is a location qualifier that identifies a specific geographic region.",1,4.75
Schlotzsky's,"Schlotzsky's (Colony Way - Madison, MS)",colony way madison ms,latin,location,location,high,"The extra content ""colony way madison ms"" is a location, specifically a street address in Mississippi.",1,4.61
West Coast Hifi,West Coast Hi-Fi Rockingham,rockingham,latin,location,location,high,"The extra content ""rockingham"" identifies a specific location or geographic qualifier, which is a city or neighborhood.",1,4.44
Vape Haus,Vape Haus Queretaro,queretaro,latin,location,location,high,"The extra content ""queretaro"" identifies a specific location, driving the decision to classify it as a location qualifier.",1,7.07
Allison Hunt MD,"Allison Hunt, MD, FACOG",facog,latin,noise,noise,high,"The extra content ""FACOG"" is a professional credential indicating that Allison Hunt is a Fellow of the American College of Obstetricians and Gynecologists, which adds no semantic value to identifying her as a medical doctor.",1,6.5
Hamburguesas Al Carbon,Hamburguesas al Carbon Torreon,torreon,latin,location,location,high,"The extra content ""torreon"" is a place name — specifically, a city.",1,4.2
Vighna Bamboo Briyani,Vighna Bamboo Briyani - JB,jb,latin,location,disambiguation,high,"The extra content ""jb"" likely stands for a short name or an abbreviation, possibly indicating a specific branch or location of Vighna Bamboo Briyani.",0,5.68
Florería Rosa Pastel,Florería Rosa Pastel P. Peñasco,p penasco,latin,location,disambiguation,high,"The extra content ""p penasco"" is a person's name, specifically a last name, which suggests that the longer name is adding disambiguation information.",0,5.72
Boot Barn Hall,Boot Barn Hall at Bourbon Brothers,at bourbon brothers,latin,disambiguation,location,medium,"The extra content ""at bourbon brothers"" identifies a specific location or place, but also provides additional context to disambiguate the location from other places.",0,5.23
Atm,ATM (Post Office),post office,latin,disambiguation,location,high,"The extra content ""post office"" describes a location where services are offered, driving the decision to classify it as a location qualifier.",0,5.05
Marathon Gas,Marathon Gas & DQ,dq,latin,disambiguation,location,high,"The extra content ""dq"" likely refers to a specific location within a larger place, such as a convenience store within a gas station.",0,5.19
Planet Fitness,"Planet Fitness - Manassas, VA",manassas va,latin,location,location,high,"The extra content ""manassas va"" identifies a specific location, which is a city and state in this case.",1,10.93
