short_name,long_name,extra_content,script_type,correct_answer,predicted,confidence,reasoning,correct
JE Carriers,JE Carriers Auto Transport,auto transport,latin,business_type,business_type,high,"The extra content ""auto transport"" describes what kind of service or business JE Carriers provides, making it a business type.",1
Iglesia Fe Y Esperanza,Iglesia Fe y Esperanza Pinares,pinares,latin,location,disambiguation,high,"The extra content ""pinares"" appears to be a location name, indicating that this is a specific branch or congregation of Iglesia Fe y Esperanza located in Pinares. This kind of information usually serves as a qualifier and disambiguator rather than describing the type of establishment.",0
West Bradenton Baptist,West Bradenton Baptist Church,church,latin,business_type,business_type,high,"The extra content ""church"" specifies what kind of institution West Bradenton Baptist is, providing essential information about its nature.",1
Monkey Puzzle Day Nursery,Monkey Puzzle Day Nursery West Norwood,west norwood,latin,location,location,high,"The extra content ""west norwood"" identifies a specific location, which is typically noise in this context unless it's crucial for disambiguation. However, since ""West Norwood"" is a clear geographic qualifier, it suggests the nursery is located there.",1
Recolast Ambiental,Recolast Ambiental Engenharia,engenharia,latin,business_type,business_type,high,"The extra content ""engenharia"" means ""engineering"" in Portuguese, which provides additional information about the nature of services or activities performed by Recolast Ambiental. This describes what kind of service the company offers rather than specifying a location or disambiguating any specific branch.",1
Virginia Coffee Roastery,Virginia Coffee Roastery & Eatery,eatery,latin,business_type,business_type,medium,"The extra content ""eatery"" describes a secondary business type that extends the core identity of Virginia Coffee Roastery, providing additional information about the kinds of services or products offered.",1
Clarkston High School,Clarkston High School Natatorium,natatorium,latin,business_type,disambiguation,high,"The extra content ""natatorium"" describes a specific facility or department within Clarkston High School, indicating that this name refers to a particular building or feature rather than defining the core identity of the school.",0
Mint House Greenville,Mint House Greenville - West End,west end,latin,location,location,high,"The extra content ""west end"" is a geographic qualifier that specifies which part of Greenville this Mint House is located in, indicating it's additional location information.",1
The UPS Store,The UPS Store 7313,7313,latin,disambiguation,noise,high,"The extra content ""7313"" appears to be a numerical identifier or address, which is typically noise as it does not provide meaningful information about the business type, location, or disambiguation.",0
Clifton And Lewis Insurance,Clifton and Lewis Insurance Group,group,latin,disambiguation,disambiguation,medium,"The extra content ""group"" suggests an organizational structure or affiliation rather than a specific business type, location, or noise. It indicates that Clifton and Lewis Insurance is part of a larger organization.",1
Bluebird Care,Bluebird Care Epsom & Kingston,epsom kingston,latin,location,location,high,"The extra content ""epsom kingston"" is a combination of city names, which serves as additional location information to disambiguate between different branches or locations of Bluebird Care.",1
Pieology Pizzeria,"Pieology Pizzeria Aina Haina, Honolulu, HI",aina haina honolulu hi,latin,location,location,high,"The extra content ""aina haina honolulu hi"" includes a specific location, which is a neighborhood or district in Honolulu, Hawaii. This is a place name that disambiguates the exact location of the Pieology Pizzeria.",1
Gary Ritter Violin,Gary Ritter Violin Viola Cello,viola cello,latin,disambiguation,business_type,high,"The extra content ""viola cello"" specifies additional instruments that Gary Ritter Violin deals in, which describes what kind of business this is beyond just being a violin shop. This makes it a business type classification.",0
POLE DANCE AVEC MOI,Pole Dance avec Moi Marseille,marseille,latin,location,location,high,"The extra content ""marseille"" is a city name that provides additional context or location, which typically makes it a place name qualifier.",1
