short_name,long_name,extra_content,script_type,correct_answer,predicted,confidence,reasoning,correct,latency_s
JE Carriers,JE Carriers Auto Transport,auto transport,latin,business_type,business_type,high,"The extra content ""auto transport"" directly informs us about what service is provided by JE Carriers, which in this case indicates a business that transports vehicles. Since auto transport describes the nature of services offered and not any geographic location or disambiguation detailing specific branches, it falls under 'business_type'.",1,6.4
Iglesia Fe Y Esperanza,Iglesia Fe y Esperanza Pinares,pinares,latin,location,location,high,"The extra content ""pinares"" in this context appears to be a geographic identifier, possibly referring to a neighborhood or district within Pinar del Río municipality. It suggests that Iglesia Fe y Esperanza is located specifically at the location mentioned as opposed to another place with similar names elsewhere.",1,2.02
West Bradenton Baptist,West Bradenton Baptist Church,church,latin,business_type,noise,medium-to-high,"The extra content ""church"" directly identifies that this place is a religious institution, which implies its purpose. Given there are typically no multiple branches of church sharing identical names unless differentiated by additional modifiers such as the name or denomination (not present here), it would be considered noise in terms of further disambiguation and can be classified accordingly without ambiguity based on this extra content alone.",0,2.54
Monkey Puzzle Day Nursery,Monkey Puzzle Day Nursery West Norwood,west norwood,latin,location,location,high,"The extra content ""west norwood"" is a geographic location identifier that specifies where this particular Monkey Puzzle Day Nursery branch is situated. This additional information serves to distinguish it from other branches with the same name, likely in different locations.",1,1.92
Recolast Ambiental,Recolast Ambiental Engenharia,engenharia,latin,business_type,business_type,high,"The extra content ""engenharia"" indicates that this longer name provides additional information about what kind of business Recolast Ambiental is, specifically identifying it as an engineering firm. This implies a classification beyond just the location or disambiguation and gives meaning to their service offering within the industry contexts like environmental sciences where engineers are often involved in consultancy services for such projects.",1,2.44
Virginia Coffee Roastery,Virginia Coffee Roastery & Eatery,eatery,latin,business_type,business_type,medium,"The extra content ""eatery"" in this context serves to identify that Virginia Coffee Roastery is not just a place where coffee might be roasted, but specifically one which provides food and drinks as part of its service. It also hints at the business type without using explicit terms like 'restaurant' or 'cafe'.",1,2.3
Clarkston High School,Clarkston High School Natatorium,natatorium,latin,business_type,business_type,medium,"The extra content ""natatorium"" is a term that refers to an indoor pool facility, which indicates additional services offered by Clarkston High School. This suggests it's not merely providing education (as would be the case with a 'school') but also physical activity and health-related activities typically found at specialized facilities within educational institutions like high schools in this context—a common feature that adds to their identity rather than just serving as an identifier for geography or disambiguation.",1,2.79
Mint House Greenville,Mint House Greenville - West End,west end,latin,location,location,medium,"The extra content ""west end"" is a geographic location qualifier identifying which part of Mint House Greenville we are referring to. This provides specificity about where in the city this business operates and assists with directory accuracy without describing what type of services or goods they provide, implying it should not be used for disambiguation purposes but rather as a simple addressing qualifier within an already known location's name.",1,2.55
The UPS Store,The UPS Store 7313,7313,latin,disambiguation,noise,high,"The extra content ""7313"" provides a street address which is typical directory noise as it does not add semantic information about what services are offered or any specific identifiers of this franchise beyond its precise location. It seems to serve primarily for directing traffic rather than disambiguating the place name within directories, where listing numbers are commonly used in such contexts.",0,2.34
Clifton And Lewis Insurance,Clifton and Lewis Insurance Group,group,latin,disambiguation,disambiguation,medium,"The extra content ""group"" is typically used in naming to denote that this entity, Clifton And Lewis Insurance Company, operates as part of a larger organization. This does not specify what kind of insurance they provide or any additional geographic information; hence it's classified under disambiguation and signifies their affiliation within the group context without being specific to either business type or location details in this instance.",1,2.54
Bluebird Care,Bluebird Care Epsom & Kingston,epsom kingston,latin,location,location,high,"The extra content ""epsom kingston"" provides specific geographic identifiers that are names of towns or areas. This suggests additional context to assist in disambiguating between branches of a similar-named service, such as different pet care facilities which could be listed under the same name across various localities. In this case, it indicates two separate locations for Bluebird Care services within Epsom and Kingston regions without identifying them by their business type or adding any noise irrelevant to geographic location information.",1,2.82
Pieology Pizzeria,"Pieology Pizzeria Aina Haina, Honolulu, HI",aina haina honolulu hi,latin,location,location,high,"The extra content ""aina haina honolulu hi"" consists of geographic identifiers that specify where Pieology Pizzeria is located. Aina Haina, Honolulu (HI), refers to a particular neighborhood in the city and state respectively - which helps disambiguate this business name from other Pieology locations worldwide but does not describe its type or purpose beyond being part of an address.",1,2.53
Gary Ritter Violin,Gary Ritter Violin Viola Cello,viola cello,latin,business_type,disambiguation,medium to high (depending on context surrounding the individual 'Gary Ritter'),"The extra content ""viola cello"" suggests that this PetSmart store offers not just violas but also cellos, implying a business type where they sell or rent these string instruments. However, because the provided short_name is specifically for a 'Gary Ritter Violin' and there isn't enough context to clarify if Gary Ritter specializes in viola cello services (e.g., rental, repair), we cannot decisively classify this as business_type without making assumptions about personal branding vs the store offering itself; thus it remains unclear-cut based on given information alone and might be better categorized under disambiguation if Gary Ritter is a known figure in violin craftsmanship or service.",0,4.02
POLE DANCE AVEC MOI,Pole Dance avec Moi Marseille,marseille,latin,location,location,medium,"The extra content ""marseille"" in this context is a geographic identifier indicating where Pole Dance avec Moi operates, which suggests that it's likely to be an establishment or business tied specifically to its location. Since there isn’t additional information pointing towards what the core service of the place might involve (e.g., type of dance), we must infer based on common usage in similar naming conventions where a city name could either denote a general venue for activities, such as an event or studio within that locale, rather than defining its function directly with 'business_type'.",1,3.19
Schlotzsky's,"Schlotzsky's (Colony Way - Madison, MS)",colony way madison ms,latin,location,location,high,"The extra content ""colony way madison ms"" provides specific geographic information to identify this Schlotzsky's as a branch located at Colony Way in Madison, MS. It serves as an address and place identifier within the directory listing rather than describing what kind of establishment it is or any disambiguation related identifiers like ownerships or franchise details.",1,2.34
West Coast Hifi,West Coast Hi-Fi Rockingham,rockingham,latin,location,location,medium,"The extra content ""rockingham"" provides a geographic location that is specific enough to identify this place name as referring to Rockingham, which could be either in Australia or England depending on context. Since no further information about the business type (such as additional descriptors) was provided within these names themselves and there's nothing suggesting it refers to an individual with professional credentials like M.D., CPA, etc.",1,2.48
Vape Haus,Vape Haus Queretaro,queretaro,latin,location,location,high,"The extra content ""queretaro"" directly names a city, which suggests that this PetSmart branch is located in Querétaro. This name does not describe what kind of business it is or serve to disambiguate between branches but rather identifies the exact place where they are situated within Mexico's rich cultural tapestry and urban landscape.",1,2.25
Allison Hunt MD,"Allison Hunt, MD, FACOG",facog,latin,noise,noise,medium,"The extra content ""facog"" appears to be a professional qualification abbreviation, which typically follows personal names in directories or on business cards of medical professionals. In this context, it is likely shorthand notation for Fellowship of the American College of Obstetricians and Gynecologists (FACOG), indicating that Dr. Allison Hunt has achieved a specialized certification within her field after earning an MD degree but before completing residency training in obstetrics or gynecology, which requires further study beyond the core medical education denoted by 'MD'.",1,3.25
Hamburguesas Al Carbon,Hamburguesas al Carbon Torreon,torreon,latin,location,location,high,"The extra content ""torreon"" is a clear geographic identifier of where this Hamburgers Al Carbon branch specifically resides. This name helps to distinguish one location from another within the Hamburger chain, which typically has multiple locations across various cities and neighborhoods. Since it serves sole0mly as a locator without additional qualifiers or descriptors that could hint at business type (it's still clearly just 'Hamburgers'), we classify this extra content under location identification for disambiguation purposes.",1,2.87
Vighna Bamboo Briyani,Vighna Bamboo Briyani - JB,jb,latin,location,disambiguation,low,"The extra content ""jb"" appears to be a shorthand reference that could denote either the initials of an individual or possibly a business acronym relevant within this context. However, without additional information about whether it refers to JB's personal presence at the briyani (like being his regular customer) or if there’s a relationship between ""JB"" and Vighna Bamboo Briyani such as ownership or partnership in business which isn't explicitly mentioned, we cannot categorically determine its role.",0,3.02
Florería Rosa Pastel,Florería Rosa Pastel P. Peñasco,p penasco,latin,location,disambiguation,medium,"The extra content ""p penasco"" is a personal name identifier that appears to be an abbreviation or shortened form of Pepéncio Peñasco, who might own or manage this business. Given the context provided in the instruction related to disambiguation and franchise identification (e.g., referring explicitly as Franchisé indépendant), it's reasonable to interpret ""p penasco"" here as a shorthand for Pepéncio Peñasco, suggesting that identifying him is necessary for clarity rather than describing the business type or location within itself.",0,3.17
Boot Barn Hall,Boot Barn Hall at Bourbon Brothers,at bourbon brothers,latin,disambiguation,disambiguation,medium,"The extra content ""at bourbon brothers"" serves as an identifier to disambiguate between multiple franchises of a particular brand or service, which in this case is likely related to services provided by Bourbon Brothers. The core name 'Boot Barn Hall' remains unchanged and does not describe the type of business nor add substantial semantic value beyond identification; therefore, it classifies as noise within our structured classification system for place names.",1,2.59
Atm,ATM (Post Office),post office,latin,disambiguation,disambiguation,high,"The extra content ""post office"" directly identifies an organizational affiliation where this ATM is located, indicating that it's not a standalone financial service but rather situated within a post office environment. This suggests the presence of disambiguation information as opposed to directory noise or mere geographic detailing in regular business names.",1,2.15
Marathon Gas,Marathon Gas & DQ,dq,latin,disambiguation,disambiguation,medium,"The extra content ""dq"" in this context does not contain any geographic, descriptive business type information about what Marathon Gas is; instead it appears to be an abbreviation or acronym that stands on its own without additional clarification. In the absence of further context suggesting a specific disambiguation (such as being part of another brand), and considering the naming convention typically used in directory listings, this would likely just serve to differentiate between two separate entities sharing similar names within close proximity or under related ownership/management but not explicitly describing any additional information about business type.",1,3.17
Planet Fitness,"Planet Fitness - Manassas, VA",manassas va,latin,location,location,high,"The extra content ""manassas va"" provides a clear geographic identifier, specifically referencing Manassas city in Virginia (VA), which is used to disambiguate this particular Planet Fitness franchise location. It does not add any information about the nature of business or services offered by the establishment but serves as an essential locator when someone searches for fitness centers within a certain region, especially if there are multiple branches in close proximity.",1,2.65
Raising Cane's,Raising Cane's Chicken Fingers,chicken fingers,latin,business_type,business_type,high,"The extra content ""chicken fingers"" clearly describes what is sold at this particular Raising Cane's establishment, which in turn indicates that it’s describing a specific type of food item offered by the business. This aligns with defining not just any restaurant offering chicken but specifically one known for its fried chicken product offerings.",1,2.31
La Azotea,La Azotea Terraza,terraza,latin,business_type,location,"medium-to-high (depending on cultural context, but likely high given that it adds a distinctive feature of La Azotea)","The extra content ""terraza"" directly follows after a geographic identifier which is commonly used as an additional descriptor in place names, particularly when referring to outdoor areas like terraces or gardens within city limits. This suggests that it might be adding relevant information about the specific amenities of La Azotea Terraza without being redundant since ""La Azotea"" itself implies a rooftop setting which is synonymous with such spaces in many cultures, particularly those where Spanish naming conventions are used for establishments like restaurants and cafés.",0,3.99
bergwerk IT GmbH,bergwerk IT GmbH | Webentwicklung & IT-Infrastruktur,webentwicklung itinfrastruktur,latin,disambiguation,disambiguation,high,"The extra content ""webentwicklung itinfrastruktur"" provides a service-related descriptor, which along with “|” indicates that this is not just additional information but serves to specify and disambiguate the business services provided by Bergwerk IT GmbH. This suggests it's specialized in web development rather than being categorized under general pet care or similar establishments.",1,2.39
Hospital São Domingos,Hospital São Domingos- Exames,exames,latin,disambiguation,business_type,high,"The extra content ""exames"" appears to be a specific service offered by this hospital. The word does not serve as an identifier of location or disambiguation; rather, it provides information about what services are available at the Hospital São Domingos, making it relevant in terms of business type within medical facilities contexts.",0,2.17
Parc Clichy-Batignolles,Parc Clichy-Batignolles Martin Luther King,martin luther king,latin,location,disambiguation,"medium (The naming convention here seems more like tribute than business-related disambiguation, which typically points toward an ambiguous or non-core functional aspect.)","The extra content ""martin luther king"" is clearly a disambiguation name, likely referencing Martin Luther King Jr. This indicates that this Parc Clichy-Batignolles branch has some association with the famous civil rights leader, which could be for marketing or historical reasons but does not define what kind of service they provide nor contribute to identifying them as part of a location without further context on why it's relevant.",0,3.21
Canal Video,Canal Vidéo Laryan 82 Franchisé indépendant,laryan 82 franchise independant,latin,disambiguation,disambiguation,medium,"The extra content ""laryan 82 franchise independant"" identifies a specific independent business operation within Laryan, using numerical identification consistent with common practices in French directories. The presence of 'franchisé indépendant' suggests it is not part of an official chain but refers to this particular entity as the point of reference for disambiguation purposes.",1,2.3
Calico Jacks,Calico Jack's Bistro,bistro,latin,business_type,business_type,medium,"The extra content ""bistro"" suggests that this establishment specializes in French-inspired cuisine, typically a key aspect of business types related to food. However, without additional context suggesting otherwise or another distinguishing characteristic specific to the type of dining experience Calico Jack's Bistro offers (e.g., casual vs fancy bistros), this content alone doesn't strongly indicate one class over any other beyond a general classification as an eating establishment.",1,2.82
Over The Rainbow,Over the Rainbow Limited,limited,latin,disambiguation,business_type,medium,"The extra content ""limited"" typically signifies a business offering limited membership, shares or time-based services within its name. Given that it is commonly associated with specialized retail establishments (like liquor stores), this can be interpreted as an indication of the type of product sold and potentially the nature of customer access to these products at Over The Rainbow Limited.",0,2.37
Colourfence Garden Fencing,ColourFence Garden Fencing - Isle Of Wight,isle of wight,latin,location,location,high,"The extra content ""isle of wight"" provides a geographic reference that specifies where this garden fencing service operates. Since it is solely used to identify location, not business type or disambiguation specifics about the company (like franchise details), we can determine its role in identifying place-related information rather than differentiating between similar entities with different services.",1,2.38
Leonora Rose,Leonora Rose Florists,florists,latin,business_type,business_type,high,"The extra content ""florists"" describes what kind of business Leonora Rose is, indicating that it specializes in floral arrangements. This term identifies the core service provided by this establishment and differentiates its offerings from other types of services or products one might find under a florist's name without additional contextual information beyond ""florists.""",1,2.37
Service Neon,Service Neon di Cateni Riccardo,di cateni riccardo,latin,disambiguation,disambiguation,medium,"The extra content ""di cateni riccardo"" includes a personal name, Riccardo Cateni, who is likely identified as an individual associated with this business. The naming convention suggests that he may be the proprietor or have a significant role in Service Neon, and his inclusion serves to disambiguate among similar establishments since it provides unique identification beyond just location-based descriptors.",1,2.5
Wing Sing,Wing Sing Bar,bar,latin,business_type,business_type,high,"The extra content ""bar"" directly indicates that this establishment is a place where people can go to drink alcoholic beverages in a social setting. It clearly defines it as a type of business rather than providing location information or other descriptive attributes like the owner's details, franchising status, etc. This straightforward identification dictates what kind of venue Wing Sing Bar is and guides us towards understanding its classification without ambiguity.",1,2.63
Spectron Desarrollo,Spectron Desarrollo S.C.,sc,latin,noise,disambiguation,medium,"The extra content ""sc"" is a common abbreviation that stands for Sociedad Civil, which translates to “Civil Society Company” in English. This phrase suggests an organizational structure rather than describing what kind of service the company provides or its exact location within Folsom East Bidwell specifically. Therefore, this qualifies as information about ownership or affiliation/franchise type but not a direct indication that it's providing pet-related services since ""Spectron Desarrollo"" can be interpreted more generally as an organization engaged in developmental work.",0,3.12
Charleston Civic Center,Charleston Civic Center Ice Arena,ice arena,latin,business_type,disambiguation,medium,"The extra content ""ice arena"" specifies that this is a particular feature or characteristic of the Charleston Civic Center, suggesting it's differentiated by having an ice rink. This implies additional information about what services are offered beyond just being a civic center and could be important for those searching specifically looking for recreational facilities with ice skating amenities within this location.",0,2.45
