short_name,long_name,extra_content,script_type,correct_answer,predicted,confidence,reasoning,correct,latency_s
JE Carriers,JE Carriers Auto Transport,auto transport,latin,business_type,business_type,high,"]
]
The extra content ""auto transport"" describes a specific service offered by JE Carriers, making it a part of their business type. Therefore, this is classified as 'business_type'.",1,10.16
Iglesia Fe Y Esperanza,Iglesia Fe y Esperanza Pinares,pinares,latin,location,location,high,"]
The extra content ""Pinares"" is a geographic qualifier, indicating the specific location of Iglesia Fe y Esperanza. Therefore, it is classified as 'location'.",1,3.46
West Bradenton Baptist,West Bradenton Baptist Church,church,latin,business_type,business_type,high,"]
The extra content ""church"" is a business type, indicating what kind of place West Bradenton Baptist is.",1,3.01
Monkey Puzzle Day Nursery,Monkey Puzzle Day Nursery West Norwood,west norwood,latin,location,location,high,"]
]
The extra content ""West Norwood"" is a location, specifying where this particular Monkey Puzzle Day Nursery is located.",1,3.18
Recolast Ambiental,Recolast Ambiental Engenharia,engenharia,latin,business_type,disambiguation,high,"]
The extra content ""engenharia"" is a professional qualifier, specifying that Recolast Ambiental offers engineering services.",0,3.1
Virginia Coffee Roastery,Virginia Coffee Roastery & Eatery,eatery,latin,business_type,business_type,high,"]
The extra content ""eatery"" describes a specific type of business (restaurant, café, bistro etc.). Therefore, it is classified as 'business_type'.",1,3.49
Clarkston High School,Clarkston High School Natatorium,natatorium,latin,business_type,business_type,high,"]
The extra content ""natatorium"" is a specific type of facility found within the school, which provides more context about the nature of the business. It does not identify a location or disambiguate between different branches or services. Therefore, it's classified as 'business_type'.",1,4.32
Mint House Greenville,Mint House Greenville - West End,west end,latin,location,location,high,"]
The extra content ""West End"" is a location qualifier, specifically a neighborhood in Greenville. It identifies a specific area within Mint House, making it part of the longer name that specifies a more precise location. Therefore, this is classified as 'location'.",1,4.13
The UPS Store,The UPS Store 7313,7313,latin,disambiguation,location,high,"]
The extra content ""7313"" is a location qualifier that identifies a specific store number, which helps to differentiate one branch from another. It is not a business type or disambiguation.",0,3.68
Clifton And Lewis Insurance,Clifton and Lewis Insurance Group,group,latin,disambiguation,business_type,high,"]
The extra content ""group"" is descriptive of a business type, as it indicates that Clifton and Lewis are not just an insurance agency, but a group of related agencies. This knowledge helps to identify what kind of place this is.",0,4.0
Bluebird Care,Bluebird Care Epsom & Kingston,epsom kingston,latin,location,location,high,"]
The extra content ""Epsom & Kingston"" specifies a location, which is a city or towns in this case. This information helps to identify the specific branch of Bluebird Care.",1,3.49
Pieology Pizzeria,"Pieology Pizzeria Aina Haina, Honolulu, HI",aina haina honolulu hi,latin,location,location,high,"]
The extra content ""Aina Haina, Honolulu, HI"" is a location qualifier, indicating the specific neighborhood (Aina Haina), city (Honolulu), state (HI) of Pieology Pizzeria.",1,4.13
Gary Ritter Violin,Gary Ritter Violin Viola Cello,viola cello,latin,business_type,disambiguation,high,"]
The extra content ""viola cello"" is a list of instruments that Gary Ritter offers, which are not business types or locations. It serves to disambiguate between Gary Ritter's services, so this is classified as 'disambiguation'.",0,4.01
POLE DANCE AVEC MOI,Pole Dance avec Moi Marseille,marseille,latin,location,location,high,"]
]
The extra content ""Marseille"" is a location qualifier, indicating the specific branch or location of Pole Dance avec Moi. Therefore, it is classified as 'location'.",1,3.42
Schlotzsky's,"Schlotzsky's (Colony Way - Madison, MS)",colony way madison ms,latin,location,location,high,"]
The extra content ""colony way madison ms"" is a location that identifies the specific address or area of Schlotzsky's. Therefore, this is classified as 'location'.",1,3.42
West Coast Hifi,West Coast Hi-Fi Rockingham,rockingham,latin,location,location,high,"]
The extra content ""Rockingham"" is a location that specifies the place where West Coast Hi-Fi is located.",1,2.89
Vape Haus,Vape Haus Queretaro,queretaro,latin,location,location,high,"]
The extra content ""queretaro"" is a location, specifying a city in Mexico. This information doesn't help determine what kind of business this is or provide any disambiguation, so it can be classified as 'location'.",1,3.86
Allison Hunt MD,"Allison Hunt, MD, FACOG",facog,latin,noise,disambiguation,high,"]
The extra content ""FACOG"" is a professional credential that identifies Allison Hunt as a Fellow of the American College of Obstetricians and Gynecologists. It does not specify a place or business type, so it falls under disambiguation.",0,4.16
Hamburguesas Al Carbon,Hamburguesas al Carbon Torreon,torreon,latin,location,location,high,"]
The extra content ""Torreon"" is a geographic qualifier, specifically identifying the location of Hamburguesas al Carbon. Therefore, this is classified as 'location'.",1,3.41
Vighna Bamboo Briyani,Vighna Bamboo Briyani - JB,jb,latin,location,noise,low,"]
The extra content ""JB"" is most likely an abbreviation or acronym that could represent a location (e.g., town, neighborhood, etc.) or a business entity (e.g., company, chain, franchise). However, without additional context or information about the specific meaning of ""JB,"" it cannot be definitively determined if this is a business_type, location, or noise.",0,5.42
Florería Rosa Pastel,Florería Rosa Pastel P. Peñasco,p penasco,latin,location,location,high,"]
The extra content ""p penasco"" is a location qualifier, specifically a town or city name.",1,2.96
Boot Barn Hall,Boot Barn Hall at Bourbon Brothers,at bourbon brothers,latin,disambiguation,disambiguation,high,"]
The extra content ""at Bourbon Brothers"" is disambiguating, identifying a specific location or venue (Bourbon Brothers) that Boot Barn Hall is located within.",1,3.47
Atm,ATM (Post Office),post office,latin,disambiguation,noise,high,"]
The extra content ""post office"" does not describe what KIND of place this is (business_type), nor is it a location. Instead, it appears to be a secondary descriptor that may provide additional information about the ATM's location or affiliation. However, since it is not an official post office but rather an ATM located inside one, it does not truly disambiguate the business. Therefore, it is classified as 'noise'.",0,5.82
Marathon Gas,Marathon Gas & DQ,dq,latin,disambiguation,noise,high,"]
The extra content ""dq"" is most likely a franchise/parallel brand or marketing tagline, as it is an abbreviation for Dairy Queen, a fast-food chain often associated with gas stations such as Marathon. Therefore, this is classified as 'noise'.",0,4.67
Planet Fitness,"Planet Fitness - Manassas, VA",manassas va,latin,location,location,high,"]
The extra content ""Manassas, VA"" is a location qualifier, indicating the specific branch or location of Planet Fitness.",1,3.18
Raising Cane's,Raising Cane's Chicken Fingers,chicken fingers,latin,business_type,business_type,high,"]
The extra content ""chicken fingers"" is a type of food that Raising Cane's serves, making it a business_type.",1,3.26
La Azotea,La Azotea Terraza,terraza,latin,business_type,location,high,"]
The extra content ""terraza"" is a geographic qualifier, specifically a type of location (terrace or roof terrace) that adds more information about the venue. This is classified as 'location'.",0,3.67
bergwerk IT GmbH,bergwerk IT GmbH | Webentwicklung & IT-Infrastruktur,webentwicklung itinfrastruktur,latin,disambiguation,disambiguation,high,"]
The extra content ""webentwicklung & IT-Infrastruktur"" describes a specific service offered by Bergwerk IT GmbH, making it disambiguating. This helps to differentiate the company from others offering similar business types.",1,3.96
Hospital São Domingos,Hospital São Domingos- Exames,exames,latin,disambiguation,disambiguation,high,"]
The extra content ""exames"" is a disambiguation as it specifies the particular service offered by the hospital, which is examinations.",1,3.2
Parc Clichy-Batignolles,Parc Clichy-Batignolles Martin Luther King,martin luther king,latin,location,disambiguation,high,"]
The extra content ""Martin Luther King"" is a disambiguation, as it identifies a specific park within Parc Clichy-Batignolles.",0,3.49
Canal Video,Canal Vidéo Laryan 82 Franchisé indépendant,laryan 82 franchise independant,latin,disambiguation,disambiguation,high,"]
The extra content ""Laryan 82 Franchisé indépendant"" identifies this specific branch as an independent franchise of Canal Vidéo. This makes it a disambiguation.",1,3.75
Calico Jacks,Calico Jack's Bistro,bistro,latin,business_type,business_type,high,"]
The extra content ""bistro"" describes what KIND of place this is, specifically a restaurant or eatery. Therefore, it is classified as business_type.",1,3.5
Over The Rainbow,Over the Rainbow Limited,limited,latin,disambiguation,noise,high,"]
The extra content ""limited"" does not provide any information about what type of business this is or its location, but it is a legal requirement in some countries to include Ltd, Co., Inc. in a company's name. Therefore, it can be classified as 'noise'.",0,4.29
Colourfence Garden Fencing,ColourFence Garden Fencing - Isle Of Wight,isle of wight,latin,location,location,high,"]
The extra content ""isle of wight"" is a geographic qualifier, specifically identifying the location of ColourFence Garden Fencing. It does not identify what kind of business it is, so it is classified as 'location'.",1,4.05
Leonora Rose,Leonora Rose Florists,florists,latin,business_type,business_type,high,"]
The extra content ""florists"" is a business type that describes what KIND of place Leonora Rose is. Therefore, it is classified as 'business_type'.",1,3.44
Service Neon,Service Neon di Cateni Riccardo,di cateni riccardo,latin,disambiguation,disambiguation,high,"]
The extra content ""di Cateni Riccardo"" is disambiguating, as it specifies a particular individual (Riccardo) associated with Service Neon.",1,3.47
Wing Sing,Wing Sing Bar,bar,latin,business_type,business_type,high,"]
The extra content ""bar"" is a business type, as it defines what kind of place Wing Sing is (a bar).",1,3.04
Spectron Desarrollo,Spectron Desarrollo S.C.,sc,latin,noise,noise,high,"]
The extra content ""sc"" stands for Sociedad Civil, which is a Mexican legal structure. As this information does not provide any additional meaning to the core name (Spectron Desarrollo) or identify its business type or location, it falls under the 'noise' category.",1,4.28
Charleston Civic Center,Charleston Civic Center Ice Arena,ice arena,latin,business_type,business_type,high,"]
The extra content ""ice arena"" is a specific type of facility within the civic center, making it a part of the business_type.",1,3.18
Hotel Olimpia,Hotel Olimpia  Silvi Marina TE,silvi marina te,latin,location,location,high,"]
The extra content ""Silvi Marina TE"" provides a geographic location, specifying Silvi Marina as a town in the province of Teramo (TE) in Italy. Therefore, this is classified as 'location'.",1,3.95
Murphy USA,Murphy USA #6583,6583,latin,disambiguation,noise,high,"]
The extra content ""6583"" appears to be an inventory, license or store number rather than a business type, location or disambiguation. It adds no semantic value to the place name Murphy USA and can be considered listing boilerplate.",0,4.12
Home Instead,Home Instead Senior Care,senior care,latin,business_type,disambiguation,high,"]
The extra content ""senior care"" is a specific service offered by Home Instead, making it a disambiguation.",0,2.98
Forst und Garten,Forst und Garten Diehl,diehl,latin,disambiguation,disambiguation,high,"]
The extra content ""Diehl"" is disambiguating, as it identifies a specific individual or entity associated with Forst und Garten. Therefore, this is classified as 'disambiguation'.",1,3.65
The Flying Locksmiths,The Flying Locksmiths - Los Angeles West,los angeles west,latin,location,location,high,"]
The extra content ""Los Angeles West"" is a location qualifier, specifically identifying a geographic area within Los Angeles. This helps to distinguish this specific branch of The Flying Locksmiths from others.",1,3.67
Lonches Amparito,Lonches Amparito Tránsito,transito,latin,location,location,high,"]
]
The extra content ""transito"" is a location qualifier, specifically indicating a street or road name. It identifies a specific location of Lonches Amparito, making it a part of the longer name that specifies the place. Therefore, this is classified as 'location'.",1,4.34
En-spire Nutrition,En-spire Nutrition Centennial,centennial,latin,location,location,high,"]
The extra content ""Centennial"" is a geographic qualifier, specifically a town or city. It identifies a specific location of En-spire Nutrition. Therefore, this is classified as 'location'.",1,3.67
Auto Stark,Auto Stark Acessórios Automotivo,acessorios automotivo,latin,business_type,business_type,high,"]
]
The extra content ""acessorios automotivo"" describes the kind of place this is, specifically an auto accessories store.",1,3.17
Kyle Citty,"Kyle Citty, M.D.",md,latin,noise,noise,high,"]
]
The extra content ""M.D."" indicates a professional credential and is non-essential for identifying the place name, which is ""Kyle Citty"". Therefore, it can be classified as 'noise'.",1,3.96
Työväen Akatemia,Työväen Akatemian kirjasto,n kirjasto,latin,business_type,noise,high,"]
]
The extra content ""n kirjasto"" is a descriptive qualifier, specifically indicating that it refers to the library of Työväen Akatemia. This does not change what kind of place this is (school) or its location. Therefore, it is classified as 'noise'.",0,4.57
Craig Bagley,Craig Bagley - State Farm Insurance Agent,state farm insurance agent,latin,business_type,disambiguation,high,"]
The extra content ""state farm insurance agent"" identifies a specific branch of Craig Bagley's work, making it a disambiguating factor.",0,3.24
Andy Allain - Thrivent,Andy Allain - Thrivent Financial,financial,latin,business_type,business_type,high,"]
The extra content ""financial"" is a business type, as it specifies that Andy Allain works in the financial sector.",1,3.09
Tractor Supply,Tractor Supply Co.,co,latin,noise,noise,high,"]
The extra content ""co"" is a standard business suffix that does not add any semantic value to the core name ""Tractor Supply"". This is noise.",1,3.31
Mary Print,Mary Print Sardegna,sardegna,latin,location,location,high,"]
]
The extra content ""Sardegna"" is a geographic qualifier, specifically a region in Italy. It identifies the location of Mary Print, making it a part of the longer name that specifies the place. Therefore, this is classified as 'location'.",1,4.17
Cella Café,Cella Café Bar & Restaurant,bar restaurant,latin,business_type,business_type,high,"]
The extra content ""bar restaurant"" can be classified as 'business_type' because it describes what KIND of place Cella Cafe is - a cafe, bar, and restaurant.",1,3.56
Floripa Sucos,Floripa Sucos e Lanches,e lanches,latin,business_type,business_type,high,"]
]
The extra content ""e lanches"" is a business type, specifically indicating that this establishment serves food in addition to drinks (sucos).",1,3.4
