short_name,long_name,extra_content,script_type,correct_answer,predicted,confidence,reasoning,correct,latency_s
JE Carriers,JE Carriers Auto Transport,auto transport,latin,business_type,business_type,high,"The extra content ""auto transport"" describes what KIND of service JE Carriers provides, identifying it as a specific type of transportation business.",1,4.56
Iglesia Fe Y Esperanza,Iglesia Fe y Esperanza Pinares,pinares,latin,location,location,high,"The extra content ""Pinares"" is a place name, specifically a neighborhood or geographic qualifier.",1,2.68
West Bradenton Baptist,West Bradenton Baptist Church,church,latin,business_type,business_type,high,"The extra content ""church"" describes what KIND of place this is, identifying it as a specific type of establishment.",1,2.85
Monkey Puzzle Day Nursery,Monkey Puzzle Day Nursery West Norwood,west norwood,latin,location,location,high,"The extra content ""West Norwood"" is a location qualifier, specifically a neighborhood name.",1,2.59
Recolast Ambiental,Recolast Ambiental Engenharia,engenharia,latin,business_type,business_type,high,"The extra content ""engenharia"" describes what KIND of place or service this is, identifying it as an engineering service.",1,2.9
Virginia Coffee Roastery,Virginia Coffee Roastery & Eatery,eatery,latin,business_type,business_type,high,"The extra content ""eatery"" describes what KIND of place this is, identifying it as a specific type of establishment.",1,2.67
Clarkston High School,Clarkston High School Natatorium,natatorium,latin,business_type,business_type,high,"The extra content ""natatorium"" describes what KIND of place this is, specifically a type of facility within the school.",1,2.81
Mint House Greenville,Mint House Greenville - West End,west end,latin,location,location,high,"The extra content ""West End"" is a location qualifier, specifically a neighborhood name.",1,2.4
The UPS Store,The UPS Store 7313,7313,latin,disambiguation,noise,high,"The extra content ""7313"" is a numeric identifier that appears to be a location code, but it's likely an arbitrary label and not a meaningful place name or business type.",0,3.18
Clifton And Lewis Insurance,Clifton and Lewis Insurance Group,group,latin,disambiguation,disambiguation,high,"The extra content ""group"" identifies a specific affiliation or organizational structure, which is not a place name or a business type.",1,3.06
Bluebird Care,Bluebird Care Epsom & Kingston,epsom kingston,latin,location,location,high,"The extra content ""Epsom & Kingston"" identifies a specific location or region, which is a place name.",1,2.78
Pieology Pizzeria,"Pieology Pizzeria Aina Haina, Honolulu, HI",aina haina honolulu hi,latin,location,location,high,"The extra content ""Aina Haina, Honolulu, HI"" is a location qualifier, specifically a city and state name.",1,2.8
Gary Ritter Violin,Gary Ritter Violin Viola Cello,viola cello,latin,business_type,business_type,high,"The extra content ""viola cello"" lists specific instruments that Gary Ritter Violin offers, which suggests it's a business type.",1,2.82
POLE DANCE AVEC MOI,Pole Dance avec Moi Marseille,marseille,latin,location,location,high,"The extra content ""Marseille"" is a place name, specifically a city name.",1,2.46
Schlotzsky's,"Schlotzsky's (Colony Way - Madison, MS)",colony way madison ms,latin,location,location,high,"The extra content ""Colony Way - Madison, MS"" is a location qualifier, specifically an address that includes a street name and city/state.",1,3.23
West Coast Hifi,West Coast Hi-Fi Rockingham,rockingham,latin,location,location,high,"The extra content ""Rockingham"" is a location qualifier, specifically a city or neighborhood name.",1,2.54
Vape Haus,Vape Haus Queretaro,queretaro,latin,location,location,high,"The extra content ""Queretaro"" is a location qualifier, specifically a city name.",1,2.47
Allison Hunt MD,"Allison Hunt, MD, FACOG",facog,latin,noise,noise,high,"The extra content ""FACOG"" is a professional credential appended to the personal name, which adds no semantic value.",1,2.75
Hamburguesas Al Carbon,Hamburguesas al Carbon Torreon,torreon,latin,location,location,high,"The extra content ""torreon"" is a location qualifier, specifically a city name.",1,2.35
Vighna Bamboo Briyani,Vighna Bamboo Briyani - JB,jb,latin,location,noise,medium,"The extra content ""JB"" appears to be an abbreviation for a location or region, but given its brevity, it's unclear what specific information it adds.",0,3.0
Florería Rosa Pastel,Florería Rosa Pastel P. Peñasco,p penasco,latin,location,disambiguation,high,"The extra content ""P. Peñasco"" is a person's name or initials, which indicates ownership or affiliation, but does not provide any semantic value beyond disambiguating the specific location.",0,3.37
Boot Barn Hall,Boot Barn Hall at Bourbon Brothers,at bourbon brothers,latin,disambiguation,disambiguation,high,"The extra content ""at Bourbon Brothers"" disambiguates a specific location or affiliation associated with Boot Barn Hall, without being a business type.",1,3.17
Atm,ATM (Post Office),post office,latin,disambiguation,disambiguation,high,"The extra content ""post office"" disambiguates a specific type of establishment, indicating that this ATM is located in a post office.",1,5.14
Marathon Gas,Marathon Gas & DQ,dq,latin,disambiguation,business_type,high,"The extra content ""DQ"" is a business type, specifically a brand name or franchise identifier.",0,2.67
Planet Fitness,"Planet Fitness - Manassas, VA",manassas va,latin,location,location,high,"The extra content ""Manassas, VA"" is a location qualifier, specifically a city and state name.",1,2.54
Raising Cane's,Raising Cane's Chicken Fingers,chicken fingers,latin,business_type,business_type,high,"The extra content ""chicken fingers"" describes what KIND of place this is, identifying it as a specific type of establishment.",1,2.68
La Azotea,La Azotea Terraza,terraza,latin,business_type,location,high,"The extra content ""terraza"" is a Spanish word that means ""terrace"", which is likely a type of location or a specific feature of the place.",0,2.92
bergwerk IT GmbH,bergwerk IT GmbH | Webentwicklung & IT-Infrastruktur,webentwicklung itinfrastruktur,latin,disambiguation,disambiguation,high,"The extra content ""Webentwicklung & IT-Infrastruktur"" disambiguates a specific service or branch associated with Bergwerk IT GmbH, identifying it as a provider of web development and IT infrastructure services.",1,3.65
Hospital São Domingos,Hospital São Domingos- Exames,exames,latin,disambiguation,noise,high,"The extra content ""exames"" is boilerplate listing a service, but in this case, it's likely a marketing tagline or descriptor, which adds no semantic value.",0,3.04
Parc Clichy-Batignolles,Parc Clichy-Batignolles Martin Luther King,martin luther king,latin,location,disambiguation,high,"The extra content ""Martin Luther King"" is a proper name of a person, not a location or business type.",0,3.85
