short_name,long_name,extra_content,script_type,correct_answer,predicted,confidence,reasoning,correct,latency_s
JE Carriers,JE Carriers Auto Transport,auto transport,latin,business_type,business_type,high,"]
The extra content ""auto transport"" describes a specific type of service offered by JE Carriers, rather than identifying the nature of the place or disambiguating among multiple entities.",1,11.36
Iglesia Fe Y Esperanza,Iglesia Fe y Esperanza Pinares,pinares,latin,location,location,high,"]
The extra content ""pinares"" is a geographic location that adds to the core name Iglesia Fe y Esperanza by specifying the neighborhood or area where this church is located.",1,3.53
West Bradenton Baptist,West Bradenton Baptist Church,church,latin,business_type,business_type,high,"]
The extra content ""church"" is a common term used to describe a specific type of religious institution, not adding any geographic or disambiguation context.",1,3.28
Monkey Puzzle Day Nursery,Monkey Puzzle Day Nursery West Norwood,west norwood,latin,location,location,high,"]
The extra content ""west norwood"" is a geographic location, specifically a neighborhood within London.",1,2.77
Recolast Ambiental,Recolast Ambiental Engenharia,engenharia,latin,business_type,business_type,high,"]
The extra content ""engenharia"" in this case is a professional qualifier that describes the business type of Recolast Ambiental, indicating they are an engineering company.",1,3.44
Virginia Coffee Roastery,Virginia Coffee Roastery & Eatery,eatery,latin,business_type,business_type,high,"]
The extra content ""eatery"" describes a subtype of business that Virginia Coffee Roastery has, making it a business_type.",1,3.2
Clarkston High School,Clarkston High School Natatorium,natatorium,latin,business_type,business_type,high,"]
The extra content ""natatorium"" is a building type that refers to an indoor swimming pool, making it a business_type.",1,3.11
Mint House Greenville,Mint House Greenville - West End,west end,latin,location,location,high,"]
The extra content ""West End"" is a geographic qualifier, specifically a neighborhood within Greenville, which helps to identify the specific location of this Mint House branch. Therefore, it can be classified as location.",1,3.67
The UPS Store,The UPS Store 7313,7313,latin,disambiguation,disambiguation,high,"]
The extra content ""7313"" does not provide any additional information about the business type or location, it is likely a store number or identifier that helps customers find specific branches.",1,3.44
Clifton And Lewis Insurance,Clifton and Lewis Insurance Group,group,latin,disambiguation,disambiguation,high,"]
The extra content ""group"" does not provide any information regarding the kind of business it is, nor is it a location qualifier. Instead, it seems to indicate an affiliation or collective ownership, making it a disambiguation term.",1,3.88
Bluebird Care,Bluebird Care Epsom & Kingston,epsom kingston,latin,location,location,high,"]
The extra content ""epsom kingston"" consists of two geographic identifiers: Epsom and Kingston, which together identify a specific region where this Bluebird Care branch operates. As such, it falls under the location category.",1,3.82
Pieology Pizzeria,"Pieology Pizzeria Aina Haina, Honolulu, HI",aina haina honolulu hi,latin,location,location,high,"]
The extra content ""aina haina honolulu hi"" consists of geographic identifiers: Aina Haina is a neighborhood, Honolulu is a city, and HI stands for Hawaii, both serving to pinpoint the specific location of this Pieology Pizzeria branch.",1,4.45
Gary Ritter Violin,Gary Ritter Violin Viola Cello,viola cello,latin,business_type,business_type,high,"]
The extra content ""viola cello"" is a description of services offered beyond just violin, which qualifies it as business_type.",1,3.16
POLE DANCE AVEC MOI,Pole Dance avec Moi Marseille,marseille,latin,location,location,high,"]
The extra content ""Marseille"" is a city name, thus it's classified as location.",1,2.78
Schlotzsky's,"Schlotzsky's (Colony Way - Madison, MS)",colony way madison ms,latin,location,location,high,"]
The extra content ""colony way madison ms"" is a geographic location qualifier, consisting of a street name (Colony Way), city name (Madison), and state abbreviation (MS).",1,3.67
West Coast Hifi,West Coast Hi-Fi Rockingham,rockingham,latin,location,location,high,"]
The extra content ""rockingham"" is a geographic location, providing context about where West Coast Hi-Fi operates. It is not a business type or disambiguation, so it falls under the classification of location.",1,3.68
Vape Haus,Vape Haus Queretaro,queretaro,latin,location,location,high,"]
The extra content ""queretaro"" is a location identifier, as it specifies the city or region where this Vape Haus branch can be found.",1,3.15
Allison Hunt MD,"Allison Hunt, MD, FACOG",facog,latin,noise,disambiguation,high,"]
The extra content ""facog"" is an acronym that signifies a Fellow of the American College of Obstetricians and Gynecologists, which adds professional qualifications but does not describe what kind of business Allison Hunt MD is or where it's located.",0,4.27
Hamburguesas Al Carbon,Hamburguesas al Carbon Torreon,torreon,latin,location,location,high,"]
The extra content ""torreon"" is a geographic location that specifies the city where this Hamburguesas al Carbon branch can be found, which makes it a typical directory convention to disambiguate among multiple franchise locations.",1,3.82
Vighna Bamboo Briyani,Vighna Bamboo Briyani - JB,jb,latin,location,noise,medium,"]
The extra content ""jb"" does not specify a business type, location, or disambiguation. It appears to be an abbreviation that may stand for a city, state, or region but is ambiguous without further context. However, since it doesn't add any essential semantic information about the place name, we classify it as noise.",0,4.88
Florería Rosa Pastel,Florería Rosa Pastel P. Peñasco,p penasco,latin,location,location,high,"]
The extra content ""p penasco"" is a geographic identifier that specifies the location of this Florería Rosa Pastel, but it does not provide any information about the type of business or disambiguation.",1,3.71
