short_name,long_name,extra_content,script_type,correct_answer,predicted,confidence,reasoning,correct,latency_s
JE Carriers,JE Carriers Auto Transport,auto transport,latin,business_type,business_type,high,"The phrase ""auto transport"" directly indicates that it is a service related to moving vehicles, which aligns with the business type.",1,1.44
Iglesia Fe Y Esperanza,Iglesia Fe y Esperanza Pinares,pinares,latin,location,location,high,"The phrase 'pinares' is indicative of geographic location, referring to wooded areas typically found near or within city parks.",1,7.47
West Bradenton Baptist,West Bradenton Baptist Church,church,latin,business_type,business_type,high,"The word ""church"" in extra_content is a common descriptor that indicates this establishment's function, pointing towards its business type as religious services.",1,3.96
Monkey Puzzle Day Nursery,Monkey Puzzle Day Nursery West Norwood,west norwood,latin,location,location,high,"The word 'west norwood' clearly follows directly after the shorter name, indicating it is an additional geographic identifier specific to this location.",1,7.13
Recolast Ambiental,Recolast Ambiental Engenharia,engenharia,latin,business_type,business_type,high,The word 'engenharia' directly indicates that the extra content is related to what kind of establishment Recolast Ambiental Engenharia represents.,1,8.45
Virginia Coffee Roastery,Virginia Coffee Roastery & Eatery,eatery,latin,business_type,business_type,"high
```","The word ""eatery"" in extra_content suggests a type of establishment focused on dining, which aligns with it being an eat-in place rather than just a coffee roastery. Therefore, the classification should be based on business function over name specificity here.",1,4.43
Clarkston High School,Clarkston High School Natatorium,natatorium,latin,business_type,business_type,high,"The extra content ""natatorium"" clearly signifies a specific type of establishment, which is indicative of it being classified as 'business_type'.",1,1.59
Mint House Greenville,Mint House Greenville - West End,west end,latin,location,location,high,"The phrase 'west end' refers to a specific part within Greenville, indicating it is likely geographic rather than descriptive of business type or disambiguation.",1,6.02
The UPS Store,The UPS Store 7313,7313,latin,disambiguation,noise,low,"The extra content '7313' is purely numerical and lacks contextual clues that would indicate it describes either a business type, location, or serves as disambiguation. It seems to be an identifier possibly related to the establishment.",0,9.38
Clifton And Lewis Insurance,Clifton and Lewis Insurance Group,group,latin,disambiguation,disambiguation,medium,"The word ""group"" suggests a collective name which is typically used to describe an organization or network of entities, pointing towards disambiguation.",1,3.81
Bluebird Care,Bluebird Care Epsom & Kingston,epsom kingston,latin,location,location,high,The words 'Epsom Kingston' are recognized as distinct geographic identifiers and do not describe any specific business type or individual.,1,6.32
Pieology Pizzeria,"Pieology Pizzeria Aina Haina, Honolulu, HI",aina haina honolulu hi,latin,location,location,high,"The extra content 'aina haina honolulu hi' clearly identifies the geographic location by naming specific city, neighborhood (Aina Haina), and state ('hi') without any mention of business or disambiguation indicators.",1,8.6
Gary Ritter Violin,Gary Ritter Violin Viola Cello,viola cello,latin,business_type,business_type,"medium
```

Based on ""viola cello,"" I am classifying it as 'business_type' with medium confidence because the extra content hints at a specialization within musical instruments but lacks definitive terms that would categorize this entity distinctly, such as an establishment name or clear reference to geographic location.","The extra_content ""viola cello"" suggests a single instrument but does not provide clear information about whether it's part of an establishment or describe any geographical location. However, since violas and cellos are both instruments within the music business sector, this leans towards identifying a specific type of musical instrument rather than being disambiguating information for locations or establishments.",1,6.0
POLE DANCE AVEC MOI,Pole Dance avec Moi Marseille,marseille,latin,location,location,high,"The extra content 'marseille' directly identifies a geographic location, which is Marseille.",1,5.27
Schlotzsky's,"Schlotzsky's (Colony Way - Madison, MS)",colony way madison ms,latin,location,location,high,"The extra content ""colony way madison ms"" identifies a specific location, which implies it is geographically based. The reference to Madison within MS (Mississippi) further supports this as being the core meaning of the additional words in relation to business entity normalization tasks involving locations and namespaces.",1,4.52
West Coast Hifi,West Coast Hi-Fi Rockingham,rockingham,latin,location,disambiguation,medium,"The word 'rockingham' from extra_content is likely referring to Rockingham, which serves as both location and disambiguation point.",0,5.82
Vape Haus,Vape Haus Queretaro,queretaro,latin,location,location,high,"The word 'queretaro' appears at the end of the extra content and is recognized as a geographic location, specifically a city or region within Mexico.",1,7.95
