short_name,long_name,extra_content,correct_answer,annotator_selected_name,city,alt_address,base_address,real_canonical_name,closer_to_real,annotator_correct,verification_sources,verification_notes
Hulk Security Systems,"Hulk Security Systems - Intercom, Access Control & Burglary Alarms systems",intercom access control burglary alarms systems,disambiguation,Hulk Security Systems,New York,676 9th Ave,676A 9th Ave #399,Hulk Security Systems,shorter,yes,"Brand website, Yelp",Not Google Maps
iChiro Clinics,iChiro Clinics/Peak Performance Integrated Medicine North Office,peak performance integrated medicine north office,disambiguation,iChiro Clinics,Grand Rapids,4150 E Beltline Ave NE,4150 E Beltline Ave NE Ste 3,iChiro Clinics/Peak Performance Integrated Medicine North Office,longer,no,"Brand website, Google Maps",
Matt Nashed,"Matt Nashed, DDS - Arcadia Orthodontist Children's Dentistry",dds arcadia orthodontist childrens dentistry,business_type,"Matt Nashed, DDS - Arcadia Orthodontist Children's Dentistry",Arcadia,45 E Foothill Blvd,45 E Foothill Blvd,"Matt Nashed, DDS - Arcadia Orthodontist Children's Dentistry",longer,yes,Google Maps,
ImmoWert Hessen,ImmoWert Hessen Carsten Nessler Sachverständige für Immobilien,carsten nessler sachverstandige fur immobilien,disambiguation,ImmoWert Hessen,Wiesbaden,Unter den Eichen 7,Unter den Eichen 7,ImmoWert Hessen,shorter,yes,"Brand website, Google Maps",
George McFaden,George McFaden at Guaranteed Rate Affinity - NMLS #344084,at guaranteed rate affinity nmls 344084,noise,George McFaden,San Francisco,117 Greenwich St,117 Greenwich St,George McFaden at Guaranteed Rate Affinity,longer,no,,
Pharmasave Holyrood,Pharmasave Holyrood Pharmacy and Telehealth Medical Clinic,pharmacy and telehealth medical clinic,business_type,Pharmasave Holyrood Pharmacy and Telehealth Medical Clinic,Edmonton,9020 75 St NW,9020 - 75 Street N.W.,Pharmasave Holyrood,shorter,no,Brand website,Not Google Maps
Praxis Fahima Asseily,Praxis Fahima Asseily für alternative Therapien und Seminare,fur alternative therapien und seminare,business_type,Praxis Fahima Asseily für alternative Therapien und Seminare,Braunschweig,Berliner Heerstraße 9,Berliner Heerstraße 9,Praxis Fahima Asseily für ganzheitliche Therapien und Seminare,longer,yes,Google Maps,
Comune di Atina,Comune di Atina - Uno dei Borghi più Belli d'Italia,uno dei borghi piu belli ditalia,noise,Comune di Atina,Atina,"Piazza Saturno, 11",Piazza Saturno 1,Comune di Atina,shorter,yes,"Brand website, FaceBook, Google Maps",
bergwerk IT GmbH,bergwerk IT GmbH | Webentwicklung & IT-Infrastruktur,webentwicklung itinfrastruktur,disambiguation,bergwerk IT GmbH,Schwerin,Bergstraße 45,Bergstr. 45,bergwerk IT GmbH,shorter,yes,"Brand website, Google Maps",
Flanagan Paint & Supply,Flanagan Paint & Supply- Benjamin Moore Paint- Edwardsville,benjamin moore paint edwardsville,location,Flanagan Paint & Supply,Edwardsville,1510 Troy Rd,1510 Troy Rd,Flanagan Paint & Supply - Benjamin Moore Paint,longer,no,"Brand website, Google Maps",
