short_name,long_name,extra_content,script_type,correct_answer,predicted,confidence,reasoning,correct,latency_s
JE Carriers,JE Carriers Auto Transport,auto transport,latin,business_type,business_type,high,"The extra content ""auto transport"" describes the specific service or business type that JE Carriers provides, clarifying what kind of carrier operation this is.",1,2.02
Iglesia Fe Y Esperanza,Iglesia Fe y Esperanza Pinares,pinares,latin,location,location,high,"The extra content ""Pinares"" is a geographic location name (a neighborhood or district), which qualifies as a place-based qualifier rather than a business type or organizational descriptor.",1,1.54
West Bradenton Baptist,West Bradenton Baptist Church,church,latin,business_type,business_type,high,"The extra content ""church"" describes the type of religious institution this place is, making it a business_type descriptor that clarifies what kind of establishment ""West Bradenton Baptist"" refers to.",1,1.15
Monkey Puzzle Day Nursery,Monkey Puzzle Day Nursery West Norwood,west norwood,latin,location,location,high,"The extra content ""west norwood"" is a geographic location — a neighborhood in London — that disambiguates which branch of Monkey Puzzle Day Nursery is being referenced, rather than describing the business type itself.",1,1.31
Recolast Ambiental,Recolast Ambiental Engenharia,engenharia,latin,business_type,business_type,high,"The extra content ""engenharia"" (engineering in Portuguese) describes the professional service or business type that Recolast Ambiental provides, indicating it is an engineering firm rather than just an environmental company.",1,1.34
Virginia Coffee Roastery,Virginia Coffee Roastery & Eatery,eatery,latin,business_type,business_type,high,"The word ""eatery"" in the extra content describes what kind of establishment this is — a place where food is served — making it a business type descriptor that adds essential information about the venue's function beyond just coffee roasting.",1,1.8
Clarkston High School,Clarkston High School Natatorium,natatorium,latin,business_type,business_type,high,"""Natatorium"" is a specific type of facility (an indoor swimming pool), which describes what kind of structure or amenity is being referenced at the location, making this a business_type descriptor.",1,1.74
Mint House Greenville,Mint House Greenville - West End,west end,latin,location,location,high,"The extra content ""west end"" is a neighborhood or geographic qualifier within Greenville that specifies which part of the city this Mint House location is in, functioning as a location-based disambiguation rather than a business type descriptor.",1,1.4
The UPS Store,The UPS Store 7313,7313,latin,disambiguation,noise,high,"The extra content ""7313"" is a numeric identifier (store/location number), which is listing boilerplate that distinguishes one franchise unit from another without adding semantic information about what the place is or where it's located.",0,1.8
Clifton And Lewis Insurance,Clifton and Lewis Insurance Group,group,latin,disambiguation,disambiguation,high,"The word ""group"" in the extra content describes the organizational structure or affiliation of the business rather than identifying a specific location or what type of business it is; it is a corporate/organizational qualifier that disambiguates the entity without being essential to the core name.",1,1.55
Bluebird Care,Bluebird Care Epsom & Kingston,epsom kingston,latin,location,location,high,"The extra content ""epsom kingston"" consists of two place names (towns/areas in England), which are geographic qualifiers indicating service regions rather than business type descriptors or disambiguation of organizational structure.",1,1.43
Pieology Pizzeria,"Pieology Pizzeria Aina Haina, Honolulu, HI",aina haina honolulu hi,latin,location,location,high,"The extra content ""aina haina honolulu hi"" comprises geographic qualifiers: a neighborhood (Aina Haina), city (Honolulu), and state (HI), which are typical directory location descriptors rather than defining what kind of business Pieology Pizzeria is.",1,1.73
Gary Ritter Violin,Gary Ritter Violin Viola Cello,viola cello,latin,business_type,business_type,high,"The extra content ""viola cello"" lists additional instruments offered by this music service, expanding the scope of what Gary Ritter teaches beyond violin — this describes the service offerings (business type) rather than a geographic location, organizational affiliation, or boilerplate credential.",1,1.55
POLE DANCE AVEC MOI,Pole Dance avec Moi Marseille,marseille,latin,location,location,high,"The extra content ""marseille"" is a city name that specifies the geographic location where this pole dance studio operates, making it a place name qualifier rather than describing the business type or organizational affiliation.",1,1.27
Schlotzsky's,"Schlotzsky's (Colony Way - Madison, MS)",colony way madison ms,latin,location,location,high,"The extra content ""colony way madison ms"" consists of a street name (Colony Way) and a geographic location (Madison, MS), which are place-based qualifiers used to identify a specific branch location rather than describing the business type or operational characteristics of Schlotzsky's.",1,1.48
