short_name,long_name,extra_content,script_type,correct_answer,predicted,confidence,reasoning,correct,latency_s
JE Carriers,JE Carriers Auto Transport,auto transport,latin,business_type,business_type,high,"The extra content ""auto transport"" describes what kind of service JE Carriers provides, indicating it is a business type.",1,2.91
Iglesia Fe Y Esperanza,Iglesia Fe y Esperanza Pinares,pinares,latin,location,location,high,"The extra content ""pinares"" suggests a location or neighborhood, which typically disambiguates between similar place names.",1,2.42
West Bradenton Baptist,West Bradenton Baptist Church,church,latin,business_type,business_type,high,"The extra content ""church"" describes what kind of place West Bradenton Baptist is, making it a business type.",1,2.38
Monkey Puzzle Day Nursery,Monkey Puzzle Day Nursery West Norwood,west norwood,latin,location,location,high,"The extra content ""west norwood"" is a geographic qualifier indicating a location, which follows the rule that locations are classified as 'location'.",1,2.62
Recolast Ambiental,Recolast Ambiental Engenharia,engenharia,latin,business_type,business_type,high,"The extra content ""engenharia"" (meaning engineering) describes what kind of service or business type this entity is, thus it falls under the category of business_type.",1,2.92
Virginia Coffee Roastery,Virginia Coffee Roastery & Eatery,eatery,latin,business_type,business_type,high,"The extra content ""eatery"" describes a type of establishment that serves food, which is additional to being a coffee roastery. This indicates what kind of place Virginia Coffee Roastery is, fitting the business_type classification.",1,26.82
Clarkston High School,Clarkston High School Natatorium,natatorium,latin,business_type,business_type,high,"The extra content ""natatorium"" describes a specific facility or building within the school, which indicates what kind of place Clarkston High School is beyond just being a school. This fits the business_type classification as it specifies an additional feature or service provided by the institution.",1,3.52
Mint House Greenville,Mint House Greenville - West End,west end,latin,location,location,high,"The extra content ""west end"" is a geographic qualifier that specifies a particular area within Greenville, indicating it is a location.",1,2.41
The UPS Store,The UPS Store 7313,7313,latin,disambiguation,noise,high,"The extra content ""7313"" is a numerical identifier likely used as a store location number, which does not provide additional semantic value or categorize the type of business.",0,2.83
Clifton And Lewis Insurance,Clifton and Lewis Insurance Group,group,latin,disambiguation,business_type,high,"The extra content ""group"" describes what kind of organization Clifton and Lewis Insurance is, which indicates a business type.",0,2.42
Bluebird Care,Bluebird Care Epsom & Kingston,epsom kingston,latin,location,location,high,"The extra content ""epsom kingston"" indicates a location qualifier, which specifies the cities or areas where the care service is located.",1,2.5
Pieology Pizzeria,"Pieology Pizzeria Aina Haina, Honolulu, HI",aina haina honolulu hi,latin,location,location,high,"The extra content ""aina haina honolulu hi"" includes a city name (""Honolulu"") and a neighborhood (""Aina Haina""), which are place names that typically qualify the core business name.",1,3.09
Gary Ritter Violin,Gary Ritter Violin Viola Cello,viola cello,latin,business_type,business_type,high,"The extra content ""viola cello"" lists additional musical instruments, which indicates what kinds of services or products are offered, thus falling under the business_type category.",1,2.81
POLE DANCE AVEC MOI,Pole Dance avec Moi Marseille,marseille,latin,location,location,high,"The extra content ""marseille"" is a city name, which indicates that it is location-based information.",1,2.86
Schlotzsky's,"Schlotzsky's (Colony Way - Madison, MS)",colony way madison ms,latin,location,location,high,"The extra content includes ""colony way madison ms"", which are specific location details such as street, city, and state. This fits the criteria for 'location' as it provides place qualifiers.",1,3.08
