short_name,long_name,extra_content,script_type,correct_answer,predicted,confidence,reasoning,correct,latency_s
JE Carriers,JE Carriers Auto Transport,auto transport,latin,business_type,business_type,high,"The extra content ""auto transport"" specifies what kind of service or business JE Carriers offers, which is auto transport. This clearly indicates that it's a specific type of carrier business.",1,21.69
Iglesia Fe Y Esperanza,Iglesia Fe y Esperanza Pinares,pinares,latin,location,location,high,"The extra content ""pinares"" is a neighborhood or district name, which is used to distinguish this church from others of the same name located in other parts of the city.",1,5.5
West Bradenton Baptist,West Bradenton Baptist Church,church,latin,business_type,business_type,high,"The extra content ""church"" directly describes the type of place West Bradenton Baptist is, specifying it as a religious institution.",1,4.75
Monkey Puzzle Day Nursery,Monkey Puzzle Day Nursery West Norwood,west norwood,latin,location,location,high,"The extra content ""west norwood"" is a location identifier that specifies which neighborhood or area in which the day nursery operates, thus it is clearly a geographic descriptor.",1,5.27
Recolast Ambiental,Recolast Ambiental Engenharia,engenharia,latin,business_type,business_type,high,"The extra content ""engenharia"" specifies that Recolast Ambiental is an engineering firm, which describes what kind of business this entity is.",1,5.2
Virginia Coffee Roastery,Virginia Coffee Roastery & Eatery,eatery,latin,business_type,business_type,high,"The extra content ""eatery"" describes what kind of place this is, indicating that it's not just a coffee roastery but also includes food service.",1,5.2
Clarkston High School,Clarkston High School Natatorium,natatorium,latin,business_type,business_type,high,"The extra content ""natatorium"" specifies a particular part or facility within the high school, indicating what kind of place it is rather than providing additional location information.",1,5.27
Mint House Greenville,Mint House Greenville - West End,west end,latin,location,location,high,"The extra content ""west end"" describes a specific neighborhood within Greenville, providing context that helps to disambiguate between multiple potential Mint House locations.",1,5.04
The UPS Store,The UPS Store 7313,7313,latin,disambiguation,disambiguation,high,"The extra content ""7313"" appears to be a location-specific identifier or store number, which helps disambiguate between multiple UPS Store locations but does not describe the kind of business it is.",1,6.18
Clifton And Lewis Insurance,Clifton and Lewis Insurance Group,group,latin,disambiguation,business_type,high,"The extra content ""group"" describes the organizational structure of the insurance entity, indicating that it is a business type rather than disambiguating information or noise.",0,5.26
Bluebird Care,Bluebird Care Epsom & Kingston,epsom kingston,latin,location,location,high,"The extra content ""epsom kingston"" refers to two specific locations, Epsom and Kingston. These are geographic qualifiers that help distinguish this Bluebird Care branch from others in different areas.",1,5.73
Pieology Pizzeria,"Pieology Pizzeria Aina Haina, Honolulu, HI",aina haina honolulu hi,latin,location,location,high,"The extra content ""aina haina honolulu hi"" includes place names such as Aina Haina, Honolulu (city), HI (state abbreviation) which are all location identifiers.",1,5.73
Gary Ritter Violin,Gary Ritter Violin Viola Cello,viola cello,latin,business_type,business_type,high,"The extra content ""viola cello"" specifies additional musical instruments that this business offers, indicating the specific services provided by Gary Ritter Violin.",1,5.13
POLE DANCE AVEC MOI,Pole Dance avec Moi Marseille,marseille,latin,location,location,high,"The extra content ""marseille"" is a city name that specifies the location where this pole dance studio can be found, which fits the criteria for geographic disambiguation rather than describing the type of business.",1,5.95
Schlotzsky's,"Schlotzsky's (Colony Way - Madison, MS)",colony way madison ms,latin,location,location,high,"The extra content ""colony way madison ms"" is a location identifier, specifying both the street name (Colony Way) and city (Madison), Mississippi. This information serves to disambiguate between multiple Schlotzsky's locations rather than describe the type of business.",1,7.38
West Coast Hifi,West Coast Hi-Fi Rockingham,rockingham,latin,location,location,high,"The extra content ""rockingham"" is a location identifier specifying a place within which this West Coast Hifi store can be found, indicating it's not describing what type of business but rather where to find it.",1,5.95
Vape Haus,Vape Haus Queretaro,queretaro,latin,location,location,high,"The extra content ""queretaro"" is a city name in Mexico, providing a geographic location for the Vape Haus establishment.",1,4.75
Allison Hunt MD,"Allison Hunt, MD, FACOG",facog,latin,noise,noise,high,"The extra content ""facog"" stands for Fellow of the American College of Obstetricians and Gynecologists, which is a professional credential rather than additional semantic information about the business type or disambiguation. It serves to highlight the doctor's qualifications but does not indicate what kind of medical practice it is.",1,7.54
Hamburguesas Al Carbon,Hamburguesas al Carbon Torreon,torreon,latin,location,location,high,"The extra content ""torreon"" is a city name in Mexico, which specifies the location of the restaurant rather than describing its business type.",1,4.89
Vighna Bamboo Briyani,Vighna Bamboo Briyani - JB,jb,latin,location,noise,medium,"The extra content ""jb"" does not provide information about what kind of place this is, nor does it appear to be a location or disambiguation identifier. It looks like an abbreviation that might denote a branch or variation but without additional context, it's best classified as noise.",0,7.08
Florería Rosa Pastel,Florería Rosa Pastel P. Peñasco,p penasco,latin,location,location,high,"The extra content ""p penasco"" likely refers to a street or area name, which is additional location information that disambiguates the specific florist shop.",1,5.27
Boot Barn Hall,Boot Barn Hall at Bourbon Brothers,at bourbon brothers,latin,disambiguation,disambiguation,high,"The extra content ""at bourbon brothers"" identifies a specific organizational affiliation or venue rather than describing what kind of business it is, indicating that this Boot Barn Hall is located at Bourbon Brothers.",1,5.79
Atm,ATM (Post Office),post office,latin,disambiguation,location,high,"The extra content ""post office"" provides a location context — it specifies that this ATM is located within or near a post office, which helps to disambiguate its exact position.",0,5.57
Marathon Gas,Marathon Gas & DQ,dq,latin,disambiguation,business_type,high,"The extra content ""dq"" refers to Dairy Queen, which is a distinct business type or brand rather than additional location information.",0,4.74
Planet Fitness,"Planet Fitness - Manassas, VA",manassas va,latin,location,location,high,"The extra content ""manassas va"" indicates a specific location, which is both a city (Manassas) and state abbreviation (VA), disambiguating this Planet Fitness branch's physical placement rather than specifying its type of business.",1,6.48
Raising Cane's,Raising Cane's Chicken Fingers,chicken fingers,latin,business_type,business_type,high,"The extra content ""chicken fingers"" is part of the business type, specifying what kind of food the restaurant serves. This additional information provides clarity on the specific offering of Raising Cane's.",1,5.87
La Azotea,La Azotea Terraza,terraza,latin,business_type,business_type,high,"The extra content ""terraza"" specifies that La Azotea is a rooftop terrace or an outdoor seating area, which describes what kind of place this establishment is.",1,5.35
bergwerk IT GmbH,bergwerk IT GmbH | Webentwicklung & IT-Infrastruktur,webentwicklung itinfrastruktur,latin,disambiguation,business_type,high,"The extra content ""webentwicklung itinfrastruktur"" describes specific services offered by this business, which provides essential information about what kind of IT services the company offers (website development and IT infrastructure).",0,6.29
Hospital São Domingos,Hospital São Domingos- Exames,exames,latin,disambiguation,disambiguation,medium,"The extra content ""exames"" specifies that this location provides exams or diagnostic services, which is a type of service offered rather than a business type, but it clarifies what kind of facility within Hospital São Domingos this specific listing refers to.",1,6.75
Parc Clichy-Batignolles,Parc Clichy-Batignolles Martin Luther King,martin luther king,latin,location,location,high,"The extra content ""martin luther king"" is a street or place name, serving as a geographic qualifier that specifies the location of Parc Clichy-Batignolles.",1,5.92
Canal Video,Canal Vidéo Laryan 82 Franchisé indépendant,laryan 82 franchise independant,latin,disambiguation,location,high,"The extra content ""laryan 82 franchise independant"" specifies the location (Laryan, presumably a town or city) and indicates that this is an independent franchise rather than part of a larger corporate structure. However, since Laryan provides geographic context, it should be considered as 'location', while the 'franchise independant' adds disambiguation value.",0,9.01
Calico Jacks,Calico Jack's Bistro,bistro,latin,business_type,business_type,high,"The extra content ""bistro"" describes what kind of establishment Calico Jacks is, indicating it's a specific type of restaurant.",1,4.99
Over The Rainbow,Over the Rainbow Limited,limited,latin,disambiguation,noise,high,"The extra content ""limited"" is a legal notation that specifies the business structure, which does not provide information about what kind of place this is or help disambiguate between different branches. This type of additional detail is typically considered boilerplate and lacks semantic value for distinguishing the core identity of the business.",0,7.48
Colourfence Garden Fencing,ColourFence Garden Fencing - Isle Of Wight,isle of wight,latin,location,location,high,"The extra content ""isle of wight"" is a geographical location indicating where the Colourfence Garden Fencing business operates. This type of information typically qualifies as a location rather than a business type or disambiguation.",1,6.61
Leonora Rose,Leonora Rose Florists,florists,latin,business_type,business_type,high,"The extra content ""florists"" describes what kind of business this place is, specifically a florist shop.",1,4.67
Service Neon,Service Neon di Cateni Riccardo,di cateni riccardo,latin,disambiguation,disambiguation,high,"The extra content ""di cateni riccardo"" indicates that Riccardo Cateni is the owner or proprietor of the business, which clarifies a specific branch or organizational affiliation rather than describing what kind of place it is.",1,6.7
Wing Sing,Wing Sing Bar,bar,latin,business_type,business_type,high,"The extra content ""bar"" describes what kind of establishment Wing Sing is, indicating it is a bar rather than just any business or place.",1,5.2
Spectron Desarrollo,Spectron Desarrollo S.C.,sc,latin,noise,noise,high,"The extra content ""sc"" is a legal designation in Mexico, representing ""Sociedad Civil,"" which does not provide additional semantic value about what the place is or where it is located; it's more of a formal legal notation.",1,6.45
Charleston Civic Center,Charleston Civic Center Ice Arena,ice arena,latin,business_type,business_type,high,"The extra content ""ice arena"" specifies a particular facility or area within the Charleston Civic Center, describing what kind of place it is, which falls under the business_type classification.",1,5.56
Hotel Olimpia,Hotel Olimpia  Silvi Marina TE,silvi marina te,latin,location,location,high,"The extra content ""silvi marina te"" provides a location identifier, specifying Silvi Marina (a town) followed by TE (likely an abbreviation for Teramo province in Italy), both of which are geographic qualifiers.",1,6.11
Murphy USA,Murphy USA #6583,6583,latin,disambiguation,disambiguation,high,"The extra content ""6583"" appears to be a branch identifier or store number, which is not descriptive of what type of place this is but rather serves to differentiate it from other Murphy USA locations.",1,6.21
Home Instead,Home Instead Senior Care,senior care,latin,business_type,business_type,high,"The extra content ""senior care"" identifies the specific service offered by this Home Instead branch, which is a type of business description rather than a location or disambiguating information.",1,5.65
Forst und Garten,Forst und Garten Diehl,diehl,latin,disambiguation,disambiguation,high,"The extra content ""diehl"" is likely a personal name that identifies the specific owner or operator of Forst und Garten, distinguishing it from other businesses with the same core name.",1,5.8
The Flying Locksmiths,The Flying Locksmiths - Los Angeles West,los angeles west,latin,location,location,high,"The extra content ""los angeles west"" is a geographic location specifying the city (Los Angeles) and area within it (West), which provides necessary context to distinguish this branch from others of the same business type.",1,6.05
Lonches Amparito,Lonches Amparito Tránsito,transito,latin,location,location,high,"The extra content ""transito"" is a location identifier that refers to a specific area or street within a city, providing context about where exactly this Lonches Amparito establishment can be found.",1,5.74
En-spire Nutrition,En-spire Nutrition Centennial,centennial,latin,location,location,high,"The extra content ""centennial"" is a place name that specifies the location of this En-spire Nutrition branch. It serves as a geographic qualifier rather than indicating what kind of business it is or providing additional disambiguation.",1,6.28
Auto Stark,Auto Stark Acessórios Automotivo,acessorios automotivo,latin,business_type,business_type,high,"The extra content ""acessorios automotivo"" specifies that this Auto Stark is a business focused on automotive accessories, which describes its type of business offering.",1,5.28
Kyle Citty,"Kyle Citty, M.D.",md,latin,noise,noise,high,"The extra content ""md"" represents a professional credential (Medical Doctor) appended to a personal name, which is boilerplate information that does not provide additional semantic value about what type of business or specific location this place represents.",1,6.1
Työväen Akatemia,Työväen Akatemian kirjasto,n kirjasto,latin,business_type,disambiguation,high,"The extra content ""n kirjasto"" indicates that this is a library (""kirjasto"") associated with Työväen Akatemia, clarifying the specific branch or facility type within the organization rather than just providing a generic location.",0,6.96
Craig Bagley,Craig Bagley - State Farm Insurance Agent,state farm insurance agent,latin,business_type,disambiguation,high,"The extra content ""state farm insurance agent"" identifies a specific professional role or organizational affiliation, clarifying that Craig Bagley works as an agent for State Farm Insurance. This is not a location but rather specifies his business role.",0,6.42
Andy Allain - Thrivent,Andy Allain - Thrivent Financial,financial,latin,business_type,business_type,high,"The extra content ""financial"" is a business type qualifier that describes the kind of financial services provided by Andy Allain's Thrivent affiliation, not just a disambiguating or locational detail.",1,5.88
Tractor Supply,Tractor Supply Co.,co,latin,noise,noise,high,"The extra content ""co"" is an abbreviation of ""company,"" which is boilerplate text that does not add semantic value beyond indicating corporate status. It's a legal notation or tagline rather than a business type, disambiguator, or location.",1,6.62
Mary Print,Mary Print Sardegna,sardegna,latin,location,location,high,"The extra content ""sardegna"" is a place name (Sardinia, an island region in Italy), which serves to geographically locate where Mary Print operates.",1,5.35
Cella Café,Cella Café Bar & Restaurant,bar restaurant,latin,business_type,business_type,high,"The extra content ""bar restaurant"" describes what kind of establishment Cella Café is, specifying it as a bar and restaurant rather than just a café.",1,5.12
Floripa Sucos,Floripa Sucos e Lanches,e lanches,latin,business_type,business_type,medium,"The extra content ""e lanches"" translates to ""and snacks,"" which describes what kind of offerings or services this place provides, indicating it is a business type rather than just a location modifier.",1,5.86
Green Leaf's,Green Leaf's Beyond Great Salads,beyond great salads,latin,business_type,business_type,high,"The extra content ""beyond great salads"" describes what kind of place Green Leaf's is, indicating that it specializes in salads. This information helps to clarify the business type rather than simply identifying a location or providing disambiguation.",1,6.5
Wayne Cooley - COUNTRY Financial,Wayne Cooley - COUNTRY Financial representative,representative,latin,disambiguation,disambiguation,high,"The extra content ""representative"" identifies Wayne Cooley's role as a representative of COUNTRY Financial, which is organizational information rather than a business type or location.",1,5.63
Code Ninjas,Code Ninjas Virginia Beach,virginia beach,latin,location,location,high,"The extra content ""virginia beach"" is a city name that serves to specify the location of this Code Ninjas franchise, thereby acting as a geographic identifier rather than defining the business type.",1,5.81
Barnegat Bay Financial Group,Barnegat Bay Financial Group - Raymond James Office,raymond james office,latin,disambiguation,disambiguation,high,"The extra content ""raymond james office"" indicates that this branch is affiliated with Raymond James, a financial services company, which helps to disambiguate and specify organizational affiliation rather than adding location or business type information.",1,6.65
West Herr Cadillac,West Herr Cadillac of East Aurora,of east aurora,latin,location,location,high,"The extra content ""of east aurora"" is a geographic location qualifier identifying that this Cadillac dealership is located in East Aurora, which helps to disambiguate among multiple dealerships.",1,5.7
Academia Performance,Academia Performance & Saúde,saude,latin,business_type,business_type,high,"The extra content ""saude"" means ""health"" in Portuguese, which adds semantic information about the specific focus or type of services offered by Academia Performance. This indicates a specialization within the business.",1,5.95
American Printing,American Printing Unlimited,unlimited,latin,disambiguation,noise,high,"The extra content ""unlimited"" is a marketing tagline that does not provide any meaningful semantic information about what kind of business it is or where it's located. It lacks specific disambiguating information.",0,6.03
Batteries Plus,Batteries Plus Bulbs,bulbs,latin,business_type,noise,high,"The extra content ""bulbs"" specifies a product line offered by Batteries Plus, but does not indicate what kind of place it is or disambiguate between different locations. Instead, it acts as additional descriptor noise.",0,6.27
Marine Corps Exchange,Marine Corps Exchange (MCX),mcx,latin,disambiguation,disambiguation,high,"The extra content ""mcx"" is an abbreviation for Marine Corps Exchange, which serves as a disambiguation or organizational identifier rather than providing additional semantic information about the business type or location.",1,6.03
Dias Park,Dias Park Estacionamento,estacionamento,latin,business_type,business_type,high,"The extra content ""estacionamento"" means ""parking lot"" in Portuguese, which describes a specific type of business (a parking facility), thus fitting the category 'business_type'.",1,5.77
Results Physiotherapy,"Results Physiotherapy Nashville, Tennessee - West",nashville tennessee west,latin,location,location,high,"The extra content ""nashville tennessee west"" clearly indicates a specific location, providing information about the city (Nashville), state (Tennessee), and a more precise area within Nashville (""West""). This type of information is typically used to disambiguate between multiple branches in the same region.",1,7.58
Momo and Co.,Momo and Co. Design,design,latin,business_type,business_type,high,"The extra content ""design"" specifies what kind of service or specialty Momo and Co. offers, indicating it is a design firm.",1,5.01
The Vineyard Church,The Vineyard Church Bloomington-Normal,bloomingtonnormal,latin,location,location,high,"The extra content ""bloomingtonnormal"" specifies a location by combining city names (Bloomington-Normal) which are used to identify where this church is situated.",1,5.49
Full Steam,Full Steam Tromso,tromso,latin,location,location,high,"The extra content ""tromso"" is a city name in Norway, which provides geographical context about where this establishment can be found.",1,4.95
