short_name,long_name,extra_content,h1_label,is_compound,biz_type_tokens,location_tokens,reason,already_in_h4
Hulk Security Systems,"Hulk Security Systems - Intercom, Access Control & Burglary Alarms systems",intercom access control burglary alarms systems,disambiguation,False,intercom access control burglary alarms systems,,"The extra_content contains only business-type descriptors (intercom, access control, burglary alarms, systems) that describe the services and products offered by Hulk Security Systems. There is no location qualifier present (no geographic reference, area descriptor, or location identifier). This is pure business-type content, not a compound of business-type and location.",False
iChiro Clinics,iChiro Clinics/Peak Performance Integrated Medicine North Office,peak performance integrated medicine north office,disambiguation,True,peak performance integrated medicine,north office,"The extra_content contains both a business-type descriptor (""peak performance integrated medicine"") which describes the nature/specialty of the medical practice, and a location qualifier (""north office"") which specifies a geographic or directional distinction for this particular office location.",True
Matt Nashed,"Matt Nashed, DDS - Arcadia Orthodontist Children's Dentistry",dds arcadia orthodontist childrens dentistry,business_type,True,dds orthodontist childrens dentistry,arcadia,"The extra_content contains both business-type descriptors (dds, orthodontist, childrens dentistry) that describe the nature of the practice, and a location qualifier (arcadia) that specifies geographic placement. These are two distinct semantic components.",False
ImmoWert Hessen,ImmoWert Hessen Carsten Nessler Sachverständige für Immobilien,carsten nessler sachverstandige fur immobilien,disambiguation,True,sachverstandige fur immobilien,carsten nessler,"The extra_content contains two distinct semantic components: (1) a business-type descriptor ""sachverstandige fur immobilien"" (experts/assessors for real estate), and (2) a person/location qualifier ""carsten nessler"" (a proper name serving as a location identifier within the business context). This represents a compound structure with both business-type and location/identifier components.",True
George McFaden,George McFaden at Guaranteed Rate Affinity - NMLS #344084,at guaranteed rate affinity nmls 344084,noise,True,guaranteed rate affinity nmls 344084,at,"The extra_content contains both a business-type descriptor (""guaranteed rate affinity"" - a mortgage/financial services company name, plus ""nmls 344084"" - a regulatory identifier) AND a location qualifier (""at"" - indicating a place association). The ""at"" preposition serves as the location connector, while the company name and license number constitute the business-type portion.",True
Pharmasave Holyrood,Pharmasave Holyrood Pharmacy and Telehealth Medical Clinic,pharmacy and telehealth medical clinic,business_type,True,pharmacy and telehealth medical clinic,Holyrood,"The extra_content ""pharmacy and telehealth medical clinic"" contains a business-type descriptor (the types of services/businesses offered). The location qualifier ""Holyrood"" is already present in the short_name and long_name as a geographic identifier. However, re-examining the task: the extra_content itself does not contain a location qualifier—it only contains business-type terms. The location ""Holyrood"" is separate, appearing in the place name itself rather than within extra_content. Therefore, this should be classified as NOT compound.",False
Praxis Fahima Asseily,Praxis Fahima Asseily für alternative Therapien und Seminare,fur alternative therapien und seminare,business_type,False,fur alternative therapien und seminare,,"The extra_content consists solely of business-type descriptors (""alternative therapies and seminars""). There is no location qualifier present. This is pure business-type extra content, not a compound of business-type AND location components.",False
Comune di Atina,Comune di Atina - Uno dei Borghi più Belli d'Italia,uno dei borghi piu belli ditalia,noise,False,,,"The extra_content ""uno dei borghi piu belli ditalia"" is a pure descriptive/qualitative phrase meaning ""one of the most beautiful villages in Italy"". It contains a location qualifier (""ditalia""/Italy) but lacks a distinct business-type term. It is a scenic/cultural descriptor rather than a business category, so it does not meet the criteria of being compound (business-type AND location qualifier as distinct semantic components).",False
bergwerk IT GmbH,bergwerk IT GmbH | Webentwicklung & IT-Infrastruktur,webentwicklung itinfrastruktur,disambiguation,False,webentwicklung itinfrastruktur,,"The extra_content contains only business-type descriptors (web development and IT infrastructure services). There is no location qualifier present—no geographic terms, city names, district names, or spatial references. This is pure business-type content, not a compound of business-type AND location.",False
Flanagan Paint & Supply,Flanagan Paint & Supply- Benjamin Moore Paint- Edwardsville,benjamin moore paint edwardsville,location,True,benjamin moore paint,edwardsville,"The extra_content contains two distinct semantic components: ""benjamin moore paint"" is a business-type descriptor (brand/product category), and ""edwardsville"" is a location qualifier. This is a compound decomposition.",True
